path,kind,sha256,size_bytes,generator_script,link_method,evidence_level,evidence_provenance,split,claim_boundary,overleaf_ready,overleaf_blockers,committed
figures/archive/pre_thesis/defended_vs_undefended_balanced_accuracy.png,figure,76dfd61d793930a1fd8d19443b3520d3953a83a22dd131057229b0b4d7dfc3e0,88258,scripts/archive/pre_thesis_plots/plot_defended_vs_undefended_safety_comparison.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/defended_vs_undefended_f1_score.png,figure,21867fa612629cad4451fa1aa3bc3b65521aa9230fe89ecf18adc2811f640c6f,73082,scripts/archive/pre_thesis_plots/plot_defended_vs_undefended_safety_comparison.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/defended_vs_undefended_false_alarm_count.png,figure,cd862b59e2ae3d98be83836ce13de6ff36ed481f3ba3858ffc879c53e460342f,81805,scripts/archive/pre_thesis_plots/plot_defended_vs_undefended_safety_comparison.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/defended_vs_undefended_missed_fall_rate.png,figure,0d843a117f830aaeb95719ced836953ce7b2998f1490e82745c8462510aac7a0,77259,scripts/archive/pre_thesis_plots/plot_defended_vs_undefended_safety_comparison.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/defended_vs_undefended_prediction_change_rate.png,figure,5e300b87a6e2c055a8664313ffa90794ad0c7b70cd1312b46ddfb2dbc0b62642,95545,scripts/archive/pre_thesis_plots/plot_defended_vs_undefended_safety_comparison.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/defended_vs_undefended_recall.png,figure,44f1523df91b8fe9b1bf4b9f098fbdfd80cd8edbe2278f7b040a75d0273f6c19,81965,scripts/archive/pre_thesis_plots/plot_defended_vs_undefended_safety_comparison.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/fgsm_epsilon_combined_safety_summary.png,figure,5143770d6d0308a739cb821b979586edd63b69e95e5c44d76e5f19475af68e62,221623,scripts/archive/pre_thesis_plots/plot_fgsm_epsilon_combined_summary.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/fgsm_epsilon_vs_f1_score.png,figure,be6bc6b01fa48b22d370cad122dffd5893e1ec49f70f4c9a7dafcca7f55e4e28,89504,scripts/archive/pre_thesis_plots/plot_fgsm_epsilon_sweep.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/fgsm_epsilon_vs_false_alarm_count.png,figure,9699432dd3595e072b7a9db62f7b0e0f3076a2388ada092c2750453cb0dd9eee,104165,scripts/archive/pre_thesis_plots/plot_fgsm_epsilon_sweep.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/fgsm_epsilon_vs_missed_fall_rate.png,figure,71e17b40902a27b3dc247c612c1fdfec45916ab958086d73b622bab11a4b1f42,91602,scripts/archive/pre_thesis_plots/plot_fgsm_epsilon_sweep.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/fgsm_epsilon_vs_recall.png,figure,76340245b331838dca87c9be7caf089b83305f3a9a27206d78de1f7037d2320b,92748,scripts/archive/pre_thesis_plots/plot_fgsm_epsilon_sweep.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/fgsm_vs_pgd_safety_comparison.png,figure,e19336a53c48bb526b1500d8a62de510ed0ecffa3e825dc5de2f772734517378,245648,scripts/archive/pre_thesis_plots/plot_fgsm_vs_pgd_comparison.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/pgd_epsilon_combined_safety_summary.png,figure,9c0e84b603da44c40b6e982f0d9d7d642fe9010ded9719bb21580877e0304c46,202647,scripts/archive/pre_thesis_plots/plot_pgd_epsilon_sweep.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/pgd_epsilon_vs_f1_score.png,figure,56702cd86fb70b00cac6805182434ff30d49d55cc016f02872063cee2e84ed2c,85553,scripts/archive/pre_thesis_plots/plot_pgd_epsilon_sweep.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/pgd_epsilon_vs_false_alarm_count.png,figure,94049aed2b1a1703c44d4315b2ace8f08766be481bd6875b215df6aeefc87979,99473,scripts/archive/pre_thesis_plots/plot_pgd_epsilon_sweep.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
figures/archive/pre_thesis/pgd_epsilon_vs_missed_fall_rate.png,figure,2a67a846de04a322a5423300ca0ed1c2ec30df6f322976149c5055f942007769,90632,scripts/archive/pre_thesis_plots/plot_pgd_epsilon_sweep.py,literal,diagnostic-internal,default,none,unmapped,no,evidence-not-admissible;claim-not-approved,yes
