epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_fgsm_fall_recall,val_fgsm_false_fall_alarms,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_normalized_false_alarm_burden,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,fall_selected_count,nonfall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,clean_guard_eligible,selection_score,sel_maxscore
1,0.250000,0.240000,0.000000,452,0,0.000000,0.000000,0,0.243952,0.056031,0.000000,0.000000,4.209102,1.977234,0.110754,0.980311,0.120307,0.159006,0.980745,2.580645,7.661290,0.983871,0.162128,0,-2.712097,0
2,0.240000,0.230000,0.000000,452,0,0.000000,0.000000,0,0.084677,0.026661,0.000000,0.000000,3.923954,1.994101,0.014591,0.942336,0.022277,0.033038,0.942719,2.693548,7.612903,0.919355,0.035046,0,-3.030645,0
3,0.230000,0.220000,0.000000,452,0,0.000000,0.000000,0,0.294355,0.099985,0.000000,0.000000,3.972474,1.994998,0.018164,0.964441,0.023210,0.029613,0.964849,2.677419,7.629032,0.951613,0.030692,0,-2.611290,0
4,0.220000,0.210000,0.000000,452,0,0.000000,0.000000,0,0.292339,0.120549,0.000000,0.000000,3.847407,1.996050,0.008877,0.912719,0.013004,0.017360,0.912938,2.419355,7.741935,0.903226,0.019015,0,-2.615323,0
5,0.210000,0.200000,0.000000,452,0,0.000000,0.000000,0,0.276210,0.143513,0.000000,0.000000,3.869090,1.995603,0.009120,0.924099,0.012471,0.016342,0.924365,2.467742,7.693548,0.919355,0.017679,0,-2.647581,0
6,0.200000,0.190000,0.000000,452,0,0.000000,0.000000,0,0.278226,0.127397,0.000000,0.000000,3.930261,1.995348,0.007440,0.956410,0.011398,0.014849,0.956695,2.564516,7.741935,0.951613,0.015521,0,-2.643548,0
7,0.190000,0.180000,0.000000,452,0,0.000000,0.000000,0,0.135081,0.042635,0.000000,0.000000,3.962781,1.995021,0.008436,0.971875,0.012178,0.016264,0.972182,2.435484,7.790323,0.967742,0.016729,0,-2.929839,0
8,0.180000,0.170000,0.000000,452,0,0.000000,0.000000,0,0.372984,0.192790,0.000000,0.000000,3.928996,1.993697,0.010117,0.953938,0.013330,0.020360,0.954249,2.677419,7.645161,0.951613,0.021336,0,-2.454032,0
9,0.170000,0.160000,0.000000,452,0,0.000000,0.000000,0,0.381048,0.167399,0.000000,0.000000,3.948413,1.994548,0.007086,0.966008,0.011335,0.018460,0.966297,2.612903,7.709677,0.967742,0.019104,0,-2.437903,0
10,0.160000,0.150000,0.000000,452,0,0.000000,0.000000,0,0.415323,0.218384,0.000000,0.000000,3.921218,1.993659,0.011762,0.947756,0.015677,0.026862,0.948066,2.677419,7.661290,0.951613,0.028333,0,-2.369355,0
11,0.150000,0.140000,0.000000,452,0,0.000000,0.000000,0,0.393145,0.193585,0.000000,0.000000,3.950775,1.990786,0.012132,0.963113,0.016793,0.029269,0.963560,2.677419,7.677419,0.967742,0.030376,0,-2.413710,0
12,0.140000,0.130000,0.000000,452,0,0.000000,0.000000,0,0.336694,0.110579,0.000000,0.000000,3.952486,1.989974,0.013177,0.962765,0.018744,0.032780,0.963238,2.564516,7.693548,0.967742,0.034031,0,-2.526613,0
13,0.130000,0.120000,0.000000,452,0,0.000000,0.000000,0,0.370968,0.189681,0.000000,0.000000,3.919649,1.990006,0.017561,0.942198,0.022241,0.038107,0.942689,2.467742,7.741935,0.951613,0.040423,0,-2.458065,0
14,0.120000,0.110000,0.000000,452,0,0.000000,0.000000,0,0.377016,0.205558,0.000000,0.000000,3.855276,1.985305,0.021591,0.906407,0.027897,0.054515,0.907534,2.500000,7.709677,0.919355,0.060070,0,-2.445968,0
15,0.110000,0.100000,0.000000,452,0,0.000000,0.000000,0,0.413306,0.268625,0.000000,0.000000,3.883492,1.981128,0.028249,0.916161,0.033667,0.065497,0.917082,2.596774,7.693548,0.935484,0.071419,0,-2.373387,0
16,0.100000,0.090000,0.000000,452,0,0.000000,0.000000,0,0.433468,0.219672,0.000000,0.000000,3.802547,1.973794,0.035097,0.869025,0.044863,0.090134,0.870755,2.645161,7.661290,0.903226,0.103513,0,-2.333065,0
17,0.090000,0.080000,0.000000,452,0,0.000000,0.000000,0,0.461694,0.246485,0.000000,0.000000,3.952759,1.954719,0.073217,0.908617,0.088300,0.179875,0.911718,2.645161,7.661290,0.983871,0.197293,0,-2.276613,0
18,0.080000,0.070000,0.000000,452,0,0.000000,0.000000,0,0.379032,0.230063,0.000000,0.000000,3.878588,1.950860,0.088339,0.858355,0.102224,0.215579,0.861563,2.467742,7.741935,0.935484,0.250218,0,-2.441935,0
19,0.070000,0.060000,0.000000,452,0,0.000000,0.000000,0,0.385081,0.208477,0.000000,0.000000,3.802893,1.891789,0.147011,0.780881,0.171865,0.393638,0.783791,2.709677,7.693548,0.935484,0.502223,0,-2.429839,0
20,0.060000,0.050000,0.000000,452,0,0.000000,0.000000,0,0.421371,0.289698,0.000000,0.000000,3.842970,1.894092,0.149962,0.803051,0.167585,0.357285,0.806843,2.500000,7.645161,0.935484,0.442818,0,-2.357258,0
21,0.050000,0.048186,0.081858,452,37,0.068182,0.136364,28,0.407258,0.327838,0.522727,0.071903,3.762153,1.855317,0.176721,0.752847,0.200039,0.425985,0.755931,2.612903,7.693548,0.935484,0.563524,0,-1.271848,0
22,0.048186,0.044381,0.061947,452,28,0.000000,0.000000,16,0.500000,0.388304,0.590909,0.048673,3.712142,1.787163,0.275806,0.657794,0.293176,0.707447,0.664114,2.532258,7.693548,0.967742,1.065249,0,-1.018182,0
23,0.044381,0.034381,0.000000,452,0,0.000000,0.000000,0,0.366935,0.231625,0.000000,0.000000,3.683141,1.707592,0.395715,0.543731,0.437220,1.011155,0.554008,2.467742,7.709677,0.919355,1.825163,0,-2.466129,0
24,0.034381,0.041858,0.174779,452,79,0.159091,0.250000,57,0.518145,0.406213,0.863636,0.150442,3.526874,1.753164,0.215316,0.645647,0.236426,0.577834,0.656455,2.451613,7.741935,0.967742,0.880235,0,-0.576461,0
25,0.041858,0.045796,0.139381,452,63,0.204545,0.272727,41,0.520161,0.473024,0.863636,0.115044,3.329680,1.638950,0.338816,0.456648,0.382918,1.016380,0.469805,2.564516,7.693548,0.951613,2.163411,0,-0.385381,0
26,0.045796,0.045973,0.101770,452,46,0.159091,0.181818,24,0.528226,0.459328,0.704545,0.077434,3.217687,1.600605,0.397003,0.341115,0.469089,1.187787,0.355480,2.596774,7.677419,0.919355,3.341364,0,-0.582446,0
27,0.045973,0.043053,0.070796,452,32,0.022727,0.068182,15,0.449597,0.376815,0.568182,0.051991,2.997182,1.568601,0.380593,0.268874,0.443022,1.168782,0.282360,2.629032,7.677419,0.951613,4.139333,0,-1.141716,0
28,0.043053,0.049867,0.168142,452,76,0.431818,0.500000,47,0.518145,0.451987,0.795455,0.136062,3.205259,1.572518,0.384615,0.359512,0.458138,1.190692,0.379212,2.774194,7.612903,0.967742,3.139909,0,-0.413549,0
29,0.049867,0.063097,0.232301,452,105,0.568182,0.659091,80,0.510081,0.406757,0.977273,0.204646,2.907796,1.531508,0.350558,0.280000,0.400811,1.100472,0.290042,2.500000,7.677419,0.983871,3.794180,0,-0.340860,0
