checkpoint,epsilon,metric,n_seeds,mean_interaction,median_interaction,per_seed
last,0.015,test_pgd_pauroc_far020,2,0.03589743589743527,0.03589743589743527,42:+0.0603;43:+0.0115
last,0.015,test_pgd_auroc,2,0.012148962148962106,0.012148962148962106,42:+0.0145;43:+0.0098
last,0.015,test_recall,2,0.12222222222222218,0.12222222222222218,42:+0.0889;43:+0.1556
last,0.015,test_FAR,2,-0.00219780219780219,-0.00219780219780219,42:-0.0154;43:+0.0110
last,0.015,val_pgd_pauroc_far020,2,0.09430309734513248,0.09430309734513248,42:+0.1399;43:+0.0487
last,0.015,val_pgd_auroc,2,0.02815768302493965,0.02815768302493965,42:+0.0279;43:+0.0284
last,0.015,val_sel_recall,2,0.07954545454545453,0.07954545454545453,42:+0.0682;43:+0.0909
last,0.015,test_pgd_cohens_d,2,-0.14322083856347845,-0.14322083856347845,42:+0.3160;43:-0.6024
last,0.015,test_clean_recall_at_tau,2,0.04444444444444451,0.04444444444444451,42:+0.0000;43:+0.0889
last,0.015,test_pgd_argmax_acc7,2,0.04099999999999995,0.04099999999999995,42:+0.0400;43:+0.0420
last,0.03,test_pgd_pauroc_far020,2,0.07313797313797314,0.07313797313797314,42:+0.0518;43:+0.0945
last,0.03,test_pgd_auroc,2,0.03443223443223442,0.03443223443223442,42:+0.0199;43:+0.0489
last,0.03,test_recall,2,0.1777777777777778,0.1777777777777778,42:+0.1778;43:+0.1778
last,0.03,test_FAR,2,0.015384615384615385,0.015384615384615385,42:+0.0308;43:+0.0000
last,0.03,val_pgd_pauroc_far020,2,0.06355591311343511,0.06355591311343511,42:+0.0548;43:+0.0723
last,0.03,val_pgd_auroc,2,0.036378720836685474,0.036378720836685474,42:+0.0226;43:+0.0502
last,0.03,val_sel_recall,2,0.13636363636363635,0.13636363636363635,42:+0.1364;43:+0.1364
last,0.03,test_pgd_cohens_d,2,0.036449490876858226,0.036449490876858226,42:+0.1120;43:-0.0391
last,0.03,test_clean_recall_at_tau,2,0.13333333333333347,0.13333333333333347,42:+0.1333;43:+0.1333
last,0.03,test_pgd_argmax_acc7,2,-0.02399999999999998,-0.02399999999999998,42:-0.0320;43:-0.0160
