effect,contrast,checkpoint,epsilon,metric,n_seeds,mean_diff,median_diff,sd_diff,min_diff,max_diff,n_positive,n_negative,per_seed
floor,V10-V00,last,0.015,test_pgd_pauroc_far020,2,0.0786324786324788,0.0786324786324788,0.01709401709401681,0.061538461538461986,0.09572649572649561,2,0,42:+0.0615;43:+0.0957
floor,V10-V00,last,0.015,test_pgd_auroc,2,0.015421245421245455,0.015421245421245455,0.000891330891330866,0.01452991452991459,0.01631257631257632,2,0,42:+0.0145;43:+0.0163
floor,V10-V00,last,0.015,test_recall,2,0.011111111111111127,0.011111111111111127,0.011111111111111127,0.0,0.022222222222222254,1,0,42:+0.0222;43:+0.0000
floor,V10-V00,last,0.015,test_FAR,2,-0.002197802197802204,-0.002197802197802204,0.004395604395604394,-0.006593406593406598,0.00219780219780219,1,1,42:-0.0066;43:+0.0022
floor,V10-V00,last,0.015,val_pgd_pauroc_far020,2,0.006637168141592986,0.006637168141592986,0.023582059533387212,-0.016944891391794226,0.030219227674980198,1,1,42:-0.0169;43:+0.0302
floor,V10-V00,last,0.015,val_pgd_auroc,2,-0.002564360418342737,-0.002564360418342737,0.0017095736122284544,-0.0042739340305711915,-0.0008547868061142827,0,2,42:-0.0009;43:-0.0043
floor,V10-V00,last,0.015,val_sel_recall,2,0.022727272727272707,0.022727272727272707,0.045454545454545414,-0.022727272727272707,0.06818181818181812,1,1,42:+0.0682;43:-0.0227
floor,V10-V00,last,0.015,test_pgd_cohens_d,2,0.31532894273559897,0.31532894273559897,0.32454816955623755,-0.009219226820638582,0.6398771122918365,1,1,42:-0.0092;43:+0.6399
floor,V10-V00,last,0.015,test_clean_recall_at_tau,2,-5.551115123125783e-17,-5.551115123125783e-17,0.0222222222222222,-0.022222222222222254,0.022222222222222143,1,1,42:+0.0222;43:-0.0222
floor,V10-V00,last,0.015,test_pgd_argmax_acc7,2,-0.015999999999999986,-0.015999999999999986,0.00799999999999998,-0.023999999999999966,-0.008000000000000007,0,2,42:-0.0080;43:-0.0240
floor,V11-V01,last,0.015,test_pgd_pauroc_far020,2,0.11452991452991407,0.11452991452991407,0.0073260073260072445,0.10720390720390682,0.12185592185592131,2,0,42:+0.1219;43:+0.1072
floor,V11-V01,last,0.015,test_pgd_auroc,2,0.02757020757020756,0.02757020757020756,0.0014896214896215065,0.026080586080586055,0.029059829059829068,2,0,42:+0.0291;43:+0.0261
floor,V11-V01,last,0.015,test_recall,2,0.1333333333333333,0.1333333333333333,0.022222222222222254,0.11111111111111105,0.15555555555555556,2,0,42:+0.1111;43:+0.1556
