variant,variant_label,seed,checkpoint,epsilon,val_pgd_auroc,val_pgd_pauroc_far020,val_pgd_fall_score_median,val_pgd_nonfall_score_median,val_pgd_fall_score_mean,val_pgd_nonfall_score_mean,val_pgd_median_gap,val_pgd_cohens_d,val_pgd_argmax_acc7,val_pgd_argmax_fall_recall,val_pgd_argmax_false_fall_alarms,val_pgd_argmax_far,val_pgd_argmax_TP,val_pgd_argmax_FN,val_pgd_argmax_FP,val_pgd_argmax_TN,test_pgd_auroc,test_pgd_pauroc_far020,test_pgd_fall_score_median,test_pgd_nonfall_score_median,test_pgd_fall_score_mean,test_pgd_nonfall_score_mean,test_pgd_median_gap,test_pgd_cohens_d,test_pgd_argmax_acc7,test_pgd_argmax_fall_recall,test_pgd_argmax_false_fall_alarms,test_pgd_argmax_far,test_pgd_argmax_TP,test_pgd_argmax_FN,test_pgd_argmax_FP,test_pgd_argmax_TN,val_clean_auroc,val_clean_pauroc_far020,val_clean_fall_score_median,val_clean_nonfall_score_median,val_clean_fall_score_mean,val_clean_nonfall_score_mean,val_clean_median_gap,val_clean_cohens_d,val_clean_argmax_acc7,val_clean_argmax_fall_recall,val_clean_argmax_false_fall_alarms,val_clean_argmax_far,val_clean_argmax_TP,val_clean_argmax_FN,val_clean_argmax_FP,val_clean_argmax_TN,test_clean_auroc,test_clean_pauroc_far020,test_clean_fall_score_median,test_clean_nonfall_score_median,test_clean_fall_score_mean,test_clean_nonfall_score_mean,test_clean_median_gap,test_clean_cohens_d,test_clean_argmax_acc7,test_clean_argmax_fall_recall,test_clean_argmax_false_fall_alarms,test_clean_argmax_far,test_clean_argmax_TP,test_clean_argmax_FN,test_clean_argmax_FP,test_clean_argmax_TN,threshold_feasible,tau_frozen,val_sel_TP,val_sel_FN,val_sel_FP,val_sel_TN,val_sel_recall,val_sel_FAR,test_TP,test_FN,test_FP,test_TN,test_recall,test_FAR,test_precision,test_F1,test_clean_recall_at_tau,test_clean_FAR_at_tau,val_clean_recall_at_tau,val_clean_FAR_at_tau,test_pgd_recall_gain_from_threshold,test_pgd_far_change_from_threshold,val_pgd_recall_gain_from_threshold,test_fp_sources
V00,"CONTROL (no floor, fixed lam_b)",42,last,0.015000,0.936344,0.719982,0.276994,0.026357,0.274568,0.069273,0.250636,2.316311,0.493952,0.818182,45,0.099558,36,8,45,407,0.924933,0.672527,0.274797,0.028744,0.266297,0.075686,0.246053,2.224655,0.490000,0.888889,55,0.120879,40,5,55,400,0.986575,0.939059,0.309148,0.019963,0.336424,0.055277,0.289186,3.048270,0.659274,0.954545,30,0.066372,42,2,30,422,0.984176,0.930891,0.309550,0.023137,0.321912,0.061304,0.286413,3.029736,0.622000,0.933333,35,0.076923,42,3,35,420,True,0.213226,36,8,43,409,0.818182,0.095133,38,7,61,394,0.844444,0.134066,0.383838,0.527778,0.955556,0.092308,0.954545,0.059735,-0.044444,0.013187,0.000000,run=24;walk=15;stand up=10;pickup=9;sit down=2;lie down=1
V00,"CONTROL (no floor, fixed lam_b)",42,last,0.030000,0.827987,0.319992,0.207291,0.024005,0.204800,0.080226,0.183285,1.367496,0.322581,0.454545,69,0.152655,20,24,69,383,0.809280,0.249328,0.207912,0.032516,0.202606,0.086163,0.175396,1.336748,0.298000,0.488889,84,0.184615,22,23,84,371,0.986575,0.939059,0.309148,0.019963,0.336424,0.055277,0.289186,3.048270,0.659274,0.954545,30,0.066372,42,2,30,422,0.984176,0.930891,0.309550,0.023137,0.321912,0.061304,0.286413,3.029736,0.622000,0.933333,35,0.076923,42,3,35,420,True,0.228904,19,25,53,399,0.431818,0.117257,19,26,69,386,0.422222,0.151648,0.215909,0.285714,0.955556,0.068132,0.954545,0.050885,-0.066667,-0.032967,-0.022727,run=34;walk=17;stand up=10;pickup=8
V00,"CONTROL (no floor, fixed lam_b)",43,last,0.015000,0.934131,0.712691,0.234260,0.005897,0.255901,0.042883,0.228363,1.626467,0.514113,0.613636,16,0.035398,27,17,16,436,0.920977,0.628571,0.209205,0.006731,0.225257,0.044543,0.202474,1.587808,0.470000,0.488889,23,0.050549,22,23,23,432,0.982251,0.917337,0.283466,0.003783,0.333658,0.032633,0.279683,2.070639,0.691532,0.840909,7,0.015487,37,7,7,445,0.979927,0.899634,0.264593,0.005264,0.298645,0.035968,0.259329,2.082186,0.684000,0.844444,14,0.030769,38,7,14,441,True,0.130873,38,6,54,398,0.863636,0.119469,36,9,57,398,0.800000,0.125275,0.387097,0.521739,0.955556,0.098901,0.954545,0.075221,0.311111,0.074725,0.250000,run=20;walk=15;stand up=10;pickup=5;lie down=4;sit down=3
V00,"CONTROL (no floor, fixed lam_b)",43,last,0.030000,0.848954,0.385107,0.135269,0.005181,0.166439,0.050195,0.130088,1.041628,0.237903,0.227273,32,0.070796,10,34,32,420,0.825055,0.266422,0.129880,0.006224,0.143849,0.050940,0.123656,1.049836,0.254000,0.111111,38,0.083516,5,40,38,417,0.982251,0.917337,0.283466,0.003783,0.333658,0.032633,0.279683,2.070639,0.691532,0.840909,7,0.015487,37,7,7,445,0.979927,0.899634,0.264593,0.005264,0.298645,0.035968,0.259329,2.082186,0.684000,0.844444,14,0.030769,38,7,14,441,True,0.134720,24,20,54,398,0.545455,0.119469,21,24,71,384,0.466667,0.156044,0.228261,0.306569,0.955556,0.087912,0.954545,0.068584,0.355556,0.072527,0.318182,run=26;walk=18;stand up=11;lie down=7;pickup=7;sit down=2
V10,FLOOR ONLY,42,last,0.015000,0.935489,0.703037,0.340178,0.039149,0.358881,0.089953,0.301030,2.123235,0.479839,0.886364,60,0.132743,39,5,60,392,0.939463,0.734066,0.342502,0.038786,0.359248,0.091371,0.303716,2.215436,0.482000,0.933333,65,0.142857,42,3,65,390,0.987731,0.938656,0.396216,0.024265,0.439357,0.066868,0.371951,3.036327,0.689516,0.954545,31,0.068584,42,2,31,421,0.990281,0.958730,0.389482,0.026457,0.429928,0.069104,0.363025,2.975538,0.642000,0.955556,37,0.081319,43,2,37,418,True,0.258996,39,5,53,399,0.886364,0.117257,39,6,58,397,0.866667,0.127473,0.402062,0.549296,0.977778,0.065934,0.954545,0.053097,-0.066667,-0.015385,0.000000,run=23;walk=13;stand up=9;pickup=8;lie down=3;sit down=2
V10,FLOOR ONLY,42,last,0.030000,0.825724,0.301840,0.278894,0.040862,0.275863,0.109379,0.238032,1.236145,0.310484,0.704545,91,0.201327,31,13,91,361,0.822173,0.277411,0.274986,0.047477,0.277479,0.110953,0.227509,1.378034,0.282000,0.755556,106,0.232967,34,11,106,349,0.987731,0.938656,0.396216,0.024265,0.439357,0.066868,0.371951,3.036327,0.689516,0.954545,31,0.068584,42,2,31,421,0.990281,0.958730,0.389482,0.026457,0.429928,0.069104,0.363025,2.975538,0.642000,0.955556,37,0.081319,43,2,37,418,True,0.309508,16,28,53,399,0.363636,0.117257,13,32,58,397,0.288889,0.127473,0.183099,0.224138,0.911111,0.017582,0.886364,0.024336,-0.466667,-0.105495,-0.340909,run=30;walk=14;stand up=8;pickup=4;lie down=2
V10,FLOOR ONLY,42,maxscore,0.015000,0.953640,0.777906,0.343108,0.023727,0.349438,0.069390,0.319380,2.281633,0.502016,0.795455,40,0.088496,35,9,40,412,0.941832,0.733822,0.328830,0.029101,0.330837,0.076065,0.299729,2.285713,0.498000,0.844444,46,0.101099,38,7,46,409,0.993665,0.968323,0.386829,0.015816,0.437203,0.051169,0.371012,3.317811,0.705645,0.931818,21,0.046460,41,3,21,431,0.991160,0.957998,0.383636,0.018568,0.420982,0.056274,0.365068,3.308114,0.692000,0.933333,26,0.057143,42,3,26,429,True,0.202857,38,6,52,400,0.863636,0.115044,39,6,63,392,0.866667,0.138462,0.382353,0.530612,0.955556,0.085714,0.977273,0.064159,0.022222,0.037363,0.068182,run=25;walk=13;stand up=10;pickup=8;lie down=4;sit down=3
V10,FLOOR ONLY,42,maxscore,0.030000,0.845988,0.358005,0.244682,0.025992,0.254153,0.086799,0.218690,1.297419,0.314516,0.568182,63,0.139381,25,19,63,389,0.811136,0.247375,0.223762,0.033272,0.230003,0.093890,0.190490,1.197133,0.308000,0.444444,76,0.167033,20,25,76,379,0.993665,0.968323,0.386829,0.015816,0.437203,0.051169,0.371012,3.317811,0.705645,0.931818,21,0.046460,41,3,21,431,0.991160,0.957998,0.383636,0.018568,0.420982,0.056274,0.365068,3.308114,0.692000,0.933333,26,0.057143,42,3,26,429,True,0.265454,21,23,54,398,0.477273,0.119469,18,27,67,388,0.400000,0.147253,0.211765,0.276923,0.955556,0.043956,0.931818,0.028761,-0.044444,-0.019780,-0.090909,run=28;walk=19;stand up=9;pickup=7;lie down=4
V10,FLOOR ONLY,43,last,0.015000,0.929857,0.742910,0.296515,0.009348,0.282576,0.057622,0.287166,2.033253,0.471774,0.772727,36,0.079646,34,10,36,416,0.937289,0.724298,0.294361,0.011186,0.281680,0.062032,0.283175,2.227685,0.446000,0.777778,44,0.096703,35,10,44,411,0.976870,0.913817,0.335908,0.008341,0.361579,0.042685,0.327568,2.640638,0.723790,0.931818,14,0.030973,41,3,14,438,0.986471,0.934066,0.333593,0.008020,0.358834,0.047634,0.325573,2.849865,0.690000,0.911111,23,0.050549,41,4,23,432,True,0.198436,37,7,46,406,0.840909,0.101770,36,9,58,397,0.800000,0.127473,0.382979,0.517986,0.933333,0.081319,0.931818,0.061947,0.022222,0.030769,0.068182,run=23;walk=13;stand up=10;pickup=7;lie down=3;sit down=2
V10,FLOOR ONLY,43,last,0.030000,0.824769,0.356848,0.225339,0.007893,0.200661,0.067918,0.217446,1.248773,0.219758,0.545455,64,0.141593,24,20,64,388,0.814261,0.260317,0.217721,0.010720,0.192911,0.071770,0.207001,1.212463,0.218000,0.533333,74,0.162637,24,21,74,381,0.976870,0.913817,0.335908,0.008341,0.361579,0.042685,0.327568,2.640638,0.723790,0.931818,14,0.030973,41,3,14,438,0.986471,0.934066,0.333593,0.008020,0.358834,0.047634,0.325573,2.849865,0.690000,0.911111,23,0.050549,41,4,23,432,True,0.230444,21,23,54,398,0.477273,0.119469,20,25,64,391,0.444444,0.140659,0.238095,0.310078,0.888889,0.054945,0.886364,0.037611,-0.088889,-0.021978,-0.068182,run=30;walk=13;stand up=10;pickup=6;lie down=4;sit down=1
