attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.976908,0.963155,0.966292,0.033708,1.000000,0.982857,86,3,0,907,0,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.793173,0.776972,0.853933,0.146067,0.974359,0.910180,76,13,2,905,2,0.183735,0.112360,0.183735
fgsm,legacy,0.005000,n/a,n/a,0.417671,0.397478,0.325843,0.674157,0.537037,0.405594,29,60,25,882,25,0.559237,0.640449,0.559237
fgsm,legacy,0.007500,n/a,n/a,0.219880,0.189126,0.089888,0.910112,0.145455,0.111111,8,81,47,860,47,0.757028,0.876404,0.757028
fgsm,legacy,0.010000,n/a,n/a,0.126506,0.097963,0.000000,1.000000,0.000000,0.000000,0,89,62,845,62,0.851406,0.966292,0.850402
fgsm,legacy,0.012500,n/a,n/a,0.073293,0.055576,0.000000,1.000000,0.000000,0.000000,0,89,71,836,71,0.904618,0.966292,0.903614
fgsm,legacy,0.015000,n/a,n/a,0.056225,0.044125,0.000000,1.000000,0.000000,0.000000,0,89,75,832,75,0.921687,0.966292,0.920683
fgsm,legacy,0.017500,n/a,n/a,0.048193,0.037442,0.000000,1.000000,0.000000,0.000000,0,89,76,831,76,0.929719,0.966292,0.928715
fgsm,legacy,0.020000,n/a,n/a,0.040161,0.029687,0.000000,1.000000,0.000000,0.000000,0,89,75,832,75,0.937751,0.966292,0.936747
fgsm,legacy,0.025000,n/a,n/a,0.027108,0.019831,0.000000,1.000000,0.000000,0.000000,0,89,79,828,79,0.951807,0.966292,0.949799
fgsm,legacy,0.030000,n/a,n/a,0.024096,0.018091,0.000000,1.000000,0.000000,0.000000,0,89,84,823,84,0.955823,0.966292,0.952811
fgsm,legacy,0.035000,n/a,n/a,0.024096,0.018054,0.000000,1.000000,0.000000,0.000000,0,89,82,825,82,0.956827,0.966292,0.952811
fgsm,legacy,0.040000,n/a,n/a,0.020080,0.015744,0.000000,1.000000,0.000000,0.000000,0,89,84,823,84,0.962851,0.966292,0.956827
fgsm,legacy,0.045000,n/a,n/a,0.016064,0.012543,0.000000,1.000000,0.000000,0.000000,0,89,84,823,84,0.966867,0.966292,0.960843
fgsm,legacy,0.050000,n/a,n/a,0.011044,0.008792,0.000000,1.000000,0.000000,0.000000,0,89,85,822,85,0.972892,0.966292,0.965863
fgsm,legacy,0.055000,n/a,n/a,0.009036,0.007676,0.000000,1.000000,0.000000,0.000000,0,89,86,821,86,0.974900,0.966292,0.967871
fgsm,legacy,0.060000,n/a,n/a,0.009036,0.008439,0.000000,1.000000,0.000000,0.000000,0,89,83,824,83,0.974900,0.966292,0.967871
fgsm,legacy,0.075000,n/a,n/a,0.009036,0.007929,0.000000,1.000000,0.000000,0.000000,0,89,77,830,77,0.976908,0.966292,0.967871
