attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.976908,0.966307,0.988764,0.011236,0.988764,0.988764,88,1,1,906,1,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.836345,0.806325,0.910112,0.089888,0.861702,0.885246,81,8,13,894,13,0.141566,0.078652,0.140562
pgd,legacy,0.005000,10,0.000833,0.458835,0.434921,0.483146,0.516854,0.425743,0.452632,43,46,58,849,58,0.519076,0.505618,0.518072
pgd,legacy,0.007500,10,0.001250,0.183735,0.166955,0.134831,0.865169,0.133333,0.134078,12,77,78,829,78,0.794177,0.853933,0.793173
pgd,legacy,0.010000,10,0.001667,0.081325,0.066906,0.022472,0.977528,0.021739,0.022099,2,87,90,817,90,0.896586,0.966292,0.895582
pgd,legacy,0.012500,10,0.002083,0.039157,0.031816,0.000000,1.000000,0.000000,0.000000,0,89,101,806,101,0.939759,0.988764,0.937751
pgd,legacy,0.015000,10,0.002500,0.019076,0.015691,0.000000,1.000000,0.000000,0.000000,0,89,108,799,108,0.959839,0.988764,0.957831
pgd,legacy,0.017500,10,0.002917,0.003012,0.002357,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.975904,0.988764,0.973896
pgd,legacy,0.020000,10,0.003333,0.002008,0.001746,0.000000,1.000000,0.000000,0.000000,0,89,112,795,112,0.976908,0.988764,0.974900
pgd,legacy,0.025000,10,0.004167,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,109,798,109,0.979920,0.988764,0.976908
pgd,legacy,0.030000,10,0.005000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,112,795,112,0.979920,0.988764,0.976908
pgd,legacy,0.035000,10,0.005833,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.979920,0.988764,0.976908
pgd,legacy,0.040000,10,0.006667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,112,795,112,0.979920,0.988764,0.976908
pgd,legacy,0.045000,10,0.007500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,113,794,113,0.979920,0.988764,0.976908
pgd,legacy,0.050000,10,0.008333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,115,792,115,0.979920,0.988764,0.976908
pgd,legacy,0.055000,10,0.009167,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,115,792,115,0.979920,0.988764,0.976908
pgd,legacy,0.060000,10,0.010000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,116,791,116,0.979920,0.988764,0.976908
pgd,legacy,0.075000,10,0.012500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,117,790,117,0.979920,0.988764,0.976908
