attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.908635,0.902084,0.955056,0.044944,0.934066,0.944444,85,4,6,901,6,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.866466,0.860733,0.943820,0.056180,0.893617,0.918033,84,5,10,897,10,0.042169,0.011236,0.042169
fgsm,legacy,0.005000,n/a,n/a,0.827309,0.819024,0.932584,0.067416,0.855670,0.892473,83,6,14,893,14,0.081325,0.022472,0.081325
fgsm,legacy,0.007500,n/a,n/a,0.789157,0.782667,0.932584,0.067416,0.838384,0.882979,83,6,16,891,16,0.119478,0.022472,0.119478
fgsm,legacy,0.010000,n/a,n/a,0.746988,0.738634,0.921348,0.078652,0.780952,0.845361,82,7,23,884,23,0.163655,0.033708,0.161647
fgsm,legacy,0.012500,n/a,n/a,0.693775,0.684583,0.876404,0.123596,0.728972,0.795918,78,11,29,878,29,0.216867,0.078652,0.214859
fgsm,legacy,0.015000,n/a,n/a,0.667671,0.654641,0.865169,0.134831,0.700000,0.773869,77,12,33,874,33,0.243976,0.089888,0.240964
fgsm,legacy,0.017500,n/a,n/a,0.638554,0.625928,0.831461,0.168539,0.672727,0.743719,74,15,36,871,36,0.273092,0.123596,0.270080
fgsm,legacy,0.020000,n/a,n/a,0.614458,0.599464,0.786517,0.213483,0.642202,0.707071,70,19,39,868,39,0.297189,0.168539,0.294177
fgsm,legacy,0.025000,n/a,n/a,0.555221,0.539983,0.674157,0.325843,0.576923,0.621762,60,29,44,863,44,0.357430,0.280899,0.353414
fgsm,legacy,0.030000,n/a,n/a,0.498996,0.483605,0.584270,0.415730,0.536082,0.559140,52,37,45,862,45,0.414659,0.370787,0.409639
fgsm,legacy,0.035000,n/a,n/a,0.454819,0.430475,0.494382,0.505618,0.483516,0.488889,44,45,47,860,47,0.458835,0.460674,0.453815
fgsm,legacy,0.040000,n/a,n/a,0.410643,0.387856,0.438202,0.561798,0.423913,0.430939,39,50,53,854,53,0.505020,0.516854,0.497992
fgsm,legacy,0.045000,n/a,n/a,0.366466,0.335752,0.348315,0.651685,0.352273,0.350282,31,58,57,850,57,0.550201,0.606742,0.542169
fgsm,legacy,0.050000,n/a,n/a,0.314257,0.281000,0.247191,0.752809,0.258824,0.252874,22,67,63,844,63,0.606426,0.707865,0.594378
fgsm,legacy,0.055000,n/a,n/a,0.279116,0.241031,0.157303,0.842697,0.179487,0.167665,14,75,64,843,64,0.645582,0.797753,0.629518
fgsm,legacy,0.060000,n/a,n/a,0.252008,0.209357,0.067416,0.932584,0.086957,0.075949,6,83,63,844,63,0.678715,0.887640,0.656627
fgsm,legacy,0.075000,n/a,n/a,0.219880,0.170546,0.044944,0.955056,0.071429,0.055172,4,85,52,855,52,0.718876,0.910112,0.688755
