attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.908635,0.902084,0.955056,0.044944,0.934066,0.944444,85,4,6,901,6,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.867470,0.861490,0.943820,0.056180,0.884211,0.913043,84,5,11,896,11,0.041165,0.011236,0.041165
pgd,legacy,0.005000,10,0.000833,0.822289,0.813736,0.932584,0.067416,0.846939,0.887701,83,6,15,892,15,0.086345,0.022472,0.086345
pgd,legacy,0.007500,10,0.001250,0.764056,0.757423,0.932584,0.067416,0.783019,0.851282,83,6,23,884,23,0.146586,0.022472,0.144578
pgd,legacy,0.010000,10,0.001667,0.704819,0.696904,0.887640,0.112360,0.724771,0.797980,79,10,30,877,30,0.206827,0.067416,0.203815
pgd,legacy,0.012500,10,0.002083,0.643574,0.637941,0.831461,0.168539,0.685185,0.751269,74,15,34,873,34,0.269076,0.123596,0.265060
pgd,legacy,0.015000,10,0.002500,0.590361,0.580125,0.764045,0.235955,0.629630,0.690355,68,21,40,867,40,0.321285,0.191011,0.318273
pgd,legacy,0.017500,10,0.002917,0.524096,0.519312,0.651685,0.348315,0.557692,0.601036,58,31,46,861,46,0.391566,0.303371,0.384538
pgd,legacy,0.020000,10,0.003333,0.470884,0.470138,0.584270,0.415730,0.504854,0.541667,52,37,51,856,51,0.445783,0.370787,0.437751
pgd,legacy,0.025000,10,0.004167,0.336345,0.332710,0.292135,0.707865,0.257426,0.273684,26,63,75,832,75,0.582329,0.662921,0.572289
pgd,legacy,0.030000,10,0.005000,0.221888,0.220695,0.134831,0.865169,0.118812,0.126316,12,77,89,818,89,0.699799,0.820225,0.686747
pgd,legacy,0.035000,10,0.005833,0.133534,0.139765,0.067416,0.932584,0.057143,0.061856,6,83,99,808,99,0.795181,0.887640,0.775100
pgd,legacy,0.040000,10,0.006667,0.080321,0.091922,0.022472,0.977528,0.018349,0.020202,2,87,107,800,107,0.852410,0.932584,0.828313
pgd,legacy,0.045000,10,0.007500,0.057229,0.069529,0.000000,1.000000,0.000000,0.000000,0,89,106,801,106,0.879518,0.955056,0.851406
pgd,legacy,0.050000,10,0.008333,0.039157,0.049741,0.000000,1.000000,0.000000,0.000000,0,89,112,795,112,0.898594,0.955056,0.869478
pgd,legacy,0.055000,10,0.009167,0.022088,0.030983,0.000000,1.000000,0.000000,0.000000,0,89,113,794,113,0.917671,0.955056,0.886546
pgd,legacy,0.060000,10,0.010000,0.017068,0.024880,0.000000,1.000000,0.000000,0.000000,0,89,117,790,117,0.921687,0.955056,0.891566
pgd,legacy,0.075000,10,0.012500,0.006024,0.010084,0.000000,1.000000,0.000000,0.000000,0,89,123,784,123,0.937751,0.955056,0.902610
