attack,epsilon,accuracy,missed_fall_rate,false_positive_rate,safety_score_10_to_1,tp_fn_fp_tn
FGSM,0.0000,0.9700,0.0444,0.0000,0.4444,43/2/0/455
FGSM,0.0025,0.7800,0.1333,0.0044,1.3377,39/6/2/453
FGSM,0.0050,0.4040,0.7556,0.0264,7.5819,11/34/12/443
FGSM,0.0075,0.2160,0.8889,0.0571,8.9460,5/40/26/429
FGSM,0.0100,0.1200,1.0000,0.0813,10.0813,0/45/37/418
FGSM,0.0300,0.0200,1.0000,0.1033,10.1033,0/45/47/408
PGD,0.0000,0.9700,0.0444,0.0000,0.4444,43/2/0/455
PGD,0.0025,0.7640,0.1556,0.0088,1.5644,38/7/4/451
PGD,0.0050,0.2940,0.8667,0.0352,8.7018,6/39/16/439
PGD,0.0075,0.1120,1.0000,0.0747,10.0747,0/45/34/421
PGD,0.0100,0.0360,1.0000,0.0989,10.0989,0/45/45/410
PGD,0.0300,0.0000,1.0000,0.1055,10.1055,0/45/48/407
