weighting,condition,FNR,FPR,missed_fall_component,false_alert_component,total_score
1:1,Undefended clean,0.0444,0.0000,0.0444,0.0000,0.0444
1:1,Undefended FGSM,1.0000,0.1033,1.0000,0.1033,1.1033
1:1,Undefended PGD,1.0000,0.1055,1.0000,0.1055,1.1055
1:1,Defended clean,0.0889,0.0176,0.0889,0.0176,0.1065
1:1,Defended FGSM,0.6889,0.0593,0.6889,0.0593,0.7482
1:1,Defended PGD,0.9111,0.1187,0.9111,0.1187,1.0298
5:1,Undefended clean,0.0444,0.0000,0.2222,0.0000,0.2222
5:1,Undefended FGSM,1.0000,0.1033,5.0000,0.1033,5.1033
5:1,Undefended PGD,1.0000,0.1055,5.0000,0.1055,5.1055
5:1,Defended clean,0.0889,0.0176,0.4444,0.0176,0.4620
5:1,Defended FGSM,0.6889,0.0593,3.4444,0.0593,3.5038
5:1,Defended PGD,0.9111,0.1187,4.5556,0.1187,4.6742
10:1,Undefended clean,0.0444,0.0000,0.4444,0.0000,0.4444
10:1,Undefended FGSM,1.0000,0.1033,10.0000,0.1033,10.1033
10:1,Undefended PGD,1.0000,0.1055,10.0000,0.1055,10.1055
10:1,Defended clean,0.0889,0.0176,0.8889,0.0176,0.9065
10:1,Defended FGSM,0.6889,0.0593,6.8889,0.0593,6.9482
10:1,Defended PGD,0.9111,0.1187,9.1111,0.1187,9.2298
