epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
1,1.821372,0.278982,0.274194,0.294355,0.064976,0.000000,0.294355,0.064976,0.000000,0.064976
2,1.803210,0.292591,0.286290,0.336694,0.129783,0.000000,0.193548,0.055747,0.000000,0.092765
3,1.795154,0.309224,0.289819,0.328629,0.120304,0.000000,0.290323,0.105414,0.000000,0.112859
4,1.778702,0.310736,0.259577,0.344758,0.127965,0.000000,0.296371,0.109763,0.000000,0.118864
5,1.744698,0.352571,0.277218,0.381048,0.148439,0.000000,0.205645,0.058363,0.000000,0.103401
6,1.694626,0.399194,0.309728,0.445565,0.260671,0.000000,0.340726,0.189776,0.000000,0.225223
7,1.601815,0.453125,0.322581,0.471774,0.293856,0.000000,0.342742,0.196799,0.000000,0.245327
8,1.520629,0.487147,0.329637,0.485887,0.373990,0.000000,0.310484,0.228319,0.000000,0.301155
9,1.456291,0.521925,0.335938,0.542339,0.455708,0.000000,0.340726,0.250552,0.000000,0.353130
10,1.417649,0.558972,0.339718,0.574597,0.546502,0.613636,0.326613,0.247356,0.000000,0.396929
11,1.360259,0.599546,0.338206,0.625000,0.579450,0.295455,0.368952,0.248069,0.000000,0.413760
12,1.317078,0.625252,0.353579,0.677419,0.656705,0.568182,0.362903,0.260861,0.000000,0.458783
13,1.269782,0.665827,0.374748,0.665323,0.646228,0.590909,0.379032,0.281790,0.045455,0.464009
14,1.275107,0.661038,0.373740,0.681452,0.652175,0.477273,0.407258,0.275795,0.000000,0.463985
15,1.231060,0.674899,0.384577,0.711694,0.693020,0.795455,0.403226,0.330784,0.068182,0.511902
16,1.194474,0.701361,0.394657,0.721774,0.708261,0.659091,0.407258,0.293531,0.000000,0.500896
17,1.167273,0.716482,0.407762,0.723790,0.709701,0.750000,0.399194,0.300774,0.045455,0.505238
18,1.152002,0.728075,0.394153,0.691532,0.665643,0.386364,0.387097,0.303760,0.000000,0.484701
19,1.138338,0.734123,0.403226,0.711694,0.681230,0.477273,0.354839,0.278665,0.022727,0.479948
20,1.135700,0.747984,0.399950,0.721774,0.703681,0.568182,0.413306,0.289655,0.000000,0.496668
21,1.089475,0.762097,0.404486,0.760081,0.746393,0.750000,0.405242,0.296958,0.068182,0.521675
22,1.071300,0.768901,0.418095,0.770161,0.756493,0.840909,0.419355,0.353210,0.068182,0.554851
23,1.057935,0.783266,0.413054,0.743952,0.741034,0.886364,0.441532,0.390929,0.159091,0.565981
24,1.059085,0.779234,0.420615,0.770161,0.751507,0.954545,0.421371,0.347635,0.159091,0.549571
25,1.032840,0.788810,0.408014,0.792339,0.768934,0.909091,0.423387,0.356846,0.159091,0.562890
26,1.017376,0.795615,0.424647,0.778226,0.762300,0.795455,0.320565,0.296500,0.045455,0.529400
27,1.000202,0.804940,0.436240,0.788306,0.779027,0.954545,0.427419,0.355720,0.181818,0.567374
28,0.999357,0.814768,0.425403,0.806452,0.767187,0.840909,0.429435,0.332082,0.136364,0.549634
29,1.019560,0.800655,0.418347,0.782258,0.780098,0.818182,0.419355,0.324220,0.068182,0.552159
