condition,metric,n_seeds,mean,std,sem,ci95_low,ci95_high
clean,accuracy,5,0.833200,0.027517,0.012306,0.799033,0.867367
clean,macro_f1,5,0.792574,0.030087,0.013455,0.755216,0.829933
clean,fall_recall,5,0.884444,0.042745,0.019116,0.831369,0.937520
clean,fall_precision,5,0.857408,0.073325,0.032792,0.766363,0.948453
clean,false_fall_alarms,5,7.000000,4.690416,2.097618,1.176080,12.823920
fgsm_eps0.03,fall_recall,5,0.022222,0.049690,0.022222,-0.039477,0.083921
fgsm_eps0.03,accuracy,5,0.103200,0.019473,0.008709,0.079021,0.127379
fgsm_eps0.03,macro_f1,5,0.091172,0.016657,0.007449,0.070490,0.111855
fgsm_eps0.03,false_fall_alarms,5,41.600000,13.088163,5.853204,25.348900,57.851100
pgd_eps0.03,fall_recall,5,0.004444,0.009938,0.004444,-0.007895,0.016784
pgd_eps0.03,accuracy,5,0.024800,0.008319,0.003720,0.014471,0.035129
pgd_eps0.03,macro_f1,5,0.026051,0.013338,0.005965,0.009489,0.042613
pgd_eps0.03,false_fall_alarms,5,57.000000,11.726039,5.244044,42.440200,71.559800
