attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.825301,0.795253,0.865169,0.134831,0.846154,0.855556,77,12,14,893,14,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.728916,0.694422,0.808989,0.191011,0.782609,0.795580,72,17,20,887,20,0.101406,0.056180,0.096386
pgd,legacy,0.005000,10,0.000833,0.605422,0.572693,0.640449,0.359551,0.695122,0.666667,57,32,25,882,25,0.227912,0.224719,0.219880
pgd,legacy,0.007500,10,0.001250,0.482932,0.460047,0.460674,0.539326,0.569444,0.509317,41,48,31,876,31,0.357430,0.404494,0.342369
pgd,legacy,0.010000,10,0.001667,0.353414,0.328763,0.247191,0.752809,0.323529,0.280255,22,67,46,861,46,0.492972,0.617978,0.471888
pgd,legacy,0.012500,10,0.002083,0.244980,0.225660,0.146067,0.853933,0.173333,0.158537,13,76,62,845,62,0.611446,0.719101,0.580321
pgd,legacy,0.015000,10,0.002500,0.157631,0.139794,0.022472,0.977528,0.027778,0.024845,2,87,70,837,70,0.707831,0.842697,0.667671
pgd,legacy,0.017500,10,0.002917,0.108434,0.103282,0.000000,1.000000,0.000000,0.000000,0,89,76,831,76,0.768072,0.865169,0.716867
pgd,legacy,0.020000,10,0.003333,0.071285,0.072272,0.000000,1.000000,0.000000,0.000000,0,89,80,827,80,0.811245,0.865169,0.754016
pgd,legacy,0.025000,10,0.004167,0.028112,0.031637,0.000000,1.000000,0.000000,0.000000,0,89,85,822,85,0.866466,0.865169,0.797189
pgd,legacy,0.030000,10,0.005000,0.011044,0.015631,0.000000,1.000000,0.000000,0.000000,0,89,95,812,95,0.893574,0.865169,0.814257
pgd,legacy,0.035000,10,0.005833,0.006024,0.009445,0.000000,1.000000,0.000000,0.000000,0,89,98,809,98,0.902610,0.865169,0.819277
pgd,legacy,0.040000,10,0.006667,0.003012,0.004811,0.000000,1.000000,0.000000,0.000000,0,89,87,820,87,0.912651,0.865169,0.822289
pgd,legacy,0.045000,10,0.007500,0.003012,0.004816,0.000000,1.000000,0.000000,0.000000,0,89,77,830,77,0.918675,0.865169,0.822289
pgd,legacy,0.050000,10,0.008333,0.002008,0.002781,0.000000,1.000000,0.000000,0.000000,0,89,72,835,72,0.920683,0.865169,0.823293
pgd,legacy,0.055000,10,0.009167,0.001004,0.000713,0.000000,1.000000,0.000000,0.000000,0,89,62,845,62,0.926707,0.865169,0.824297
pgd,legacy,0.060000,10,0.010000,0.001004,0.000705,0.000000,1.000000,0.000000,0.000000,0,89,51,856,51,0.931727,0.865169,0.824297
pgd,legacy,0.075000,10,0.012500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,39,868,39,0.940763,0.865169,0.825301
