attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.842369,0.804385,0.853933,0.146067,0.915663,0.883721,76,13,7,900,7,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.762048,0.714691,0.831461,0.168539,0.860465,0.845714,74,15,12,895,12,0.084337,0.022472,0.080321
fgsm,legacy,0.005000,n/a,n/a,0.656627,0.596832,0.707865,0.292135,0.768293,0.736842,63,26,19,888,19,0.193775,0.146067,0.185743
fgsm,legacy,0.007500,n/a,n/a,0.536145,0.475904,0.494382,0.505618,0.637681,0.556962,44,45,25,882,25,0.319277,0.359551,0.306225
fgsm,legacy,0.010000,n/a,n/a,0.441767,0.381978,0.224719,0.775281,0.400000,0.287770,20,69,30,877,30,0.417671,0.629213,0.400602
fgsm,legacy,0.012500,n/a,n/a,0.370482,0.307744,0.112360,0.887640,0.178571,0.137931,10,79,46,861,46,0.490964,0.741573,0.471888
fgsm,legacy,0.015000,n/a,n/a,0.309237,0.248716,0.033708,0.966292,0.050847,0.040541,3,86,56,851,56,0.554217,0.820225,0.533133
fgsm,legacy,0.017500,n/a,n/a,0.254016,0.199225,0.011236,0.988764,0.014706,0.012739,1,88,67,840,67,0.610442,0.842697,0.588353
fgsm,legacy,0.020000,n/a,n/a,0.218876,0.175711,0.000000,1.000000,0.000000,0.000000,0,89,75,832,75,0.648594,0.853933,0.623494
fgsm,legacy,0.025000,n/a,n/a,0.158635,0.131451,0.000000,1.000000,0.000000,0.000000,0,89,76,831,76,0.716867,0.853933,0.683735
fgsm,legacy,0.030000,n/a,n/a,0.127510,0.106356,0.000000,1.000000,0.000000,0.000000,0,89,79,828,79,0.757028,0.853933,0.714859
fgsm,legacy,0.035000,n/a,n/a,0.095382,0.079964,0.000000,1.000000,0.000000,0.000000,0,89,87,820,87,0.796185,0.853933,0.746988
fgsm,legacy,0.040000,n/a,n/a,0.075301,0.060710,0.000000,1.000000,0.000000,0.000000,0,89,85,822,85,0.820281,0.853933,0.767068
fgsm,legacy,0.045000,n/a,n/a,0.055221,0.040228,0.000000,1.000000,0.000000,0.000000,0,89,86,821,86,0.845382,0.853933,0.787149
fgsm,legacy,0.050000,n/a,n/a,0.041165,0.028901,0.000000,1.000000,0.000000,0.000000,0,89,88,819,88,0.862450,0.853933,0.801205
fgsm,legacy,0.055000,n/a,n/a,0.038153,0.026398,0.000000,1.000000,0.000000,0.000000,0,89,87,820,87,0.872490,0.853933,0.804217
fgsm,legacy,0.060000,n/a,n/a,0.034137,0.022598,0.000000,1.000000,0.000000,0.000000,0,89,91,816,91,0.877510,0.853933,0.808233
fgsm,legacy,0.075000,n/a,n/a,0.024096,0.016433,0.000000,1.000000,0.000000,0.000000,0,89,97,810,97,0.894578,0.853933,0.818273
