epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.788298,0.302671,1.742778,0.320565,0.123322
2,1.772840,0.307964,1.704346,0.326613,0.121186
3,1.753688,0.310484,1.713274,0.326613,0.119455
4,1.774315,0.298387,1.750921,0.346774,0.136603
5,1.725817,0.323589,1.717454,0.316532,0.120304
6,1.746901,0.310484,1.743885,0.294355,0.064976
7,1.723379,0.335181,1.705311,0.306452,0.113123
8,1.692990,0.349294,1.646995,0.326613,0.113092
9,1.656980,0.361895,1.579293,0.415323,0.205781
10,1.599616,0.396673,1.606258,0.399194,0.191431
11,1.595296,0.391633,1.548941,0.443548,0.223917
12,1.594140,0.408770,1.565280,0.435484,0.219144
13,1.548264,0.413054,1.584091,0.455645,0.232680
14,1.646341,0.356351,1.604687,0.344758,0.133787
15,1.582093,0.390373,1.706912,0.288306,0.158950
16,1.624780,0.367944,1.555771,0.455645,0.229676
17,1.563589,0.411542,1.508839,0.447581,0.225940
18,1.585439,0.404486,1.594076,0.375000,0.187931
19,1.719856,0.348286,1.700879,0.397177,0.153599
20,1.645032,0.379788,1.589451,0.435484,0.240153
21,1.565750,0.416079,1.601776,0.409274,0.189173
22,1.542790,0.429183,1.595582,0.368952,0.140553
23,1.633690,0.393397,2.085518,0.145161,0.045119
24,1.728777,0.323841,1.637307,0.362903,0.175593
25,1.645176,0.371724,1.632096,0.385081,0.150640
26,1.605236,0.378024,1.628938,0.326613,0.149915
27,1.579932,0.389869,1.540441,0.372984,0.145468
28,1.539063,0.400454,1.543149,0.423387,0.194745
29,1.512499,0.430192,1.573896,0.449597,0.226110
30,1.502819,0.436744,1.574963,0.370968,0.182288
31,1.475570,0.451361,1.437150,0.465726,0.236353
32,1.667450,0.400202,1.854324,0.294355,0.064976
33,1.729250,0.327873,1.688077,0.342742,0.163057
34,1.587876,0.387853,1.488547,0.439516,0.222060
35,1.478422,0.443548,1.482317,0.497984,0.287198
36,1.428067,0.471774,1.411554,0.504032,0.269033
37,1.423208,0.465978,1.392635,0.485887,0.266548
38,1.396038,0.483619,1.374647,0.491935,0.285421
39,1.469587,0.448337,1.433295,0.449597,0.230681
40,1.393256,0.472782,1.349011,0.510081,0.291303
41,1.344486,0.501260,1.297336,0.520161,0.302095
42,1.315293,0.508065,1.304087,0.510081,0.359194
43,1.370290,0.489667,1.526357,0.399194,0.260958
44,1.334072,0.507812,1.286897,0.518145,0.323186
45,1.288825,0.524194,1.265742,0.540323,0.360754
46,1.257312,0.532510,1.443467,0.435484,0.262498
47,1.268146,0.521925,1.313655,0.510081,0.360876
48,1.228219,0.540827,1.194073,0.542339,0.401223
49,1.220389,0.543347,1.181759,0.538306,0.417390
50,1.214934,0.552923,1.146304,0.568548,0.407714
51,1.186469,0.566280,1.184240,0.542339,0.432720
52,1.154711,0.577117,1.091989,0.586694,0.437994
53,1.103841,0.596270,1.112604,0.586694,0.462619
54,1.109727,0.598034,1.190701,0.552419,0.435444
55,1.122020,0.592994,1.071519,0.602823,0.498241
56,1.142476,0.580393,1.072298,0.622984,0.516659
57,1.116032,0.598790,1.029276,0.639113,0.513037
58,1.077516,0.613659,1.008936,0.625000,0.491222
59,1.055559,0.614667,1.187999,0.568548,0.487730
60,1.062428,0.612651,0.973662,0.643145,0.538433
61,1.034187,0.621976,0.960792,0.649194,0.526976
62,1.011009,0.633065,0.954188,0.643145,0.516455
63,1.019484,0.628276,1.053189,0.622984,0.497076
64,1.040614,0.616683,0.926525,0.659274,0.541984
65,0.974758,0.641633,1.014979,0.631048,0.524332
66,0.981624,0.640121,0.995843,0.612903,0.503879
67,0.943352,0.655494,0.964245,0.627016,0.525553
68,0.943835,0.654990,0.965483,0.645161,0.535887
69,0.933449,0.655746,0.905191,0.651210,0.554273
70,0.910069,0.663054,0.952869,0.618952,0.529664
71,0.936123,0.657510,0.937481,0.639113,0.558700
72,0.928249,0.657258,0.862653,0.673387,0.603244
73,0.889654,0.676411,0.913030,0.653226,0.572159
74,0.858891,0.686492,0.917648,0.657258,0.560812
75,0.916184,0.668599,0.845958,0.673387,0.609215
76,0.853362,0.694556,0.857067,0.673387,0.603042
77,0.851225,0.690524,0.863050,0.665323,0.587042
78,0.877756,0.679183,0.825186,0.679435,0.621707
79,0.856743,0.690020,0.878279,0.643145,0.559883
80,0.865421,0.687752,0.837595,0.673387,0.579136
81,0.857421,0.683972,0.833049,0.677419,0.622646
82,0.846200,0.687248,0.855718,0.675403,0.617937
83,0.820986,0.705141,0.811918,0.655242,0.562520
84,0.785108,0.710181,0.760404,0.703629,0.639131
85,0.796374,0.707661,0.767025,0.679435,0.621487
86,0.789897,0.717238,0.766734,0.701613,0.652279
87,0.760867,0.726815,0.909955,0.653226,0.559477
88,0.892337,0.668347,0.717869,0.723790,0.683212
89,0.773358,0.717742,0.861729,0.669355,0.587506
90,0.789436,0.721270,0.926555,0.645161,0.603019
91,0.759999,0.726310,0.738721,0.697581,0.618608
92,0.769222,0.726562,0.874014,0.675403,0.581239
93,0.773546,0.722278,0.744043,0.695565,0.601070
94,1.056635,0.645413,1.475558,0.524194,0.413793
95,1.215243,0.560736,0.942788,0.665323,0.583500
96,0.885215,0.680948,0.900399,0.675403,0.606351
97,0.848678,0.693296,0.853728,0.687500,0.634756
98,0.790877,0.714214,0.778723,0.717742,0.653988
99,0.772873,0.726058,0.848764,0.673387,0.608631
100,0.786889,0.716230,0.735271,0.699597,0.623478
