condition,metric,n_seeds,mean,std,sem,ci95_low,ci95_high
clean,accuracy,5,0.906400,0.022557,0.010088,0.878392,0.934408
clean,macro_f1,5,0.880725,0.023943,0.010708,0.850996,0.910454
clean,fall_recall,5,0.920000,0.012171,0.005443,0.904887,0.935113
clean,fall_precision,5,0.912756,0.031615,0.014139,0.873500,0.952011
clean,false_fall_alarms,5,4.000000,1.581139,0.707107,2.036757,5.963243
fgsm_eps0.03,fall_recall,5,0.008889,0.012172,0.005443,-0.006224,0.024002
fgsm_eps0.03,accuracy,5,0.159600,0.013813,0.006177,0.142449,0.176751
fgsm_eps0.03,macro_f1,5,0.120702,0.027771,0.012420,0.086220,0.155185
fgsm_eps0.03,false_fall_alarms,5,42.800000,9.418068,4.211888,31.105925,54.494075
pgd_eps0.03,fall_recall,5,0.000000,0.000000,0.000000,0.000000,0.000000
pgd_eps0.03,accuracy,5,0.024000,0.019799,0.008854,-0.000584,0.048584
pgd_eps0.03,macro_f1,5,0.020077,0.019231,0.008600,-0.003801,0.043956
pgd_eps0.03,false_fall_alarms,5,52.800000,9.176056,4.103657,41.406422,64.193578
