attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.917671,0.898058,0.887640,0.112360,0.897727,0.892655,79,10,9,898,9,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.817269,0.779618,0.775281,0.224719,0.802326,0.788571,69,20,17,890,17,0.103414,0.112360,0.100402
pgd,legacy,0.005000,10,0.000833,0.682731,0.633049,0.584270,0.415730,0.693333,0.634146,52,37,23,884,23,0.240964,0.303371,0.234940
pgd,legacy,0.007500,10,0.001250,0.536145,0.472896,0.325843,0.674157,0.460317,0.381579,29,60,34,873,34,0.394578,0.561798,0.381526
pgd,legacy,0.010000,10,0.001667,0.413655,0.357961,0.179775,0.820225,0.313725,0.228571,16,73,35,872,35,0.518072,0.707865,0.504016
pgd,legacy,0.012500,10,0.002083,0.314257,0.273676,0.101124,0.898876,0.176471,0.128571,9,80,42,865,42,0.621486,0.786517,0.603414
pgd,legacy,0.015000,10,0.002500,0.230924,0.210567,0.089888,0.910112,0.150943,0.112676,8,81,45,862,45,0.708835,0.797753,0.686747
pgd,legacy,0.017500,10,0.002917,0.168675,0.158910,0.056180,0.943820,0.089286,0.068966,5,84,51,856,51,0.770080,0.831461,0.748996
pgd,legacy,0.020000,10,0.003333,0.124498,0.116511,0.033708,0.966292,0.046154,0.038961,3,86,62,845,62,0.815261,0.853933,0.793173
pgd,legacy,0.025000,10,0.004167,0.054217,0.051915,0.000000,1.000000,0.000000,0.000000,0,89,83,824,83,0.889558,0.887640,0.863454
pgd,legacy,0.030000,10,0.005000,0.028112,0.031283,0.000000,1.000000,0.000000,0.000000,0,89,89,818,89,0.919679,0.887640,0.889558
pgd,legacy,0.035000,10,0.005833,0.013052,0.015846,0.000000,1.000000,0.000000,0.000000,0,89,91,816,91,0.935743,0.887640,0.904618
pgd,legacy,0.040000,10,0.006667,0.005020,0.004972,0.000000,1.000000,0.000000,0.000000,0,89,90,817,90,0.945783,0.887640,0.912651
pgd,legacy,0.045000,10,0.007500,0.001004,0.000535,0.000000,1.000000,0.000000,0.000000,0,89,83,824,83,0.948795,0.887640,0.916667
pgd,legacy,0.050000,10,0.008333,0.002008,0.001268,0.000000,1.000000,0.000000,0.000000,0,89,81,826,81,0.947791,0.887640,0.915663
pgd,legacy,0.055000,10,0.009167,0.001004,0.000733,0.000000,1.000000,0.000000,0.000000,0,89,81,826,81,0.949799,0.887640,0.916667
pgd,legacy,0.060000,10,0.010000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,81,826,81,0.952811,0.887640,0.917671
pgd,legacy,0.075000,10,0.012500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,79,828,79,0.950803,0.887640,0.917671
