epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.787532,0.298891,1.750013,0.308468,0.090414
2,1.692404,0.346774,1.650901,0.407258,0.228985
3,1.536318,0.431200,1.491508,0.447581,0.319262
4,1.475036,0.469758,1.402065,0.483871,0.353916
5,1.375040,0.507056,1.401703,0.491935,0.380489
6,1.314736,0.537802,1.285302,0.560484,0.468050
7,1.239798,0.559728,1.299108,0.538306,0.424118
8,1.190464,0.580393,1.256841,0.554435,0.474175
9,1.156290,0.575353,1.193327,0.586694,0.518147
10,1.087227,0.607863,1.103511,0.608871,0.548451
11,1.064956,0.606603,1.102308,0.612903,0.546631
12,1.039199,0.618448,1.093067,0.588710,0.503570
13,1.019605,0.628276,1.033529,0.620968,0.577257
14,0.947541,0.659274,0.976295,0.629032,0.558776
15,0.936084,0.653226,0.919524,0.681452,0.652951
16,0.927673,0.654486,0.965759,0.669355,0.654283
17,0.918677,0.670615,0.873542,0.679435,0.649286
18,0.907488,0.668347,0.929072,0.645161,0.581513
19,0.886812,0.674647,0.818564,0.707661,0.677064
20,0.820327,0.699093,0.797862,0.689516,0.651448
21,0.854228,0.686744,0.809220,0.691532,0.674258
22,0.833111,0.689264,0.906665,0.649194,0.599345
23,0.783291,0.712198,0.809366,0.717742,0.700579
24,0.819299,0.698085,0.748434,0.719758,0.702283
25,0.764071,0.711946,0.783761,0.715726,0.688872
26,0.758314,0.726562,0.899207,0.653226,0.608940
27,0.753601,0.717742,0.829006,0.689516,0.657644
28,0.696971,0.742188,0.671687,0.758065,0.737162
29,0.702912,0.745968,0.743004,0.707661,0.671636
30,0.697354,0.737903,0.700404,0.743952,0.711492
31,0.745303,0.721018,0.676703,0.745968,0.704560
32,0.671719,0.746724,0.765416,0.693548,0.688437
33,0.649665,0.757812,0.697238,0.737903,0.706195
34,0.688926,0.742692,0.597431,0.798387,0.776210
35,0.606499,0.769405,0.635302,0.760081,0.733985
36,0.627266,0.769909,0.572575,0.792339,0.775512
37,1.025835,0.652722,0.942255,0.647177,0.617200
38,0.756905,0.715222,0.726442,0.725806,0.698015
39,0.622903,0.768901,0.599015,0.788306,0.770838
40,0.584572,0.783518,0.621384,0.782258,0.761556
41,0.596328,0.778730,0.688634,0.747984,0.728209
42,0.587629,0.782258,0.664147,0.747984,0.720322
43,0.593044,0.778982,0.600172,0.796371,0.779803
44,0.544045,0.802671,0.532301,0.800403,0.784115
45,0.575460,0.788054,0.553901,0.796371,0.768827
46,0.548313,0.797379,0.518182,0.800403,0.777254
47,0.557630,0.799899,0.755731,0.711694,0.697954
48,0.544335,0.795867,0.524787,0.798387,0.768264
49,0.502015,0.819052,0.509929,0.812500,0.780917
50,0.489651,0.824093,0.543710,0.812500,0.788581
51,0.600204,0.782006,0.496069,0.822581,0.798154
52,0.523219,0.810988,0.541981,0.792339,0.774887
53,0.525051,0.813256,0.614679,0.770161,0.741750
54,0.527219,0.804435,0.517952,0.810484,0.797467
55,0.476153,0.822581,0.593329,0.782258,0.772162
56,0.535377,0.811492,0.530993,0.796371,0.781438
57,0.466661,0.840474,0.438845,0.832661,0.816003
58,0.442701,0.834173,0.535339,0.796371,0.774225
59,0.480142,0.818548,0.444389,0.830645,0.814810
60,0.438732,0.838710,0.436837,0.840726,0.822803
61,0.446626,0.840222,0.634705,0.784274,0.787327
62,0.445204,0.839466,0.415724,0.842742,0.819942
63,0.392736,0.859123,0.482571,0.812500,0.792071
64,0.447434,0.839214,0.929038,0.685484,0.654781
65,0.499023,0.825101,0.409918,0.836694,0.815503
66,0.366642,0.875504,0.396199,0.834677,0.825427
67,0.369774,0.868196,0.414903,0.834677,0.815815
68,0.435570,0.844506,0.433184,0.832661,0.806904
69,0.386461,0.859375,0.722440,0.762097,0.753934
70,0.588399,0.792843,0.393869,0.854839,0.829361
71,0.375018,0.868700,0.395656,0.844758,0.838733
72,0.387082,0.863911,0.430978,0.838710,0.807241
73,0.425393,0.851058,0.360515,0.877016,0.863259
74,0.386801,0.860131,0.500787,0.804435,0.790983
75,0.382130,0.860887,0.407012,0.846774,0.823999
76,0.332331,0.884325,0.440574,0.842742,0.824695
77,0.350473,0.880544,0.370016,0.887097,0.859948
78,0.343823,0.875000,0.397327,0.852823,0.837545
79,0.363955,0.864667,0.373823,0.870968,0.857858
80,0.337782,0.881552,0.453003,0.830645,0.828584
81,0.318506,0.889113,0.472353,0.846774,0.822369
82,0.376695,0.864919,0.416668,0.860887,0.849566
83,0.335904,0.879536,0.392015,0.852823,0.857310
84,0.313050,0.890373,0.361553,0.862903,0.842475
85,0.296289,0.893397,0.333413,0.875000,0.866300
86,0.453184,0.840978,0.416106,0.848790,0.835105
87,0.311350,0.893397,0.281968,0.893145,0.874477
88,0.287489,0.896925,0.313555,0.887097,0.863390
89,0.346172,0.884829,0.533373,0.822581,0.824863
90,0.395884,0.865171,0.414281,0.832661,0.816609
91,0.368520,0.878780,0.312012,0.881048,0.864254
92,0.278088,0.903730,0.341486,0.881048,0.867557
93,0.280240,0.903226,0.498274,0.820565,0.813699
94,0.297074,0.897177,0.303959,0.875000,0.856193
95,0.338816,0.880040,0.340800,0.879032,0.868560
96,0.319480,0.882308,0.368884,0.850806,0.848432
97,0.240186,0.921119,0.305535,0.883065,0.864443
98,0.526419,0.834173,0.369042,0.881048,0.864679
99,0.277730,0.899698,0.275843,0.909274,0.900604
100,0.258269,0.909526,0.307086,0.879032,0.871536
101,0.247738,0.915827,0.256996,0.901210,0.883687
102,0.338131,0.884829,0.367080,0.875000,0.868986
103,0.258321,0.914062,0.820987,0.758065,0.751182
104,0.485511,0.836694,0.377299,0.864919,0.836110
105,0.266482,0.906502,0.364380,0.870968,0.872228
106,0.267159,0.905998,0.291177,0.883065,0.885488
107,0.247134,0.915071,0.253062,0.907258,0.892698
108,0.203758,0.932712,0.248517,0.901210,0.882932
109,0.229811,0.921119,0.260671,0.899194,0.879381
110,0.284097,0.903730,0.325290,0.879032,0.864398
111,0.342831,0.884577,0.394485,0.838710,0.829075
112,0.286808,0.902470,0.255633,0.911290,0.891646
113,0.194615,0.932964,0.244462,0.905242,0.888946
114,0.199520,0.930948,0.322288,0.875000,0.858786
115,0.199649,0.933972,0.281386,0.899194,0.875995
116,0.204444,0.933468,0.293976,0.911290,0.905267
117,0.199847,0.933216,0.332010,0.881048,0.872320
118,0.201705,0.931704,0.289686,0.899194,0.893473
119,0.260162,0.914062,0.426730,0.842742,0.843756
120,0.188275,0.937500,0.215840,0.923387,0.909632
121,0.300331,0.902722,0.417808,0.852823,0.837585
122,0.369351,0.876260,0.333384,0.883065,0.858091
123,0.221486,0.923135,0.227630,0.921371,0.912718
124,0.177613,0.939768,0.257096,0.901210,0.896006
125,0.188344,0.938508,0.303636,0.905242,0.891725
126,0.238091,0.917591,0.289781,0.883065,0.867672
127,0.184904,0.936744,0.231809,0.919355,0.903201
128,0.155505,0.950857,0.231796,0.905242,0.891544
129,0.316843,0.901714,0.464320,0.834677,0.807010
130,0.304814,0.889869,0.276935,0.901210,0.896016
131,0.216000,0.926159,0.328194,0.862903,0.853541
132,0.161768,0.951613,0.235811,0.909274,0.896764
133,0.168219,0.945312,0.510369,0.824597,0.800964
134,0.255798,0.910534,0.377178,0.864919,0.844941
135,0.232197,0.924395,0.242083,0.913306,0.892479
136,0.331151,0.896673,0.630197,0.786290,0.766396
137,0.339643,0.885081,0.256586,0.919355,0.904817
138,0.171030,0.946069,0.279038,0.901210,0.888071
139,0.253516,0.916079,0.281430,0.905242,0.898698
140,0.159702,0.948841,0.228948,0.929435,0.918081
141,0.208602,0.926663,0.291675,0.893145,0.878402
142,0.172921,0.941532,0.279172,0.903226,0.901889
143,0.151252,0.947833,0.223890,0.901210,0.880239
144,0.147842,0.952873,0.231602,0.921371,0.915224
145,0.150820,0.949093,0.190780,0.933468,0.918759
146,0.148639,0.950101,0.263536,0.905242,0.878613
147,0.135451,0.955645,0.300667,0.903226,0.869420
148,0.181302,0.935736,0.282194,0.917339,0.901937
149,0.146383,0.946321,0.220435,0.917339,0.913239
150,0.143992,0.950605,0.219190,0.921371,0.900891
151,0.127670,0.955897,0.206964,0.931452,0.922056
152,0.170261,0.942288,0.231193,0.919355,0.906217
153,0.286296,0.916331,3.260672,0.322581,0.314056
154,1.714195,0.373236,1.399264,0.489919,0.309500
155,1.374272,0.488911,1.384312,0.485887,0.377085
