attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.891566,0.874728,0.910112,0.089888,0.910112,0.910112,81,8,8,899,8,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.810241,0.798642,0.876404,0.123596,0.896552,0.886364,78,11,9,898,9,0.093373,0.033708,0.081325
fgsm,legacy,0.005000,n/a,n/a,0.709839,0.698116,0.797753,0.202247,0.806818,0.802260,71,18,17,890,17,0.196787,0.112360,0.181727
fgsm,legacy,0.007500,n/a,n/a,0.613454,0.592622,0.617978,0.382022,0.687500,0.650888,55,34,25,882,25,0.300201,0.292135,0.278112
fgsm,legacy,0.010000,n/a,n/a,0.535141,0.502284,0.449438,0.550562,0.519481,0.481928,40,49,37,870,37,0.380522,0.460674,0.356426
fgsm,legacy,0.012500,n/a,n/a,0.447791,0.413329,0.303371,0.696629,0.337500,0.319527,27,62,53,854,53,0.469880,0.606742,0.443775
fgsm,legacy,0.015000,n/a,n/a,0.391566,0.356423,0.202247,0.797753,0.233766,0.216867,18,71,59,848,59,0.525100,0.707865,0.500000
fgsm,legacy,0.017500,n/a,n/a,0.334337,0.298863,0.168539,0.831461,0.174419,0.171429,15,74,71,836,71,0.581325,0.741573,0.557229
fgsm,legacy,0.020000,n/a,n/a,0.280120,0.240055,0.089888,0.910112,0.091954,0.090909,8,81,79,828,79,0.637550,0.820225,0.611446
fgsm,legacy,0.025000,n/a,n/a,0.218876,0.182414,0.044944,0.955056,0.041237,0.043011,4,85,93,814,93,0.702811,0.865169,0.672691
fgsm,legacy,0.030000,n/a,n/a,0.185743,0.154067,0.000000,1.000000,0.000000,0.000000,0,89,98,809,98,0.736948,0.910112,0.705823
fgsm,legacy,0.035000,n/a,n/a,0.156627,0.129279,0.000000,1.000000,0.000000,0.000000,0,89,97,810,97,0.770080,0.910112,0.734940
fgsm,legacy,0.040000,n/a,n/a,0.133534,0.112695,0.000000,1.000000,0.000000,0.000000,0,89,97,810,97,0.796185,0.910112,0.758032
fgsm,legacy,0.045000,n/a,n/a,0.113454,0.094093,0.000000,1.000000,0.000000,0.000000,0,89,96,811,96,0.817269,0.910112,0.778112
fgsm,legacy,0.050000,n/a,n/a,0.096386,0.080275,0.000000,1.000000,0.000000,0.000000,0,89,96,811,96,0.834337,0.910112,0.795181
fgsm,legacy,0.055000,n/a,n/a,0.087349,0.070247,0.000000,1.000000,0.000000,0.000000,0,89,93,814,93,0.844378,0.910112,0.804217
fgsm,legacy,0.060000,n/a,n/a,0.077309,0.059320,0.000000,1.000000,0.000000,0.000000,0,89,90,817,90,0.853414,0.910112,0.814257
fgsm,legacy,0.075000,n/a,n/a,0.058233,0.039885,0.000000,1.000000,0.000000,0.000000,0,89,81,826,81,0.878514,0.910112,0.833333
