condition,metric,n_seeds,mean,std,sem,ci95_low,ci95_high
clean,fall_recall,5,0.977778,0.015713,0.007027,0.958267,0.997289
clean,missed_fall_rate,5,0.022222,0.015713,0.007027,0.002711,0.041733
clean,false_fall_alarms,5,1.400000,0.894427,0.400000,0.289422,2.510578
clean,accuracy,5,0.970000,0.017493,0.007823,0.948280,0.991720
clean,macro_f1,5,0.952068,0.030471,0.013627,0.914233,0.989903
clean,mcc,5,0.970925,0.013921,0.006226,0.953640,0.988210
fgsm_eps0.03,fall_recall,5,0.008889,0.012172,0.005443,-0.006224,0.024002
fgsm_eps0.03,false_fall_alarms,5,32.200000,20.327322,9.090655,6.960298,57.439702
fgsm_eps0.03,mcc,5,-0.064426,0.046665,0.020869,-0.122369,-0.006484
pgd_eps0.03,fall_recall,5,0.000000,0.000000,0.000000,0.000000,0.000000
pgd_eps0.03,false_fall_alarms,5,54.000000,32.046841,14.331783,14.208593,93.791407
pgd_eps0.03,mcc,5,-0.106600,0.036987,0.016541,-0.152525,-0.060674
