seed,attack,first_eps_recall_below_0_50,first_eps_recall_below_0_10,first_eps_recall_zero,source_sweep_csv
42,fgsm,0.005,0.0125,0.035,results/cross_architecture/resnet/resnet18_seed42_fgsm_epsilon_sweep_test.csv
42,pgd,0.0025,0.005,0.0075,results/cross_architecture/resnet/resnet18_seed42_pgd_epsilon_sweep_test.csv
43,fgsm,0.0025,0.005,0.0075,results/cross_architecture/resnet/resnet18_seed43_fgsm_epsilon_sweep_test.csv
43,pgd,0.0025,0.005,0.0075,results/cross_architecture/resnet/resnet18_seed43_pgd_epsilon_sweep_test.csv
44,fgsm,0.005,0.0075,0.015,results/cross_architecture/resnet/resnet18_seed44_fgsm_epsilon_sweep_test.csv
44,pgd,0.0025,0.005,0.01,results/cross_architecture/resnet/resnet18_seed44_pgd_epsilon_sweep_test.csv
46,fgsm,0.005,0.0075,0.01,results/cross_architecture/resnet/resnet18_seed46_fgsm_epsilon_sweep_test.csv
46,pgd,0.0025,0.005,0.0075,results/cross_architecture/resnet/resnet18_seed46_pgd_epsilon_sweep_test.csv
48,fgsm,0.0075,0.0125,0.03,results/cross_architecture/resnet/resnet18_seed48_fgsm_epsilon_sweep_test.csv
48,pgd,0.005,0.0075,0.0075,results/cross_architecture/resnet/resnet18_seed48_pgd_epsilon_sweep_test.csv
mean,fgsm,0.005000,0.009000,0.019500,
std,fgsm,0.001768,0.003354,0.012298,
mean,pgd,0.003000,0.005500,0.008000,
std,pgd,0.001118,0.001118,0.001118,
