attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.982932,0.973788,1.000000,0.000000,0.967391,0.983425,89,0,3,904,3,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.623494,0.595009,0.842697,0.157303,0.657895,0.738916,75,14,39,868,39,0.359438,0.157303,0.359438
fgsm,legacy,0.005000,n/a,n/a,0.255020,0.241947,0.539326,0.460674,0.375000,0.442396,48,41,80,827,80,0.727912,0.460674,0.727912
fgsm,legacy,0.007500,n/a,n/a,0.096386,0.087718,0.269663,0.730337,0.196721,0.227488,24,65,98,809,98,0.886546,0.730337,0.886546
fgsm,legacy,0.010000,n/a,n/a,0.048193,0.044634,0.157303,0.842697,0.117647,0.134615,14,75,105,802,105,0.934739,0.842697,0.934739
fgsm,legacy,0.012500,n/a,n/a,0.026104,0.022799,0.067416,0.932584,0.053571,0.059701,6,83,106,801,106,0.956827,0.932584,0.956827
fgsm,legacy,0.015000,n/a,n/a,0.015060,0.012706,0.044944,0.955056,0.036364,0.040201,4,85,106,801,106,0.967871,0.955056,0.967871
fgsm,legacy,0.017500,n/a,n/a,0.010040,0.008764,0.033708,0.966292,0.028037,0.030612,3,86,104,803,104,0.973896,0.966292,0.972892
fgsm,legacy,0.020000,n/a,n/a,0.009036,0.009758,0.033708,0.966292,0.031579,0.032609,3,86,92,815,92,0.974900,0.966292,0.973896
fgsm,legacy,0.025000,n/a,n/a,0.008032,0.008623,0.022472,0.977528,0.022727,0.022599,2,87,86,821,86,0.975904,0.977528,0.974900
fgsm,legacy,0.030000,n/a,n/a,0.008032,0.006154,0.011236,0.988764,0.013514,0.012270,1,88,73,834,73,0.976908,0.988764,0.974900
fgsm,legacy,0.035000,n/a,n/a,0.009036,0.006687,0.011236,0.988764,0.013699,0.012346,1,88,72,835,72,0.975904,0.988764,0.973896
fgsm,legacy,0.040000,n/a,n/a,0.010040,0.007295,0.011236,0.988764,0.016129,0.013245,1,88,61,846,61,0.975904,0.988764,0.972892
fgsm,legacy,0.045000,n/a,n/a,0.015060,0.010409,0.011236,0.988764,0.018182,0.013889,1,88,54,853,54,0.971888,0.988764,0.967871
fgsm,legacy,0.050000,n/a,n/a,0.013052,0.007520,0.011236,0.988764,0.018519,0.013986,1,88,53,854,53,0.974900,0.988764,0.969880
fgsm,legacy,0.055000,n/a,n/a,0.013052,0.005874,0.000000,1.000000,0.000000,0.000000,0,89,42,865,42,0.975904,1.000000,0.969880
fgsm,legacy,0.060000,n/a,n/a,0.016064,0.005397,0.000000,1.000000,0.000000,0.000000,0,89,37,870,37,0.975904,1.000000,0.966867
fgsm,legacy,0.075000,n/a,n/a,0.025100,0.008126,0.000000,1.000000,0.000000,0.000000,0,89,21,886,21,0.969880,1.000000,0.957831
