attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.982932,0.973788,1.000000,0.000000,0.967391,0.983425,89,0,3,904,3,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.485944,0.460154,0.719101,0.280899,0.512000,0.598131,64,25,61,846,61,0.496988,0.280899,0.496988
pgd,legacy,0.005000,10,0.000833,0.080321,0.070444,0.157303,0.842697,0.128440,0.141414,14,75,95,812,95,0.902610,0.842697,0.902610
pgd,legacy,0.007500,10,0.001250,0.014056,0.009004,0.000000,1.000000,0.000000,0.000000,0,89,105,802,105,0.968876,1.000000,0.968876
pgd,legacy,0.010000,10,0.001667,0.003012,0.001687,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.979920,1.000000,0.979920
pgd,legacy,0.012500,10,0.002083,0.001004,0.000559,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.981928,1.000000,0.981928
pgd,legacy,0.015000,10,0.002500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.982932,1.000000,0.982932
pgd,legacy,0.017500,10,0.002917,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.982932,1.000000,0.982932
pgd,legacy,0.020000,10,0.003333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,113,794,113,0.982932,1.000000,0.982932
pgd,legacy,0.025000,10,0.004167,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,109,798,109,0.982932,1.000000,0.982932
pgd,legacy,0.030000,10,0.005000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.982932,1.000000,0.982932
pgd,legacy,0.035000,10,0.005833,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,106,801,106,0.982932,1.000000,0.982932
pgd,legacy,0.040000,10,0.006667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,105,802,105,0.982932,1.000000,0.982932
pgd,legacy,0.045000,10,0.007500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,106,801,106,0.982932,1.000000,0.982932
pgd,legacy,0.050000,10,0.008333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,111,796,111,0.982932,1.000000,0.982932
pgd,legacy,0.055000,10,0.009167,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.982932,1.000000,0.982932
pgd,legacy,0.060000,10,0.010000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,111,796,111,0.982932,1.000000,0.982932
pgd,legacy,0.075000,10,0.012500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,110,797,110,0.982932,1.000000,0.982932
