epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.230402,0.563760,5.733589,0.131048,0.070119
2,0.723594,0.725554,1.484508,0.469758,0.430938
3,0.542741,0.802923,0.845949,0.713710,0.672993
4,0.387484,0.861139,2.760716,0.276210,0.255962
5,0.335759,0.880292,1.106337,0.669355,0.598955
6,0.276619,0.908518,2.133791,0.391129,0.431760
7,0.224750,0.922127,2.674532,0.500000,0.396442
8,0.205491,0.927419,5.028558,0.163306,0.150130
9,0.171907,0.943044,0.317065,0.887097,0.851430
10,0.137535,0.954637,3.767526,0.320565,0.348278
11,0.140819,0.953125,2.015774,0.600806,0.579828
12,0.102263,0.963710,1.445491,0.643145,0.620149
13,0.123188,0.959425,1.169479,0.653226,0.691771
14,0.109744,0.963710,0.294081,0.881048,0.859885
15,0.085296,0.970010,0.254175,0.917339,0.900380
16,0.086750,0.972278,2.959109,0.393145,0.264882
17,0.076630,0.975302,0.098048,0.965726,0.954102
18,0.076664,0.975050,0.319515,0.889113,0.839087
19,0.068753,0.976815,0.167480,0.957661,0.945160
20,0.086684,0.973790,0.414227,0.872984,0.839209
21,0.082510,0.972278,0.266548,0.911290,0.893287
22,0.050178,0.980091,0.391255,0.913306,0.914054
23,0.037551,0.987147,0.095810,0.969758,0.953097
24,0.055894,0.981099,3.525391,0.344758,0.317572
25,0.090537,0.968750,0.893396,0.750000,0.727059
26,0.073306,0.975554,1.239985,0.687500,0.662123
27,0.044519,0.984627,0.618848,0.840726,0.856803
28,0.028715,0.990927,0.371189,0.891129,0.901626
29,0.037215,0.988155,0.199590,0.933468,0.910397
30,0.023318,0.992944,0.147700,0.949597,0.932334
31,0.034995,0.988407,1.019288,0.818548,0.802327
32,0.083141,0.971270,0.163554,0.935484,0.918911
33,0.046489,0.985635,1.378854,0.691532,0.560914
34,0.027937,0.991935,0.114206,0.969758,0.959211
35,0.007633,0.998488,0.052248,0.975806,0.968279
36,0.014365,0.996220,0.482157,0.879032,0.866994
37,0.021424,0.992944,0.222764,0.927419,0.920130
38,0.061435,0.983115,0.166847,0.941532,0.924372
39,0.071235,0.977571,0.189896,0.937500,0.925392
40,0.028115,0.991935,0.385299,0.883065,0.887835
41,0.020859,0.993952,0.077141,0.967742,0.950633
42,0.039579,0.988155,0.069839,0.969758,0.962196
43,0.056286,0.983619,0.262004,0.919355,0.898536
44,0.050704,0.982611,0.165020,0.945565,0.935925
45,0.033531,0.990423,2.366874,0.645161,0.564174
46,0.026144,0.991179,0.458000,0.866935,0.845312
47,0.011301,0.995716,0.234194,0.933468,0.920259
48,0.009961,0.996976,0.142938,0.961694,0.952386
49,0.020592,0.991935,0.063561,0.977823,0.972062
50,0.026853,0.990675,0.284380,0.931452,0.917233
51,0.065886,0.978327,0.516442,0.877016,0.875499
52,0.065017,0.980343,4.861915,0.245968,0.178677
53,0.036625,0.987147,0.125053,0.973790,0.968605
54,0.016987,0.994960,0.127287,0.963710,0.961105
55,0.015840,0.994708,0.273846,0.927419,0.912572
56,0.016777,0.994708,0.100495,0.957661,0.942865
57,0.037080,0.990675,3.223313,0.377016,0.437300
58,0.022405,0.992944,0.406853,0.895161,0.861370
59,0.029905,0.992440,0.848504,0.770161,0.752417
60,0.027609,0.989415,0.210387,0.945565,0.940855
61,0.044114,0.987903,2.012767,0.602823,0.508669
62,0.043288,0.987651,0.119990,0.961694,0.951329
63,0.032450,0.989667,0.180351,0.941532,0.939675
64,0.010368,0.996724,0.088554,0.975806,0.961555
65,0.008550,0.997228,0.072881,0.981855,0.974369
66,0.005235,0.997984,0.080088,0.973790,0.963245
67,0.008787,0.997228,0.067819,0.977823,0.977548
68,0.020284,0.992944,0.427171,0.893145,0.882163
69,0.017143,0.995716,0.254274,0.925403,0.914663
70,0.078094,0.980091,1.056123,0.772177,0.718134
71,0.017104,0.995212,0.061001,0.975806,0.970589
72,0.007334,0.997480,0.085633,0.959677,0.945033
73,0.002395,0.999244,0.042562,0.987903,0.983351
74,0.013244,0.996220,0.140750,0.949597,0.930748
75,0.005279,0.998488,0.115616,0.965726,0.963099
76,0.038188,0.989919,0.446606,0.895161,0.873724
77,0.034088,0.990927,0.273185,0.921371,0.912503
78,0.069514,0.979839,2.317981,0.491935,0.496532
79,0.029845,0.988155,0.102525,0.975806,0.967978
80,0.010175,0.995968,0.097267,0.979839,0.969655
81,0.012365,0.994204,0.225734,0.939516,0.927976
82,0.026090,0.989667,0.707967,0.778226,0.717722
83,0.035123,0.991683,0.068849,0.973790,0.970103
84,0.007429,0.997732,0.089679,0.973790,0.969304
85,0.009097,0.997984,0.122358,0.965726,0.961198
86,0.014900,0.995716,0.093744,0.965726,0.952534
87,0.012894,0.995968,2.447455,0.631048,0.596688
88,0.031214,0.990423,0.175892,0.953629,0.930453
89,0.042901,0.986139,0.147337,0.961694,0.960305
90,0.009818,0.996976,0.118336,0.961694,0.943573
91,0.029986,0.990927,0.600343,0.836694,0.802887
92,0.026802,0.991935,0.138470,0.953629,0.939757
93,0.011832,0.995464,0.052927,0.979839,0.969550
