condition,metric,n_seeds,mean,std,sem,ci95_low,ci95_high
clean,accuracy,5,0.880400,0.071139,0.031814,0.792069,0.968731
clean,macro_f1,5,0.854252,0.077528,0.034672,0.757988,0.950516
clean,fall_recall,5,0.946667,0.048686,0.021773,0.886215,1.007119
clean,fall_precision,5,0.913127,0.065631,0.029351,0.831635,0.994619
clean,false_fall_alarms,5,4.200000,3.492850,1.562050,-0.136946,8.536946
fgsm_eps0.03,fall_recall,5,0.004444,0.009938,0.004444,-0.007895,0.016784
fgsm_eps0.03,accuracy,5,0.022000,0.023707,0.010602,-0.007436,0.051436
fgsm_eps0.03,macro_f1,5,0.017600,0.017227,0.007704,-0.003789,0.038990
fgsm_eps0.03,false_fall_alarms,5,48.600000,15.059880,6.734983,29.900689,67.299311
pgd_eps0.03,fall_recall,5,0.000000,0.000000,0.000000,0.000000,0.000000
pgd_eps0.03,accuracy,5,0.003600,0.003578,0.001600,-0.000842,0.008042
pgd_eps0.03,macro_f1,5,0.002467,0.002627,0.001175,-0.000795,0.005729
pgd_eps0.03,false_fall_alarms,5,50.400000,16.180235,7.236021,30.309586,70.490414
