epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,2.206405,0.266129,1.815205,0.294355,0.064976
2,1.837011,0.259829,1.824271,0.294355,0.064976
3,1.815318,0.293095,1.844229,0.133065,0.033554
4,1.827346,0.276210,1.815650,0.243952,0.056031
5,1.820646,0.274698,1.811924,0.243952,0.056031
6,1.809388,0.276462,1.778742,0.296371,0.072046
7,1.787458,0.286290,1.783859,0.294355,0.064976
8,1.739276,0.305444,1.723215,0.354839,0.172044
9,1.637067,0.358619,1.606401,0.352823,0.180216
10,1.580187,0.370968,1.534325,0.370968,0.222715
11,1.553953,0.401714,1.578883,0.368952,0.248339
12,1.472994,0.422127,1.492029,0.443548,0.343713
13,1.444021,0.435232,1.415152,0.461694,0.378417
14,1.395026,0.460938,1.367060,0.459677,0.346389
15,1.377359,0.464466,1.389967,0.447581,0.360121
16,1.390754,0.451613,1.346635,0.441532,0.310639
17,1.364584,0.474294,1.292232,0.477823,0.389844
18,1.300689,0.493952,1.258014,0.508065,0.399192
19,1.292267,0.492944,1.243159,0.500000,0.360608
20,1.248044,0.523185,1.174314,0.528226,0.447549
21,1.200374,0.538054,1.111315,0.536290,0.471960
22,1.086826,0.578629,0.988760,0.598790,0.537568
23,1.041822,0.601562,1.040501,0.608871,0.507930
24,1.008148,0.621976,1.080632,0.532258,0.424332
25,1.010788,0.621976,0.825323,0.647177,0.566766
26,0.944433,0.650706,0.841297,0.637097,0.594535
27,0.824751,0.683720,0.753716,0.693548,0.666117
28,0.791115,0.712954,0.729717,0.715726,0.701296
29,0.765886,0.709425,0.697934,0.731855,0.722716
30,1.273693,0.537550,1.754114,0.294355,0.064976
31,1.730091,0.327369,1.732279,0.370968,0.213293
32,1.600690,0.371724,1.461869,0.417339,0.269906
33,1.357093,0.473034,1.214534,0.522177,0.507918
34,1.234027,0.545363,1.312476,0.508065,0.435420
35,1.098301,0.591734,1.103229,0.578629,0.544378
36,0.970214,0.637601,1.007837,0.639113,0.569380
37,0.900179,0.664567,0.933815,0.625000,0.576331
38,0.818659,0.701361,0.770654,0.699597,0.659259
39,0.818554,0.703377,0.713487,0.764113,0.723062
40,0.781275,0.714970,0.972036,0.637097,0.626449
41,0.728111,0.737651,0.614944,0.766129,0.745954
42,0.696912,0.744204,0.601285,0.758065,0.739989
43,0.679212,0.764365,0.748576,0.725806,0.708359
44,0.669605,0.759073,0.539928,0.786290,0.759147
