attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.800201,0.771859,0.876404,0.123596,0.829787,0.852459,78,11,16,891,16,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.680723,0.659626,0.764045,0.235955,0.680000,0.719577,68,21,32,875,32,0.128514,0.112360,0.119478
fgsm,legacy,0.005000,n/a,n/a,0.551205,0.538913,0.674157,0.325843,0.555556,0.609137,60,29,48,859,48,0.265060,0.202247,0.248996
fgsm,legacy,0.007500,n/a,n/a,0.425703,0.413760,0.528090,0.471910,0.427273,0.472362,47,42,63,844,63,0.394578,0.348315,0.374498
fgsm,legacy,0.010000,n/a,n/a,0.334337,0.315239,0.359551,0.640449,0.290909,0.321608,32,57,78,829,78,0.489960,0.516854,0.465863
fgsm,legacy,0.012500,n/a,n/a,0.268072,0.252213,0.292135,0.707865,0.234234,0.260000,26,63,85,822,85,0.559237,0.584270,0.532129
fgsm,legacy,0.015000,n/a,n/a,0.196787,0.182402,0.202247,0.797753,0.169811,0.184615,18,71,88,819,88,0.632530,0.674157,0.603414
fgsm,legacy,0.017500,n/a,n/a,0.140562,0.128979,0.112360,0.887640,0.088496,0.099010,10,79,103,804,103,0.689759,0.764045,0.659639
fgsm,legacy,0.020000,n/a,n/a,0.105422,0.092296,0.078652,0.921348,0.060870,0.068627,7,82,108,799,108,0.725904,0.797753,0.694779
fgsm,legacy,0.025000,n/a,n/a,0.066265,0.047398,0.022472,0.977528,0.016807,0.019231,2,87,117,790,117,0.770080,0.853933,0.733936
fgsm,legacy,0.030000,n/a,n/a,0.057229,0.036661,0.011236,0.988764,0.007692,0.009132,1,88,129,778,129,0.785141,0.865169,0.742972
fgsm,legacy,0.035000,n/a,n/a,0.062249,0.033599,0.000000,1.000000,0.000000,0.000000,0,89,132,775,132,0.791165,0.876404,0.737952
fgsm,legacy,0.040000,n/a,n/a,0.071285,0.035937,0.000000,1.000000,0.000000,0.000000,0,89,129,778,129,0.792169,0.876404,0.728916
fgsm,legacy,0.045000,n/a,n/a,0.076305,0.037017,0.000000,1.000000,0.000000,0.000000,0,89,126,781,126,0.793173,0.876404,0.723896
fgsm,legacy,0.050000,n/a,n/a,0.086345,0.042344,0.000000,1.000000,0.000000,0.000000,0,89,129,778,129,0.794177,0.876404,0.713855
fgsm,legacy,0.055000,n/a,n/a,0.092369,0.047888,0.000000,1.000000,0.000000,0.000000,0,89,131,776,131,0.797189,0.876404,0.707831
fgsm,legacy,0.060000,n/a,n/a,0.094378,0.049470,0.000000,1.000000,0.000000,0.000000,0,89,137,770,137,0.805221,0.876404,0.705823
fgsm,legacy,0.075000,n/a,n/a,0.110442,0.062525,0.011236,0.988764,0.007519,0.009009,1,88,132,775,132,0.808233,0.865169,0.689759
