attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.800201,0.771859,0.876404,0.123596,0.829787,0.852459,78,11,16,891,16,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.677711,0.656941,0.764045,0.235955,0.673267,0.715789,68,21,33,874,33,0.131526,0.112360,0.122490
pgd,legacy,0.005000,10,0.000833,0.538153,0.526864,0.662921,0.337079,0.526786,0.587065,59,30,53,854,53,0.280120,0.213483,0.262048
pgd,legacy,0.007500,10,0.001250,0.399598,0.384620,0.471910,0.528090,0.381818,0.422111,42,47,68,839,68,0.421687,0.404494,0.400602
pgd,legacy,0.010000,10,0.001667,0.301205,0.283554,0.325843,0.674157,0.252174,0.284314,29,60,86,821,86,0.526104,0.550562,0.498996
pgd,legacy,0.012500,10,0.002083,0.194779,0.187273,0.235955,0.764045,0.187500,0.208955,21,68,91,816,91,0.638554,0.640449,0.605422
pgd,legacy,0.015000,10,0.002500,0.124498,0.118238,0.168539,0.831461,0.126050,0.144231,15,74,104,803,104,0.709839,0.707865,0.675703
pgd,legacy,0.017500,10,0.002917,0.076305,0.069679,0.089888,0.910112,0.062016,0.073394,8,81,121,786,121,0.760040,0.786517,0.723896
pgd,legacy,0.020000,10,0.003333,0.042169,0.033000,0.044944,0.955056,0.029630,0.035714,4,85,131,776,131,0.798193,0.831461,0.758032
pgd,legacy,0.025000,10,0.004167,0.021084,0.014955,0.011236,0.988764,0.006897,0.008547,1,88,144,763,144,0.822289,0.865169,0.779116
pgd,legacy,0.030000,10,0.005000,0.009036,0.005860,0.011236,0.988764,0.006803,0.008475,1,88,146,761,146,0.837349,0.865169,0.791165
pgd,legacy,0.035000,10,0.005833,0.002008,0.001084,0.000000,1.000000,0.000000,0.000000,0,89,157,750,157,0.852410,0.876404,0.798193
pgd,legacy,0.040000,10,0.006667,0.003012,0.001626,0.000000,1.000000,0.000000,0.000000,0,89,158,749,158,0.853414,0.876404,0.797189
pgd,legacy,0.045000,10,0.007500,0.001004,0.000540,0.000000,1.000000,0.000000,0.000000,0,89,163,744,163,0.861446,0.876404,0.799197
pgd,legacy,0.050000,10,0.008333,0.001004,0.000552,0.000000,1.000000,0.000000,0.000000,0,89,167,740,167,0.864458,0.876404,0.799197
pgd,legacy,0.055000,10,0.009167,0.001004,0.000559,0.000000,1.000000,0.000000,0.000000,0,89,171,736,171,0.864458,0.876404,0.799197
pgd,legacy,0.060000,10,0.010000,0.001004,0.000557,0.000000,1.000000,0.000000,0.000000,0,89,179,728,179,0.870482,0.876404,0.799197
pgd,legacy,0.075000,10,0.012500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,196,711,196,0.873494,0.876404,0.800201
