epoch,train_pgd_ce_loss,train_rank_loss,train_total_loss,n_batches,n_rank_active_batches,rank_active_fraction,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_pgd_recall_at_cap017,val_pgd_far_at_cap017,val_pgd_tp_at_cap017,clean_guard_pass
1,1.606055,0.113082,1.662596,62,62,1.0000,0.717742,0.707712,0.886364,0.681818,0.137168,30,False
2,1.532160,0.103524,1.583921,62,62,1.0000,0.715726,0.718702,0.886364,0.750000,0.165929,33,False
3,1.495339,0.097777,1.544227,62,60,0.9677,0.715726,0.715235,0.886364,0.704545,0.157080,31,False
4,1.474024,0.103549,1.525798,62,62,1.0000,0.709677,0.717131,0.840909,0.681818,0.161504,30,False
5,1.455939,0.106131,1.509004,62,62,1.0000,0.701613,0.702989,0.818182,0.704545,0.159292,31,False
6,1.445259,0.103462,1.496990,62,61,0.9839,0.675403,0.682922,0.750000,0.750000,0.165929,33,False
7,1.434159,0.100320,1.484319,62,61,0.9839,0.675403,0.681701,0.568182,0.750000,0.168142,33,False
8,1.421853,0.102668,1.473187,62,62,1.0000,0.685484,0.688738,0.636364,0.704545,0.165929,31,False
9,1.414054,0.096565,1.462337,62,62,1.0000,0.681452,0.683698,0.750000,0.704545,0.163717,31,False
10,1.402005,0.098548,1.451279,62,62,1.0000,0.697581,0.700065,0.704545,0.704545,0.168142,31,False
11,1.397075,0.099297,1.446724,62,62,1.0000,0.691532,0.693076,0.704545,0.704545,0.163717,31,False
12,1.388798,0.097189,1.437393,62,61,0.9839,0.687500,0.691655,0.659091,0.704545,0.168142,31,False
13,1.383794,0.094637,1.431112,62,62,1.0000,0.691532,0.700451,0.704545,0.750000,0.168142,33,False
14,1.372503,0.093922,1.419464,62,62,1.0000,0.689516,0.681844,0.568182,0.750000,0.161504,33,False
15,1.368635,0.094169,1.415720,62,62,1.0000,0.691532,0.694734,0.659091,0.704545,0.168142,31,False
16,1.363024,0.094134,1.410091,62,62,1.0000,0.693548,0.692981,0.613636,0.727273,0.168142,32,False
17,1.356627,0.097921,1.405588,62,62,1.0000,0.681452,0.678554,0.590909,0.795455,0.168142,35,False
18,1.349250,0.096321,1.397411,62,62,1.0000,0.691532,0.697529,0.727273,0.727273,0.163717,32,False
19,1.346219,0.090548,1.391493,62,62,1.0000,0.675403,0.668167,0.568182,0.772727,0.168142,34,False
20,1.339110,0.092980,1.385600,62,62,1.0000,0.705645,0.707647,0.727273,0.727273,0.168142,32,False
21,1.335555,0.092670,1.381890,62,61,0.9839,0.711694,0.721599,0.704545,0.750000,0.168142,33,False
22,1.329377,0.091297,1.375026,62,62,1.0000,0.711694,0.713054,0.681818,0.795455,0.168142,35,False
23,1.326326,0.094548,1.373600,62,62,1.0000,0.691532,0.697439,0.727273,0.750000,0.161504,33,False
24,1.322024,0.091751,1.367899,62,62,1.0000,0.693548,0.700789,0.636364,0.750000,0.161504,33,False
25,1.322169,0.089786,1.367062,62,62,1.0000,0.693548,0.694796,0.704545,0.727273,0.168142,32,False
26,1.312061,0.096691,1.360406,62,62,1.0000,0.691532,0.682930,0.590909,0.795455,0.168142,35,False
27,1.309734,0.088152,1.353810,62,61,0.9839,0.711694,0.713283,0.727273,0.772727,0.168142,34,False
28,1.303482,0.091719,1.349341,62,62,1.0000,0.707661,0.709305,0.704545,0.750000,0.161504,33,False
29,1.298785,0.089179,1.343374,62,62,1.0000,0.703629,0.698431,0.636364,0.795455,0.165929,35,False
30,1.293384,0.091492,1.339130,62,62,1.0000,0.707661,0.701971,0.681818,0.772727,0.168142,34,False
31,1.296427,0.091312,1.342083,62,62,1.0000,0.719758,0.710344,0.659091,0.840909,0.163717,37,False
32,1.284171,0.084262,1.326302,62,61,0.9839,0.717742,0.713806,0.704545,0.772727,0.165929,34,False
33,1.283931,0.095256,1.331559,62,62,1.0000,0.695565,0.696604,0.590909,0.840909,0.165929,37,False
34,1.282406,0.086650,1.325731,62,62,1.0000,0.703629,0.712183,0.727273,0.750000,0.157080,33,False
35,1.277023,0.090663,1.322355,62,62,1.0000,0.721774,0.718383,0.704545,0.818182,0.163717,36,False
36,1.272431,0.090230,1.317546,62,62,1.0000,0.709677,0.712810,0.727273,0.886364,0.168142,39,False
37,1.267907,0.088764,1.312289,62,62,1.0000,0.709677,0.708223,0.636364,0.886364,0.159292,39,False
38,1.271499,0.089151,1.316074,62,62,1.0000,0.725806,0.721563,0.727273,0.818182,0.157080,36,False
39,1.264943,0.086679,1.308282,62,61,0.9839,0.711694,0.709218,0.727273,0.840909,0.165929,37,False
40,1.259123,0.083634,1.300940,62,62,1.0000,0.723790,0.719281,0.636364,0.886364,0.165929,39,False
