epoch,train_pgd_ce_loss,train_rank_loss,train_total_loss,n_batches,n_rank_active_batches,rank_active_fraction,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_pgd_recall_at_cap017,val_pgd_far_at_cap017,val_pgd_tp_at_cap017,clean_guard_pass
1,1.611685,0.107104,1.718789,62,62,1.0000,0.705645,0.694913,0.909091,0.727273,0.154867,32,True
2,1.534436,0.101359,1.635795,62,62,1.0000,0.701613,0.704034,0.886364,0.772727,0.157080,34,False
3,1.501635,0.100364,1.601999,62,62,1.0000,0.701613,0.707102,0.863636,0.772727,0.161504,34,False
4,1.479040,0.095414,1.574454,62,62,1.0000,0.681452,0.684503,0.750000,0.772727,0.161504,34,False
5,1.463808,0.096077,1.559885,62,62,1.0000,0.689516,0.696006,0.704545,0.772727,0.154867,34,False
6,1.449642,0.096770,1.546411,62,62,1.0000,0.693548,0.698489,0.681818,0.750000,0.168142,33,False
7,1.439005,0.089288,1.528293,62,61,0.9839,0.689516,0.695689,0.772727,0.681818,0.168142,30,False
8,1.431889,0.093141,1.525030,62,62,1.0000,0.681452,0.686556,0.704545,0.750000,0.165929,33,False
9,1.422574,0.094758,1.517332,62,62,1.0000,0.673387,0.677765,0.613636,0.772727,0.163717,34,False
10,1.412143,0.092444,1.504587,62,61,0.9839,0.669355,0.678363,0.704545,0.818182,0.168142,36,False
11,1.401711,0.089231,1.490943,62,62,1.0000,0.681452,0.693744,0.704545,0.727273,0.163717,32,False
12,1.396430,0.093921,1.490350,62,62,1.0000,0.677419,0.677555,0.568182,0.750000,0.165929,33,False
13,1.388968,0.090037,1.479005,62,62,1.0000,0.669355,0.679834,0.659091,0.772727,0.165929,34,False
14,1.383761,0.089581,1.473342,62,62,1.0000,0.683468,0.685215,0.659091,0.772727,0.165929,34,False
15,1.375813,0.091506,1.467318,62,62,1.0000,0.697581,0.702040,0.681818,0.750000,0.161504,33,False
16,1.368537,0.085383,1.453919,62,62,1.0000,0.683468,0.675521,0.659091,0.772727,0.161504,34,False
17,1.363244,0.090810,1.454053,62,62,1.0000,0.691532,0.689477,0.613636,0.750000,0.165929,33,False
18,1.358609,0.083450,1.442060,62,61,0.9839,0.701613,0.701477,0.545455,0.886364,0.163717,39,False
19,1.354543,0.086237,1.440780,62,62,1.0000,0.695565,0.698283,0.681818,0.750000,0.168142,33,False
20,1.351765,0.089876,1.441641,62,62,1.0000,0.689516,0.688876,0.590909,0.750000,0.152655,33,False
21,1.349377,0.088223,1.437600,62,62,1.0000,0.691532,0.685795,0.545455,0.818182,0.143805,36,False
22,1.340145,0.086440,1.426586,62,62,1.0000,0.697581,0.693848,0.568182,0.886364,0.168142,39,False
23,1.337318,0.086796,1.424114,62,62,1.0000,0.693548,0.692236,0.590909,0.772727,0.168142,34,False
24,1.332474,0.084690,1.417164,62,62,1.0000,0.689516,0.698345,0.613636,0.840909,0.168142,37,False
25,1.329637,0.083784,1.413421,62,62,1.0000,0.677419,0.681709,0.659091,0.818182,0.165929,36,False
26,1.321731,0.086975,1.408706,62,62,1.0000,0.691532,0.690295,0.613636,0.772727,0.168142,34,False
27,1.320099,0.083569,1.403668,62,62,1.0000,0.709677,0.702974,0.613636,0.840909,0.168142,37,False
28,1.314604,0.083603,1.398207,62,62,1.0000,0.701613,0.704303,0.681818,0.795455,0.168142,35,False
29,1.310064,0.085947,1.396012,62,62,1.0000,0.703629,0.703566,0.704545,0.750000,0.161504,33,False
30,1.310295,0.086155,1.396450,62,62,1.0000,0.705645,0.703274,0.659091,0.750000,0.157080,33,False
31,1.303107,0.084454,1.387561,62,62,1.0000,0.707661,0.703317,0.590909,0.863636,0.168142,38,False
32,1.301401,0.085627,1.387028,62,62,1.0000,0.695565,0.696276,0.659091,0.795455,0.165929,35,False
33,1.296707,0.080966,1.377673,62,62,1.0000,0.713710,0.714015,0.681818,0.863636,0.168142,38,False
34,1.292683,0.085244,1.377927,62,62,1.0000,0.713710,0.706274,0.636364,0.818182,0.163717,36,False
35,1.292377,0.080218,1.372595,62,62,1.0000,0.711694,0.707974,0.636364,0.840909,0.161504,37,False
36,1.287228,0.085175,1.372403,62,62,1.0000,0.695565,0.687981,0.613636,0.818182,0.161504,36,False
37,1.285370,0.080515,1.365885,62,62,1.0000,0.715726,0.705807,0.704545,0.840909,0.159292,37,False
38,1.282887,0.079946,1.362834,62,62,1.0000,0.713710,0.715575,0.681818,0.840909,0.168142,37,False
39,1.278386,0.085474,1.363861,62,62,1.0000,0.721774,0.715884,0.590909,0.840909,0.165929,37,False
40,1.277847,0.082633,1.360480,62,62,1.0000,0.711694,0.704979,0.590909,0.863636,0.165929,38,False
