method,far_cap,tau_source,val_selected_tau,val_recall,val_FAR,test_TP,test_FN,test_FP,test_TN,test_recall_frozen,test_FAR_frozen,recall_gap_val_minus_test,FAR_gap_test_minus_val,posthoc_test_tau,posthoc_test_recall,posthoc_test_TP,posthoc_test_FP,posthoc_test_FAR
D8b_AFAC,0.1,frozen_csv,0.234373,0.3864,0.0907,15,30,51,404,0.3333,0.1121,0.053,0.0214,0.2521,0.2667,12,38,0.0835
D8b_AFAC,0.15,frozen_csv,0.181992,0.7045,0.1438,30,15,80,375,0.6667,0.1758,0.0379,0.032,0.205302,0.4889,22,67,0.1473
D8b_AFAC,0.18,frozen_csv,0.170908,0.7727,0.1571,31,14,83,372,0.6889,0.1824,0.0838,0.0253,0.183392,0.6667,30,79,0.1736
D8b_AFAC,0.2,frozen_csv,0.147881,0.8182,0.1947,36,9,95,360,0.8,0.2088,0.0182,0.0141,0.153246,0.8,36,91,0.2
D8b_AFAC,0.22,replicated_rule,0.140881,0.8409,0.2102,37,8,98,357,0.8222,0.2154,0.0187,0.0052,0.147438,0.8222,37,95,0.2088
D10,0.1,frozen_csv,0.250327,0.3409,0.0841,14,31,41,414,0.3111,0.0901,0.0298,0.006,0.253134,0.3111,14,41,0.0901
D10,0.15,frozen_csv,0.148867,0.5909,0.1482,24,21,68,387,0.5333,0.1495,0.0576,0.0012,0.151753,0.5333,24,68,0.1495
D10,0.18,replicated_rule,0.088305,0.7273,0.1792,31,14,84,371,0.6889,0.1846,0.0384,0.0054,0.099421,0.6889,31,80,0.1758
D10,0.2,frozen_csv,0.075261,0.8864,0.1903,34,11,93,362,0.7556,0.2044,0.1308,0.0141,0.08311,0.7111,32,86,0.189
D10,0.22,replicated_rule,0.055768,0.9545,0.219,36,9,103,352,0.8,0.2264,0.1545,0.0073,0.075034,0.7778,35,93,0.2044
D11a,0.1,frozen_csv,0.174677,0.3636,0.0885,11,34,55,400,0.2444,0.1209,0.1192,0.0324,0.207654,0.2222,10,45,0.0989
D11a,0.15,frozen_csv,0.11127,0.4773,0.1305,21,24,76,379,0.4667,0.167,0.0106,0.0365,0.153421,0.3333,15,62,0.1363
D11a,0.18,replicated_rule,0.059754,0.8409,0.177,30,15,96,359,0.6667,0.211,0.1742,0.034,0.110283,0.4889,22,76,0.167
D11a,0.2,frozen_csv,0.051834,0.9091,0.1903,31,14,102,353,0.6889,0.2242,0.2202,0.0339,0.066013,0.6667,30,91,0.2
D11a,0.22,replicated_rule,0.036655,0.9545,0.208,36,9,112,343,0.8,0.2462,0.1545,0.0382,0.066013,0.6667,30,91,0.2
D11b,0.1,frozen_csv,0.124667,0.5227,0.0996,16,29,56,399,0.3556,0.1231,0.1672,0.0235,0.151004,0.2222,10,44,0.0967
D11b,0.15,frozen_csv,0.083365,0.6591,0.1416,25,20,77,378,0.5556,0.1692,0.1035,0.0276,0.099332,0.5333,24,67,0.1473
D11b,0.18,replicated_rule,0.055332,0.8182,0.177,31,14,94,361,0.6889,0.2066,0.1293,0.0296,0.078697,0.6,27,78,0.1714
D11b,0.2,frozen_csv,0.048495,0.8864,0.1881,34,11,98,357,0.7556,0.2154,0.1308,0.0273,0.067834,0.6667,30,86,0.189
D11b,0.22,replicated_rule,0.040934,0.9091,0.2102,38,7,106,349,0.8444,0.233,0.0646,0.0228,0.045548,0.8222,37,100,0.2198
