method,frozen_tau_far020,delta,TP_at_tau,FP_at_tau,n_fall_in_band,n_nonfall_in_band,TP_at_tau_minus_delta,FP_at_tau_minus_delta,TP_at_tau_plus_delta,FP_at_tau_plus_delta
D8b_AFAC,0.147881,0.005,36,95,1,4,37,97,36,93
D8b_AFAC,0.147881,0.01,36,95,3,11,37,98,34,87
D8b_AFAC,0.147881,0.02,36,95,7,22,38,106,31,84
D8b_AFAC,0.147881,0.05,36,95,16,50,40,119,24,69
D10,0.075261,0.005,34,93,3,6,35,94,32,88
D10,0.075261,0.01,34,93,4,12,35,96,31,84
D10,0.075261,0.02,34,93,5,22,36,103,31,81
D10,0.075261,0.05,34,93,17,63,42,133,25,70
D11a,0.051834,0.005,31,102,4,7,34,105,30,98
D11a,0.051834,0.01,31,102,5,13,35,108,30,95
D11a,0.051834,0.02,31,102,9,29,37,118,28,89
D11a,0.051834,0.05,31,102,23,164,45,243,22,79
D11b,0.048495,0.005,34,98,4,7,38,102,34,95
D11b,0.048495,0.01,34,98,9,19,39,109,30,90
D11b,0.048495,0.02,34,98,12,39,40,125,28,86
D11b,0.048495,0.05,34,98,21,388,45,455,24,67
