kind,sample_id,true_class,n_models_hard,n_families_hard,models_hard,families_hard,mean_fall_score_all_models,max_fall_score_all_models,min_fall_score_all_models,interpretation
hard_fall,69,fall,24,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.027591,0.139084,0.000821,universal_hard
hard_fall,70,fall,24,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.100682,0.264874,0.023083,universal_hard
hard_fall,88,fall,24,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.113483,0.250042,0.057807,universal_hard
hard_fall,89,fall,24,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.11923,0.251909,0.016026,universal_hard
hard_fall,94,fall,24,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.093397,0.272377,0.016443,universal_hard
hard_fall,97,fall,24,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.131071,0.231462,0.053912,universal_hard
hard_fall,99,fall,24,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.117631,0.31178,0.034274,universal_hard
hard_fall,103,fall,24,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.123815,0.247152,0.008568,universal_hard
hard_fall,71,fall,23,9,AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_lowFA;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.144882,0.340779,0.019371,universal_hard
hard_fall,77,fall,23,9,AFAC_maxscore;AFAC_optBminFA;GR1_macroF1;GR1_lowFA;GR1_safety;SA1_macroF1;SA1_safety;ST1_lowFA;ST1_macroF1;ST1_safety;ST1b6_lowFA;ST1b6_macroF1;ST1b6_safety;D14B_seed44;D14B_seed43;VD_seed42;VD_seed43;G1_safety_s44;G1_lowFA_s42;G1_maxrec_s42;BLF_macroF1;BLF_maxrec;BLF_safety,AFAC_optionB;BiLSTM_finetune;D14_pauc_rank;G1_hardneg;GR1_gairat;SA1_sat;ST1_beta3p0;ST1b6_beta6p0;variantD,0.151002,0.275776,0.088305,universal_hard
