split,sample_id,true_class,model,family,representation,fall_score,predicted_class,below_operating_threshold,operating_threshold_far012,rank_among_falls_desc
val,66,fall,BLF_macroF1,BiLSTM_finetune,bilstm,0.223086,walk,True,0.543669,1
val,66,fall,BLF_maxrec,BiLSTM_finetune,bilstm,0.202611,walk,True,0.293561,7
val,66,fall,VD_seed42,variantD,lenet,0.168807,stand up,True,0.99924,36
val,66,fall,VD_seed43,variantD,lenet,0.722803,fall,True,0.994964,2
val,67,fall,BLF_macroF1,BiLSTM_finetune,bilstm,0.21647,fall,True,0.543669,2
val,67,fall,BLF_maxrec,BiLSTM_finetune,bilstm,0.260799,fall,True,0.293561,4
val,67,fall,BLF_safety,BiLSTM_finetune,bilstm,0.173078,walk,True,0.227623,8
val,67,fall,G1_maxrec_s42,G1_hardneg,lenet,0.284828,fall,True,0.306177,16
val,67,fall,GR1_safety,GR1_gairat,lenet,0.345228,fall,True,0.36618,19
val,67,fall,ST1_safety,ST1_beta3p0,lenet,0.415879,fall,True,0.422517,13
val,67,fall,ST1b6_safety,ST1b6_beta6p0,lenet,0.375709,fall,True,0.393386,22
val,67,fall,VD_seed42,variantD,lenet,0.649068,fall,True,0.99924,4
val,67,fall,VD_seed43,variantD,lenet,0.584145,fall,True,0.994964,7
val,68,fall,BLF_macroF1,BiLSTM_finetune,bilstm,0.085736,lie down,True,0.543669,30
val,68,fall,BLF_maxrec,BiLSTM_finetune,bilstm,0.14266,walk,True,0.293561,20
val,68,fall,BLF_safety,BiLSTM_finetune,bilstm,0.061938,lie down,True,0.227623,36
val,68,fall,G1_maxrec_s42,G1_hardneg,lenet,0.252891,fall,True,0.306177,23
val,68,fall,G1_safety_s44,G1_hardneg,lenet,0.270536,fall,True,0.314376,26
val,68,fall,GR1_lowFA,GR1_gairat,lenet,0.095673,walk,True,0.187872,30
val,68,fall,GR1_macroF1,GR1_gairat,lenet,0.112037,walk,True,0.201419,29
val,68,fall,GR1_safety,GR1_gairat,lenet,0.283442,fall,True,0.36618,27
val,68,fall,SA1_lowFA,SA1_sat,lenet,0.090148,lie down,True,0.104403,26
val,68,fall,SA1_macroF1,SA1_sat,lenet,0.195294,walk,True,0.259205,27
val,68,fall,SA1_safety,SA1_sat,lenet,0.24965,fall,True,0.310699,25
val,68,fall,ST1_safety,ST1_beta3p0,lenet,0.394952,fall,True,0.422517,18
val,68,fall,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.085098,run,True,0.153511,26
val,68,fall,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.178119,lie down,True,0.289528,32
val,68,fall,ST1b6_safety,ST1b6_beta6p0,lenet,0.278717,fall,True,0.393386,30
val,68,fall,VD_seed42,variantD,lenet,0.25295,stand up,True,0.99924,28
val,68,fall,VD_seed43,variantD,lenet,0.239065,lie down,True,0.994964,29
val,69,fall,AFAC_maxscore,AFAC_optionB,lenet,0.010157,pickup,True,0.200578,44
val,69,fall,AFAC_optBminFA,AFAC_optionB,lenet,0.002748,pickup,True,0.143261,44
val,69,fall,BLF_macroF1,BiLSTM_finetune,bilstm,0.09173,walk,True,0.543669,27
val,69,fall,BLF_maxrec,BiLSTM_finetune,bilstm,0.098774,walk,True,0.293561,37
val,69,fall,BLF_safety,BiLSTM_finetune,bilstm,0.139084,walk,True,0.227623,14
val,69,fall,D14B_seed43,D14_pauc_rank,lenet,0.013631,walk,True,0.200217,44
val,69,fall,D14B_seed44,D14_pauc_rank,lenet,0.011563,walk,True,0.191555,44
val,69,fall,G1_lowFA_s42,G1_hardneg,lenet,0.002258,pickup,True,0.144991,44
val,69,fall,G1_maxrec_s42,G1_hardneg,lenet,0.016145,run,True,0.306177,44
val,69,fall,G1_safety_s44,G1_hardneg,lenet,0.024458,walk,True,0.314376,44
val,69,fall,GR1_lowFA,GR1_gairat,lenet,0.019063,pickup,True,0.187872,44
val,69,fall,GR1_macroF1,GR1_gairat,lenet,0.050557,walk,True,0.201419,43
val,69,fall,GR1_safety,GR1_gairat,lenet,0.009509,walk,True,0.36618,44
val,69,fall,SA1_lowFA,SA1_sat,lenet,0.005456,walk,True,0.104403,44
val,69,fall,SA1_macroF1,SA1_sat,lenet,0.01661,walk,True,0.259205,44
val,69,fall,SA1_safety,SA1_sat,lenet,0.03946,walk,True,0.310699,44
val,69,fall,ST1_lowFA,ST1_beta3p0,lenet,0.003023,walk,True,0.157616,44
val,69,fall,ST1_macroF1,ST1_beta3p0,lenet,0.016869,walk,True,0.190872,44
val,69,fall,ST1_safety,ST1_beta3p0,lenet,0.01535,walk,True,0.422517,44
val,69,fall,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.00562,walk,True,0.153511,44
val,69,fall,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.035598,walk,True,0.289528,44
val,69,fall,ST1b6_safety,ST1b6_beta6p0,lenet,0.029122,walk,True,0.393386,44
val,69,fall,VD_seed42,variantD,lenet,0.000821,walk,True,0.99924,44
val,69,fall,VD_seed43,variantD,lenet,0.004572,walk,True,0.994964,44
val,70,fall,AFAC_maxscore,AFAC_optionB,lenet,0.050171,lie down,True,0.200578,43
val,70,fall,AFAC_optBminFA,AFAC_optionB,lenet,0.027258,lie down,True,0.143261,43
val,70,fall,BLF_macroF1,BiLSTM_finetune,bilstm,0.060598,walk,True,0.543669,37
val,70,fall,BLF_maxrec,BiLSTM_finetune,bilstm,0.061642,walk,True,0.293561,41
val,70,fall,BLF_safety,BiLSTM_finetune,bilstm,0.094425,walk,True,0.227623,23
val,70,fall,D14B_seed43,D14_pauc_rank,lenet,0.051606,lie down,True,0.200217,43
val,70,fall,D14B_seed44,D14_pauc_rank,lenet,0.04676,lie down,True,0.191555,43
val,70,fall,G1_lowFA_s42,G1_hardneg,lenet,0.032249,lie down,True,0.144991,42
val,70,fall,G1_maxrec_s42,G1_hardneg,lenet,0.096306,stand up,True,0.306177,43
val,70,fall,G1_safety_s44,G1_hardneg,lenet,0.140365,run,True,0.314376,41
val,70,fall,GR1_lowFA,GR1_gairat,lenet,0.085944,walk,True,0.187872,33
val,70,fall,GR1_macroF1,GR1_gairat,lenet,0.169181,walk,True,0.201419,23
val,70,fall,GR1_safety,GR1_gairat,lenet,0.07945,walk,True,0.36618,43
val,70,fall,SA1_lowFA,SA1_sat,lenet,0.023083,lie down,True,0.104403,43
val,70,fall,SA1_macroF1,SA1_sat,lenet,0.073726,run,True,0.259205,43
val,70,fall,SA1_safety,SA1_sat,lenet,0.110261,lie down,True,0.310699,43
val,70,fall,ST1_lowFA,ST1_beta3p0,lenet,0.025699,lie down,True,0.157616,43
val,70,fall,ST1_macroF1,ST1_beta3p0,lenet,0.160135,walk,True,0.190872,28
val,70,fall,ST1_safety,ST1_beta3p0,lenet,0.162327,stand up,True,0.422517,42
val,70,fall,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.063721,walk,True,0.153511,36
val,70,fall,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.242239,walk,True,0.289528,25
val,70,fall,ST1b6_safety,ST1b6_beta6p0,lenet,0.264874,fall,True,0.393386,31
val,70,fall,VD_seed42,variantD,lenet,0.108802,walk,True,0.99924,39
val,70,fall,VD_seed43,variantD,lenet,0.185539,walk,True,0.994964,35
val,71,fall,AFAC_optBminFA,AFAC_optionB,lenet,0.088531,run,True,0.143261,32
val,71,fall,BLF_macroF1,BiLSTM_finetune,bilstm,0.054721,walk,True,0.543669,38
val,71,fall,BLF_maxrec,BiLSTM_finetune,bilstm,0.096952,walk,True,0.293561,38
val,71,fall,BLF_safety,BiLSTM_finetune,bilstm,0.019371,run,True,0.227623,41
val,71,fall,D14B_seed43,D14_pauc_rank,lenet,0.163838,run,True,0.200217,31
val,71,fall,D14B_seed44,D14_pauc_rank,lenet,0.158195,run,True,0.191555,31
val,71,fall,G1_lowFA_s42,G1_hardneg,lenet,0.082368,walk,True,0.144991,33
val,71,fall,G1_maxrec_s42,G1_hardneg,lenet,0.22221,run,True,0.306177,27
val,71,fall,G1_safety_s44,G1_hardneg,lenet,0.206461,run,True,0.314376,31
val,71,fall,GR1_lowFA,GR1_gairat,lenet,0.061052,walk,True,0.187872,39
val,71,fall,GR1_macroF1,GR1_gairat,lenet,0.076107,walk,True,0.201419,37
val,71,fall,GR1_safety,GR1_gairat,lenet,0.26556,fall,True,0.36618,28
