split,sample_id,true_class,model,family,representation,fall_score,predicted_class,above_operating_threshold,operating_threshold_far012,rank_among_nonfalls_desc
val,1,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.26735,fall,True,0.200578,28
val,1,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.24482,fall,True,0.227623,50
val,1,lie down,G1_lowFA_s42,G1_hardneg,lenet,0.249813,fall,True,0.144991,23
val,1,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.340871,fall,True,0.306177,34
val,1,lie down,G1_safety_s44,G1_hardneg,lenet,0.317509,fall,True,0.314376,50
val,1,lie down,SA1_lowFA,SA1_sat,lenet,0.12075,walk,True,0.104403,48
val,1,lie down,SA1_macroF1,SA1_sat,lenet,0.260994,fall,True,0.259205,50
val,1,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.438363,fall,True,0.393386,41
val,6,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.292727,fall,True,0.200578,24
val,6,lie down,AFAC_optBminFA,AFAC_optionB,lenet,0.281658,fall,True,0.143261,11
val,6,lie down,BLF_maxrec,BiLSTM_finetune,bilstm,0.339351,fall,True,0.293561,25
val,6,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.304603,fall,True,0.227623,14
val,6,lie down,D14B_seed43,D14_pauc_rank,lenet,0.304316,fall,True,0.200217,14
val,6,lie down,D14B_seed44,D14_pauc_rank,lenet,0.296221,fall,True,0.191555,13
val,6,lie down,G1_lowFA_s42,G1_hardneg,lenet,0.31635,fall,True,0.144991,14
val,6,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.390327,fall,True,0.306177,12
val,6,lie down,G1_safety_s44,G1_hardneg,lenet,0.435607,fall,True,0.314376,20
val,6,lie down,GR1_lowFA,GR1_gairat,lenet,0.244324,stand up,True,0.187872,38
val,6,lie down,GR1_macroF1,GR1_gairat,lenet,0.238267,stand up,True,0.201419,42
val,6,lie down,GR1_safety,GR1_gairat,lenet,0.368567,fall,True,0.36618,47
val,6,lie down,SA1_lowFA,SA1_sat,lenet,0.201989,stand up,True,0.104403,24
val,6,lie down,SA1_macroF1,SA1_sat,lenet,0.444157,fall,True,0.259205,10
val,6,lie down,SA1_safety,SA1_sat,lenet,0.438032,fall,True,0.310699,9
val,6,lie down,ST1_lowFA,ST1_beta3p0,lenet,0.192907,stand up,True,0.157616,38
val,6,lie down,ST1_macroF1,ST1_beta3p0,lenet,0.292442,fall,True,0.190872,25
val,6,lie down,ST1_safety,ST1_beta3p0,lenet,0.596797,fall,True,0.422517,8
val,6,lie down,ST1b6_lowFA,ST1b6_beta6p0,lenet,0.268029,fall,True,0.153511,21
val,6,lie down,ST1b6_macroF1,ST1b6_beta6p0,lenet,0.357422,fall,True,0.289528,42
val,6,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.459343,fall,True,0.393386,35
val,8,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.27552,walk,True,0.227623,37
val,8,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.449456,fall,True,0.306177,8
val,8,lie down,G1_safety_s44,G1_hardneg,lenet,0.711954,fall,True,0.314376,5
val,8,lie down,GR1_macroF1,GR1_gairat,lenet,0.249484,lie down,True,0.201419,39
val,8,lie down,GR1_safety,GR1_gairat,lenet,0.705104,fall,True,0.36618,5
val,8,lie down,SA1_macroF1,SA1_sat,lenet,0.320355,lie down,True,0.259205,40
val,8,lie down,SA1_safety,SA1_sat,lenet,0.527725,fall,True,0.310699,5
val,8,lie down,ST1_lowFA,ST1_beta3p0,lenet,0.289087,lie down,True,0.157616,17
val,8,lie down,ST1_safety,ST1_beta3p0,lenet,0.519044,fall,True,0.422517,21
val,8,lie down,ST1b6_safety,ST1b6_beta6p0,lenet,0.705737,fall,True,0.393386,14
val,11,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.34041,fall,True,0.227623,8
val,11,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.565443,fall,True,0.306177,5
val,11,lie down,GR1_lowFA,GR1_gairat,lenet,0.511915,fall,True,0.187872,6
val,11,lie down,GR1_safety,GR1_gairat,lenet,0.578246,fall,True,0.36618,9
val,11,lie down,SA1_safety,SA1_sat,lenet,0.333594,fall,True,0.310699,43
val,12,lie down,BLF_maxrec,BiLSTM_finetune,bilstm,0.38697,fall,True,0.293561,8
val,12,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.374076,fall,True,0.227623,4
val,12,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.393694,lie down,True,0.306177,11
val,12,lie down,G1_safety_s44,G1_hardneg,lenet,0.32466,lie down,True,0.314376,47
val,12,lie down,GR1_lowFA,GR1_gairat,lenet,0.426432,fall,True,0.187872,9
val,12,lie down,GR1_safety,GR1_gairat,lenet,0.421808,fall,True,0.36618,26
val,12,lie down,SA1_safety,SA1_sat,lenet,0.377469,fall,True,0.310699,22
val,17,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.205574,fall,True,0.200578,51
val,21,lie down,AFAC_maxscore,AFAC_optionB,lenet,0.418057,fall,True,0.200578,6
val,21,lie down,BLF_maxrec,BiLSTM_finetune,bilstm,0.396079,fall,True,0.293561,6
val,21,lie down,BLF_safety,BiLSTM_finetune,bilstm,0.353077,fall,True,0.227623,7
val,21,lie down,D14B_seed43,D14_pauc_rank,lenet,0.412277,fall,True,0.200217,2
val,21,lie down,D14B_seed44,D14_pauc_rank,lenet,0.392242,fall,True,0.191555,2
val,21,lie down,G1_maxrec_s42,G1_hardneg,lenet,0.743162,fall,True,0.306177,2
val,21,lie down,G1_safety_s44,G1_hardneg,lenet,0.841619,fall,True,0.314376,2
val,21,lie down,GR1_lowFA,GR1_gairat,lenet,0.818103,fall,True,0.187872,2
val,21,lie down,GR1_macroF1,GR1_gairat,lenet,0.682335,fall,True,0.201419,3
val,21,lie down,GR1_safety,GR1_gairat,lenet,0.845811,fall,True,0.36618,3
val,21,lie down,SA1_lowFA,SA1_sat,lenet,0.121001,lie down,True,0.104403,47
val,21,lie down,SA1_macroF1,SA1_sat,lenet,0.573212,fall,True,0.259205,4
val,21,lie down,SA1_safety,SA1_sat,lenet,0.602276,fall,True,0.310699,2
val,21,lie down,ST1_lowFA,ST1_beta3p0,lenet,0.31524,lie down,True,0.157616,14
val,21,lie down,ST1_macroF1,ST1_beta3p0,lenet,0.369809,lie down,True,0.190872,15
val,21,lie down,ST1_safety,ST1_beta3p0,lenet,0.60994,fall,True,0.422517,7
