model,family,representation,family_representative,far_cap,tau,TP,FN,FP,TN,recall,FAR,val_pgd_auroc
AFAC_maxscore,AFAC_optionB,lenet,True,0.1,0.234373,17,27,41,411,0.3864,0.0907,0.8719
AFAC_maxscore,AFAC_optionB,lenet,True,0.12,0.200578,26,18,54,398,0.5909,0.1195,0.8719
AFAC_maxscore,AFAC_optionB,lenet,True,0.15,0.181992,31,13,65,387,0.7045,0.1438,0.8719
AFAC_optBminFA,AFAC_optionB,lenet,False,0.1,0.154196,18,26,45,407,0.4091,0.0996,0.8545
AFAC_optBminFA,AFAC_optionB,lenet,False,0.12,0.143261,21,23,54,398,0.4773,0.1195,0.8545
AFAC_optBminFA,AFAC_optionB,lenet,False,0.15,0.124508,26,18,61,391,0.5909,0.135,0.8545
GR1_macroF1,GR1_gairat,lenet,True,0.1,0.250327,15,29,38,414,0.3409,0.0841,0.8712
GR1_macroF1,GR1_gairat,lenet,True,0.12,0.201419,21,23,54,398,0.4773,0.1195,0.8712
GR1_macroF1,GR1_gairat,lenet,True,0.15,0.148867,26,18,67,385,0.5909,0.1482,0.8712
GR1_lowFA,GR1_gairat,lenet,False,0.1,0.230682,11,33,43,409,0.25,0.0951,0.8597
GR1_lowFA,GR1_gairat,lenet,False,0.12,0.187872,19,25,50,402,0.4318,0.1106,0.8597
GR1_lowFA,GR1_gairat,lenet,False,0.15,0.15018,22,22,66,386,0.5,0.146,0.8597
GR1_safety,GR1_gairat,lenet,False,0.1,0.416847,13,31,26,426,0.2955,0.0575,0.819
GR1_safety,GR1_gairat,lenet,False,0.12,0.36618,15,29,48,404,0.3409,0.1062,0.819
GR1_safety,GR1_gairat,lenet,False,0.15,0.342693,20,24,63,389,0.4545,0.1394,0.819
SA1_lowFA,SA1_sat,lenet,True,0.1,0.124667,23,21,45,407,0.5227,0.0996,0.8728
SA1_lowFA,SA1_sat,lenet,True,0.12,0.104403,24,20,51,401,0.5455,0.1128,0.8728
SA1_lowFA,SA1_sat,lenet,True,0.15,0.083365,29,15,64,388,0.6591,0.1416,0.8728
SA1_macroF1,SA1_sat,lenet,False,0.1,0.303597,13,31,44,408,0.2955,0.0973,0.8537
SA1_macroF1,SA1_sat,lenet,False,0.12,0.259205,21,23,50,402,0.4773,0.1106,0.8537
SA1_macroF1,SA1_sat,lenet,False,0.15,0.210023,24,20,64,388,0.5455,0.1416,0.8537
SA1_safety,SA1_sat,lenet,False,0.1,0.32793,12,32,45,407,0.2727,0.0996,0.8213
SA1_safety,SA1_sat,lenet,False,0.12,0.310699,15,29,54,398,0.3409,0.1195,0.8213
SA1_safety,SA1_sat,lenet,False,0.15,0.280597,22,22,66,386,0.5,0.146,0.8213
ST1_lowFA,ST1_beta3p0,lenet,True,0.1,0.164256,21,23,45,407,0.4773,0.0996,0.864
ST1_lowFA,ST1_beta3p0,lenet,True,0.12,0.157616,22,22,49,403,0.5,0.1084,0.864
ST1_lowFA,ST1_beta3p0,lenet,True,0.15,0.114168,29,15,67,385,0.6591,0.1482,0.864
ST1_macroF1,ST1_beta3p0,lenet,False,0.1,0.237062,20,24,43,409,0.4545,0.0951,0.876
ST1_macroF1,ST1_beta3p0,lenet,False,0.12,0.190872,23,21,53,399,0.5227,0.1173,0.876
ST1_macroF1,ST1_beta3p0,lenet,False,0.15,0.138328,33,11,67,385,0.75,0.1482,0.876
ST1_safety,ST1_beta3p0,lenet,False,0.1,0.458822,10,34,38,414,0.2273,0.0841,0.8235
ST1_safety,ST1_beta3p0,lenet,False,0.12,0.422517,12,32,52,400,0.2727,0.115,0.8235
ST1_safety,ST1_beta3p0,lenet,False,0.15,0.402889,17,27,60,392,0.3864,0.1327,0.8235
ST1b6_lowFA,ST1b6_beta6p0,lenet,True,0.1,0.174677,16,28,40,412,0.3636,0.0885,0.869
ST1b6_lowFA,ST1b6_beta6p0,lenet,True,0.12,0.153511,18,26,48,404,0.4091,0.1062,0.869
ST1b6_lowFA,ST1b6_beta6p0,lenet,True,0.15,0.11127,21,23,59,393,0.4773,0.1305,0.869
