model,family,representation,family_representative,epsilon,condition,tau_far10,recall_far10,FAR_far10,TP_far10,FN_far10,FP_far10,TN_far10,tau_far15,recall_far15,FAR_far15,TP_far15,FN_far15,FP_far15,TN_far15,tau_far20,recall_far20,FAR_far20,TP_far20,FN_far20,FP_far20,TN_far20,val_auroc,H15_pass_val,F20_pass_val
AFAC_maxscore,AFAC_optionB,lenet,True,0.000,clean,0.132338,1.0,0.0973,44,0,44,408,0.132338,1.0,0.0973,44,0,44,408,0.132338,1.0,0.0973,44,0,44,408,0.9933,True,True
AFAC_maxscore,AFAC_optionB,lenet,True,0.030,pgd,0.234373,0.3864,0.0907,17,27,41,411,0.181992,0.7045,0.1438,31,13,65,387,0.147881,0.8182,0.1947,36,8,88,364,0.8719,False,True
AFAC_optBminFA,AFAC_optionB,lenet,False,0.000,clean,0.135513,0.9773,0.0597,43,1,27,425,0.135513,0.9773,0.0597,43,1,27,425,0.071542,1.0,0.1549,44,0,70,382,0.9917,True,True
AFAC_optBminFA,AFAC_optionB,lenet,False,0.030,pgd,0.154196,0.4091,0.0996,18,26,45,407,0.124508,0.5909,0.135,26,18,61,391,0.088531,0.7273,0.1814,32,12,82,370,0.8545,False,False
GR1_macroF1,GR1_gairat,lenet,True,0.000,clean,0.280013,1.0,0.0066,44,0,3,449,0.280013,1.0,0.0066,44,0,3,449,0.280013,1.0,0.0066,44,0,3,449,0.9971,True,True
GR1_macroF1,GR1_gairat,lenet,True,0.030,pgd,0.250327,0.3409,0.0841,15,29,38,414,0.148867,0.5909,0.1482,26,18,67,385,0.075261,0.8864,0.1903,39,5,86,366,0.8712,False,True
GR1_lowFA,GR1_gairat,lenet,False,0.000,clean,0.265345,1.0,0.0111,44,0,5,447,0.265345,1.0,0.0111,44,0,5,447,0.265345,1.0,0.0111,44,0,5,447,0.9956,True,True
GR1_lowFA,GR1_gairat,lenet,False,0.030,pgd,0.230682,0.25,0.0951,11,33,43,409,0.15018,0.5,0.146,22,22,66,386,0.071021,0.8636,0.1991,38,6,90,362,0.8597,False,True
GR1_safety,GR1_gairat,lenet,False,0.000,clean,0.341954,0.9773,0.0221,43,1,10,442,0.341954,0.9773,0.0221,43,1,10,442,0.160942,1.0,0.1947,44,0,88,364,0.9907,True,True
GR1_safety,GR1_gairat,lenet,False,0.030,pgd,0.416847,0.2955,0.0575,13,31,26,426,0.342693,0.4545,0.1394,20,24,63,389,0.283442,0.6136,0.1991,27,17,90,362,0.819,False,False
SA1_lowFA,SA1_sat,lenet,True,0.000,clean,0.155429,0.9773,0.0354,43,1,16,436,0.082752,1.0,0.1217,44,0,55,397,0.082752,1.0,0.1217,44,0,55,397,0.9963,True,True
