model,family,max_eps_H15_val,max_eps_F20_val,first_eps_H15_fails,first_eps_F20_fails,grid_note
AFAC_maxscore,AFAC_optionB,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
AFAC_optBminFA,AFAC_optionB,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
GR1_macroF1,GR1_gairat,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
GR1_lowFA,GR1_gairat,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
GR1_safety,GR1_gairat,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
SA1_lowFA,SA1_sat,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
SA1_macroF1,SA1_sat,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
SA1_safety,SA1_sat,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
ST1_lowFA,ST1_beta3p0,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
ST1_macroF1,ST1_beta3p0,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
ST1_safety,ST1_beta3p0,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
ST1b6_lowFA,ST1b6_beta6p0,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
ST1b6_macroF1,ST1b6_beta6p0,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
ST1b6_safety,ST1b6_beta6p0,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
D14B_seed44,D14_pauc_rank,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
D14B_seed43,D14_pauc_rank,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
VD_seed42,variantD,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
VD_seed43,variantD,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
G1_safety_s44,G1_hardneg,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
G1_lowFA_s42,G1_hardneg,0.000,0.030,0.030,none_on_grid,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
G1_maxrec_s42,G1_hardneg,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
BLF_macroF1,BiLSTM_finetune,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
BLF_maxrec,BiLSTM_finetune,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
BLF_safety,BiLSTM_finetune,0.000,0.000,0.030,0.030,"grid = {0.000 (clean), 0.030} only; boundary inside (0.000, 0.030) UNRESOLVED without the designed sweep"
