scenario,epsilon,metric,value
clean,0.030000,total_windows,996
clean,0.030000,fall_windows,89
clean,0.030000,nonfall_windows,907
clean,0.030000,true_positive_fall_detected,57
clean,0.030000,false_positive_false_fall_alarm,32
clean,0.030000,false_negative_missed_fall,32
clean,0.030000,true_negative_nonfall_correct,875
clean,0.030000,accuracy,0.935743
clean,0.030000,recall_sensitivity,0.640449
clean,0.030000,missed_fall_rate,0.359551
clean,0.030000,specificity,0.964719
clean,0.030000,false_positive_rate,0.035281
clean,0.030000,precision,0.640449
clean,0.030000,f1_score,0.640449
clean,0.030000,balanced_accuracy,0.802584
clean,0.030000,false_alarm_count,32
clean,0.030000,missed_fall_count,32
fgsm_attacked,0.030000,total_windows,996
fgsm_attacked,0.030000,fall_windows,89
fgsm_attacked,0.030000,nonfall_windows,907
fgsm_attacked,0.030000,true_positive_fall_detected,0
fgsm_attacked,0.030000,false_positive_false_fall_alarm,119
fgsm_attacked,0.030000,false_negative_missed_fall,89
fgsm_attacked,0.030000,true_negative_nonfall_correct,788
fgsm_attacked,0.030000,accuracy,0.791165
fgsm_attacked,0.030000,recall_sensitivity,0.000000
fgsm_attacked,0.030000,missed_fall_rate,1.000000
fgsm_attacked,0.030000,specificity,0.868798
fgsm_attacked,0.030000,false_positive_rate,0.131202
fgsm_attacked,0.030000,precision,0.000000
fgsm_attacked,0.030000,f1_score,0.000000
fgsm_attacked,0.030000,balanced_accuracy,0.434399
fgsm_attacked,0.030000,false_alarm_count,119
fgsm_attacked,0.030000,missed_fall_count,89
delta_attacked_minus_clean,0.030000,total_windows,0
delta_attacked_minus_clean,0.030000,fall_windows,0
delta_attacked_minus_clean,0.030000,nonfall_windows,0
delta_attacked_minus_clean,0.030000,true_positive_fall_detected,-57
delta_attacked_minus_clean,0.030000,false_positive_false_fall_alarm,87
delta_attacked_minus_clean,0.030000,false_negative_missed_fall,57
delta_attacked_minus_clean,0.030000,true_negative_nonfall_correct,-87
delta_attacked_minus_clean,0.030000,accuracy,-0.144578
delta_attacked_minus_clean,0.030000,recall_sensitivity,-0.640449
delta_attacked_minus_clean,0.030000,missed_fall_rate,0.640449
delta_attacked_minus_clean,0.030000,specificity,-0.095921
delta_attacked_minus_clean,0.030000,false_positive_rate,0.095921
delta_attacked_minus_clean,0.030000,precision,-0.640449
delta_attacked_minus_clean,0.030000,f1_score,-0.640449
delta_attacked_minus_clean,0.030000,balanced_accuracy,-0.368185
delta_attacked_minus_clean,0.030000,false_alarm_count,87
delta_attacked_minus_clean,0.030000,missed_fall_count,57
