seed,attack,clean_fall_recall,first_eps_drop_ge_0_10,first_eps_recall_below_0_50,first_eps_recall_zero
42,fgsm,0.955556,0.005000,0.005000,0.010000
42,pgd,0.955556,0.002500,0.005000,0.007500
43,fgsm,0.977778,0.005000,0.007500,0.025000
43,pgd,0.977778,0.005000,0.007500,0.015000
44,fgsm,1.000000,0.005000,0.007500,
44,pgd,1.000000,0.005000,0.005000,0.015000
45,fgsm,0.977778,0.005000,0.007500,0.075000
45,pgd,0.977778,0.005000,0.007500,0.012500
46,fgsm,0.977778,0.005000,0.007500,
46,pgd,0.977778,0.005000,0.005000,0.012500
mean,fgsm,0.977778,0.005000,0.007000,0.036667
std,fgsm,0.015713,0.000000,0.001118,0.034034
mean,pgd,0.977778,0.004500,0.006000,0.012500
std,pgd,0.015713,0.001118,0.001369,0.003062
