seed,condition,fall_recall,missed_fall_rate,false_fall_alarm_count,fall_precision,fall_f1,accuracy,macro_f1,walking_recall,prediction_change_rate,balanced_accuracy,mcc,cohen_kappa,n_windows,source_file
42,clean,0.955556,0.044444,0.000000,1.000000,0.977273,0.970000,0.952150,1.000000,,0.977778,0.975384,0.975081,500.000000,results\converged_baseline\converged_seed42_fall_binary_metrics.csv
42,fgsm_eps0.03,0.000000,1.000000,47.000000,0.000000,0.000000,0.020000,0.013599,,0.952000,0.448352,-0.101298,-0.101269,500.000000,results\converged_attacks\converged_seed42_fgsm_safety_metrics_test_epsilon_0_03.csv
42,pgd_eps0.03,0.000000,1.000000,48.000000,0.000000,0.000000,0.000000,0.000000,,0.972000,0.447253,-0.102483,-0.102418,500.000000,results\converged_attacks\converged_seed42_pgd_safety_metrics_test_epsilon_0_03.csv
42,defended_clean,0.911111,0.088889,8.000000,0.836735,0.872340,0.834000,0.814291,,,,,,500.000000,results\converged_defense\defended_fgsm_at_seed42_clean_metrics_test.csv
42,defended_fgsm_eps0.03,0.311111,0.688889,27.000000,0.341463,0.325581,0.492000,0.415491,,0.358000,0.625885,0.262614,0.262274,500.000000,results\converged_attacks\defended_fgsm_at_seed42_fgsm_safety_metrics_test_epsilon_0_03.csv
42,defended_pgd_eps0.03,0.088889,0.911111,54.000000,0.068966,0.077670,0.270000,0.233303,,0.592000,0.485104,-0.026625,-0.026361,500.000000,results\converged_attacks\defended_fgsm_at_seed42_pgd_safety_metrics_test_epsilon_0_03.csv
43,clean,0.977778,0.022222,1.000000,0.977778,0.977778,0.978000,0.966770,1.000000,,0.987790,0.975580,0.975580,500.000000,results\converged_baseline\converged_seed43_fall_binary_metrics.csv
43,fgsm_eps0.03,0.000000,1.000000,68.000000,0.000000,0.000000,0.024000,0.023594,,0.954000,0.425275,-0.124771,-0.121477,500.000000,results\converged_attacks\converged_seed43_fgsm_safety_metrics_test_epsilon_0_03.csv
43,pgd_eps0.03,0.000000,1.000000,65.000000,0.000000,0.000000,0.000000,0.000000,,0.984000,0.428571,-0.121566,-0.119023,500.000000,results\converged_attacks\converged_seed43_pgd_safety_metrics_test_epsilon_0_03.csv
43,defended_clean,0.955556,0.044444,0.000000,1.000000,0.977273,0.902000,0.900949,,,,,,500.000000,results\converged_defense\defended_fgsm_at_seed43_clean_metrics_test.csv
43,defended_fgsm_eps0.03,0.400000,0.600000,12.000000,0.600000,0.480000,0.472000,0.428469,,0.440000,0.686813,0.450236,0.439655,500.000000,results\converged_attacks\defended_fgsm_at_seed43_fgsm_safety_metrics_test_epsilon_0_03.csv
43,defended_pgd_eps0.03,0.022222,0.977778,35.000000,0.027778,0.024691,0.202000,0.170637,,0.720000,0.472650,-0.060561,-0.060118,500.000000,results\converged_attacks\defended_fgsm_at_seed43_pgd_safety_metrics_test_epsilon_0_03.csv
