condition,metric,n_seeds,mean,std,sem,ci95_low,ci95_high,boot_low,boot_high
clean,fall_recall,5,0.977778,0.015713,0.007027,0.958267,0.997289,0.964445,0.991111
clean,missed_fall_rate,5,0.022222,0.015713,0.007027,0.002711,0.041733,0.008889,0.035555
clean,false_fall_alarm_count,5,0.800000,0.447214,0.200000,0.244711,1.355289,0.400000,1.000000
clean,fall_precision,5,0.982319,0.009886,0.004421,0.970044,0.994594,0.977778,0.991114
clean,fall_f1,5,0.979924,0.005085,0.002274,0.973610,0.986237,0.977475,0.984518
clean,accuracy,5,0.970000,0.005099,0.002280,0.963669,0.976331,0.966400,0.974400
clean,macro_f1,5,0.954658,0.008513,0.003807,0.944088,0.965228,0.948169,0.961673
clean,walking_recall,5,0.994558,0.008870,0.003967,0.983545,1.005571,0.986395,1.000000
clean,prediction_change_rate,0,,,,,,,
clean,balanced_accuracy,5,0.988010,0.007474,0.003343,0.978729,0.997290,0.981783,0.994457
clean,mcc,5,0.978021,0.005569,0.002491,0.971106,0.984937,0.975462,0.983022
clean,cohen_kappa,5,0.977946,0.005575,0.002493,0.971025,0.984868,0.975281,0.982979
fgsm_eps0.03,fall_recall,5,0.048889,0.045542,0.020367,-0.007659,0.105437,0.013333,0.084445
fgsm_eps0.03,missed_fall_rate,5,0.951111,0.045542,0.020367,0.894563,1.007659,0.915555,0.986667
fgsm_eps0.03,false_fall_alarm_count,5,57.800000,10.329569,4.619524,44.974146,70.625854,49.600000,65.805000
fgsm_eps0.03,fall_precision,5,0.035768,0.032725,0.014635,-0.004865,0.076401,0.011268,0.060268
fgsm_eps0.03,fall_f1,5,0.041104,0.037697,0.016859,-0.005704,0.087911,0.012632,0.069576
fgsm_eps0.03,accuracy,5,0.046400,0.028050,0.012544,0.011571,0.081229,0.026000,0.068400
fgsm_eps0.03,macro_f1,5,0.043463,0.025803,0.011539,0.011424,0.075501,0.025199,0.063528
fgsm_eps0.03,walking_recall,0,,,,,,,
