family,candidate,split,condition,epsilon,far_cap,auroc,recall,FAR,TP,FN,FP,TN,threshold,target_recall_ge_0_80,n_rows,n_fall,n_nonfall,unique_scores,score_column,score_file,note,warnings
SAT validation seed42,SA1_v2lowFA (seed42),val,pgd,0.03,0.1,0.8727876106194691,0.5227272727272727,0.09955752212389381,23,21,45,407,0.124667,false,496,44,452,457,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/sat/seed42/SA1/val_eval/SA1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1_v2lowFA (seed42),val,pgd,0.03,0.1,0.8640386162510056,0.4772727272727273,0.09955752212389381,21,23,45,407,0.164256,false,496,44,452,450,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta3p0/val_eval/ST1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1_v2macroF1 (seed42),val,pgd,0.03,0.1,0.8760056315366049,0.45454545454545453,0.09513274336283185,20,24,43,409,0.237062,false,496,44,452,465,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta3p0/val_eval/ST1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1b6_v2lowFA (seed42),val,pgd,0.03,0.1,0.8689662107803701,0.36363636363636365,0.08849557522123894,16,28,40,412,0.174677,false,496,44,452,433,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
GAIRAT validation seed42,GR1_v2macroF1 (seed42),val,pgd,0.03,0.1,0.8712288817377313,0.3409090909090909,0.084070796460177,15,29,38,414,0.250327,false,496,44,452,442,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/gairat/seed42/GR1/val_eval/GR1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1b6_v2macroF1 (seed42),val,pgd,0.03,0.1,0.8690164923572004,0.3181818181818182,0.09955752212389381,14,30,45,407,0.339001,false,496,44,452,433,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
GAIRAT validation seed42,GR1_v2safety (seed42),val,pgd,0.03,0.1,0.8189863234111022,0.29545454545454547,0.05752212389380531,13,31,26,426,0.416847,false,496,44,452,477,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/gairat/seed42/GR1/val_eval/GR1_v2safety_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1b6_v2safety (seed42),val,pgd,0.03,0.1,0.8471440064360418,0.29545454545454547,0.09070796460176991,13,31,41,411,0.431076,false,496,44,452,458,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2safety_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
SAT validation seed42,SA1_v2macroF1 (seed42),val,pgd,0.03,0.1,0.8537308930008045,0.29545454545454547,0.09734513274336283,13,31,44,408,0.303597,false,496,44,452,464,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/sat/seed42/SA1/val_eval/SA1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
SAT validation seed42,SA1_v2safety (seed42),val,pgd,0.03,0.1,0.8213495575221239,0.2727272727272727,0.09955752212389381,12,32,45,407,0.32793,false,496,44,452,478,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/sat/seed42/SA1/val_eval/SA1_v2safety_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
GAIRAT validation seed42,GR1_v2lowFA (seed42),val,pgd,0.03,0.1,0.8597144006436042,0.25,0.09513274336283185,11,33,43,409,0.230682,false,496,44,452,465,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/gairat/seed42/GR1/val_eval/GR1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1_v2safety (seed42),val,pgd,0.03,0.1,0.8234613837489944,0.22727272727272727,0.084070796460177,10,34,38,414,0.458822,false,496,44,452,470,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta3p0/val_eval/ST1_v2safety_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BiLSTM G1 validation seed42,BLF_v2safety (seed42),val,pgd,0.03,0.1,0.7104283990345938,0.022727272727272728,0.07079646017699115,1,43,32,420,0.279488,false,496,44,452,495,fall_probability,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2safety_pgd_probabilities_val_epsilon_0_03.csv,validation-only representation test,
BiLSTM G1 validation seed42,BLF_v2macroF1 (seed42),val,pgd,0.03,0.1,0.7257139983909895,0,0,0,44,0,452,0.5436690000000002,false,496,44,452,494,fall_probability,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only representation test,
BiLSTM G1 validation seed42,BLF_v2maxrec (seed42),val,pgd,0.03,0.1,0.6916230893000804,0,0,0,44,0,452,0.6050730000000002,false,496,44,452,495,fall_probability,results/safety_guided_defense/variantG_bilstm_representation_test/seed42/g1_finetune_cleaninit/val_eval/BLF_v2maxrec_pgd_probabilities_val_epsilon_0_03.csv,validation-only representation test,
BASAT/Stage1 validation seed42,ST1b6_v2lowFA (seed42),val,pgd,0.03,0.2,0.8689662107803701,0.9090909090909091,0.1902654867256637,40,4,86,366,0.051834,true,496,44,452,433,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
SAT validation seed42,SA1_v2lowFA (seed42),val,pgd,0.03,0.2,0.8727876106194691,0.8863636363636364,0.18805309734513273,39,5,85,367,0.048495,true,496,44,452,457,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/sat/seed42/SA1/val_eval/SA1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
GAIRAT validation seed42,GR1_v2macroF1 (seed42),val,pgd,0.03,0.2,0.8712288817377313,0.8863636363636364,0.1902654867256637,39,5,86,366,0.075261,true,496,44,452,442,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/gairat/seed42/GR1/val_eval/GR1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1b6_v2macroF1 (seed42),val,pgd,0.03,0.2,0.8690164923572004,0.8636363636363636,0.19911504424778761,38,6,90,362,0.132909,true,496,44,452,433,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
GAIRAT validation seed42,GR1_v2lowFA (seed42),val,pgd,0.03,0.2,0.8597144006436042,0.8636363636363636,0.19911504424778761,38,6,90,362,0.071021,true,496,44,452,465,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/gairat/seed42/GR1/val_eval/GR1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1_v2lowFA (seed42),val,pgd,0.03,0.2,0.8640386162510056,0.8409090909090909,0.19247787610619468,37,7,87,365,0.090181,true,496,44,452,450,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta3p0/val_eval/ST1_v2lowFA_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1_v2macroF1 (seed42),val,pgd,0.03,0.2,0.8760056315366049,0.8181818181818182,0.1570796460176991,36,8,71,381,0.127056,true,496,44,452,465,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta3p0/val_eval/ST1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
SAT validation seed42,SA1_v2macroF1 (seed42),val,pgd,0.03,0.2,0.8537308930008045,0.7727272727272727,0.19911504424778761,34,10,90,362,0.151631,false,496,44,452,464,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/sat/seed42/SA1/val_eval/SA1_v2macroF1_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
BASAT/Stage1 validation seed42,ST1b6_v2safety (seed42),val,pgd,0.03,0.2,0.8471440064360418,0.6590909090909091,0.18584070796460178,29,15,84,368,0.302194,false,496,44,452,458,fall_probability,results/safety_guided_defense/boundary_aware_selective_at/seed42/beta6p0/val_eval/ST1b6_v2safety_pgd_probabilities_val_epsilon_0_03.csv,validation-only score export,
