epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,weights_active,mean_w_fall,mean_w_nonfall,mean_mu_fall,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,3.117610,1.989363,0.047790,1.024839,0.055618,0,0.000000,0.000000,0.000000,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,3.008086,1.997264,0.007987,0.989757,0.013078,0,0.000000,0.000000,0.000000,0.274194,0.086617,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,3.045645,1.996627,0.007065,1.030931,0.011022,0,0.000000,0.000000,0.000000,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,2.973228,1.996712,0.005896,0.961372,0.009248,0,0.000000,0.000000,0.000000,0.296371,0.103734,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
5,3.018913,1.996152,0.006530,1.006594,0.009637,0,0.000000,0.000000,0.000000,0.288306,0.119833,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,3.008605,1.998442,0.003027,1.001191,0.005946,0,0.000000,0.000000,0.000000,0.298387,0.117034,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
7,3.000163,1.996072,0.002465,0.996447,0.005179,0,0.000000,0.000000,0.000000,0.292339,0.134981,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
8,2.966778,1.993792,0.003683,0.963036,0.006266,0,0.000000,0.000000,0.000000,0.375000,0.139955,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
9,3.011879,1.994395,0.003194,1.008564,0.005727,0,0.000000,0.000000,0.000000,0.364919,0.138357,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
10,2.947315,1.995464,0.003267,0.943192,0.005393,0,0.000000,0.000000,0.000000,0.409274,0.217285,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
11,2.947828,2.021241,0.004801,0.914716,0.007069,1,1.497480,0.935695,-0.463104,0.356855,0.184475,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
