epoch,tau,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,select_active,keep_rate,keep_fall,keep_nonfall,val_clean_accuracy,val_clean_fall_recall,val_pgd_fall_recall,val_pgd_false_fall_alarms
1,1.000000,3.705061,2.022706,0.281572,1.110236,0.290548,0,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
2,1.000000,3.303644,1.962284,0.179355,0.973536,0.188469,0,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
3,1.000000,3.268689,1.959032,0.030823,1.236319,0.042515,0,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
4,1.000000,3.151722,1.984621,0.057412,1.048081,0.061608,0,0.000000,0.000000,0.000000,0.296371,0.000000,0.000000,0
5,1.000000,3.129851,2.013350,0.017748,1.073176,0.025578,0,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
6,1.000000,3.094768,2.015387,0.007109,1.056526,0.015745,0,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
7,1.000000,3.081316,2.019809,0.004455,1.045154,0.011898,0,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
8,1.000000,3.079051,2.008285,0.006733,1.053172,0.010861,0,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
9,1.000000,3.055586,1.979299,0.008726,1.050341,0.017221,0,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
10,1.000000,2.870518,1.988809,0.011295,0.847596,0.022818,0,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
11,1.000000,3.079332,2.010644,0.012243,1.040431,0.016014,0,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
12,1.000000,3.087906,2.014804,0.012760,1.040350,0.019993,0,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
13,1.000000,2.860817,1.977344,0.007912,0.862286,0.013276,0,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
14,1.000000,3.026816,1.969391,0.006319,1.039365,0.011742,0,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
15,1.000000,3.046709,1.991198,0.005785,1.041725,0.008002,0,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
16,0.800000,2.898736,2.055759,0.006451,0.824457,0.012069,1,0.100000,1.000000,0.013147,0.243952,0.000000,0.000000,0
17,0.800000,3.149587,2.087360,0.008672,1.038321,0.015234,1,0.100000,1.000000,0.000000,0.294355,0.000000,0.000000,0
18,0.800000,3.137952,2.077172,0.008950,1.035530,0.016300,1,0.081250,1.000000,0.000000,0.270161,0.000000,0.000000,0
