epoch,tau,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,select_active,keep_rate,keep_fall,keep_nonfall,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,1.000000,3.117610,1.989363,0.047790,1.024839,0.055618,0,0.000000,0.000000,0.000000,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,1.000000,3.008086,1.997264,0.007987,0.989757,0.013078,0,0.000000,0.000000,0.000000,0.274194,0.086617,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,1.000000,3.045645,1.996627,0.007065,1.030931,0.011022,0,0.000000,0.000000,0.000000,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,1.000000,2.973228,1.996712,0.005896,0.961372,0.009248,0,0.000000,0.000000,0.000000,0.296371,0.103734,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
5,1.000000,3.018913,1.996152,0.006530,1.006594,0.009637,0,0.000000,0.000000,0.000000,0.288306,0.119833,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,1.000000,3.008605,1.998442,0.003027,1.001191,0.005946,0,0.000000,0.000000,0.000000,0.298387,0.117034,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
7,1.000000,3.000163,1.996072,0.002465,0.996447,0.005179,0,0.000000,0.000000,0.000000,0.292339,0.134981,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
8,1.000000,2.966778,1.993792,0.003683,0.963036,0.006266,0,0.000000,0.000000,0.000000,0.375000,0.139955,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
9,1.000000,3.011879,1.994395,0.003194,1.008564,0.005727,0,0.000000,0.000000,0.000000,0.364919,0.138357,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
10,1.000000,2.947315,1.995464,0.003267,0.943192,0.005393,0,0.000000,0.000000,0.000000,0.409274,0.217285,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
11,1.000000,2.920606,1.993638,0.004473,0.915784,0.006710,0,0.000000,0.000000,0.000000,0.308468,0.157888,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
12,1.000000,2.915664,1.991053,0.005115,0.912437,0.007059,0,0.000000,0.000000,0.000000,0.332661,0.205087,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
13,1.000000,2.945513,1.991908,0.004615,0.942012,0.006978,0,0.000000,0.000000,0.000000,0.366935,0.197523,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
14,1.000000,2.974288,1.990884,0.004431,0.972017,0.006956,0,0.000000,0.000000,0.000000,0.409274,0.258627,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
15,1.000000,2.958705,1.986942,0.005912,0.957764,0.008087,0,0.000000,0.000000,0.000000,0.401210,0.262677,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
16,0.600000,2.910282,1.983395,0.007541,0.909474,0.009872,1,1.000000,1.000000,1.000000,0.385081,0.230114,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
17,0.600000,2.991419,1.977097,0.010655,0.990266,0.013401,1,1.000000,1.000000,1.000000,0.443548,0.285126,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
