epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_fallconsist,consist_p_f_clean,consist_p_f_adv,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,3.106732,1.989540,0.044397,1.020439,0.052335,0.000007,0.093476,0.091117,0.133065,0.033554,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,3.008197,1.996847,0.007408,0.990656,0.013274,0.000004,0.091702,0.090005,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,3.050550,1.997012,0.007804,1.033464,0.012262,0.000003,0.091931,0.090508,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,2.989449,1.995610,0.009892,0.970313,0.013629,0.000002,0.091614,0.090335,0.137097,0.037534,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,3.014734,1.997107,0.004692,1.005114,0.007817,0.000001,0.091931,0.090941,0.252016,0.078634,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,3.007563,1.998557,0.002757,1.000806,0.005438,0.000002,0.092114,0.091042,0.356855,0.184601,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
7,3.004934,1.994869,0.003767,0.999077,0.007217,0.000001,0.092463,0.091504,0.153226,0.053472,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
8,2.968137,1.994668,0.003364,0.964080,0.006023,0.000001,0.092553,0.091628,0.286290,0.097722,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
9,3.011479,1.995126,0.002748,1.008457,0.005145,0.000001,0.092679,0.091868,0.399194,0.213215,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
10,2.951273,1.995272,0.004339,0.945207,0.006453,0.000001,0.092494,0.091717,0.368952,0.141343,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
11,2.915431,1.993692,0.003177,0.913247,0.005313,0.000001,0.092581,0.091790,0.368952,0.203919,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
12,2.914690,1.990128,0.005058,0.912446,0.007055,0.000001,0.093208,0.092324,0.403226,0.214565,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
13,2.946018,1.989981,0.005174,0.943495,0.007366,0.000001,0.093292,0.092451,0.433468,0.253611,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
14,2.973696,1.989006,0.004678,0.972581,0.007427,0.000001,0.093659,0.092714,0.399194,0.236991,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
15,2.956318,1.982720,0.007134,0.956568,0.009891,0.000002,0.094346,0.093297,0.431452,0.302743,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
16,2.975305,1.977432,0.011725,0.970911,0.015228,0.000003,0.095480,0.094106,0.358871,0.211120,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
17,2.970488,1.966847,0.013768,0.972357,0.017505,0.000003,0.096615,0.095042,0.439516,0.335014,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
18,2.949384,1.954426,0.018253,0.956284,0.020402,0.000006,0.098636,0.096608,0.409274,0.280436,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
19,2.962819,1.931542,0.027913,0.972775,0.030556,0.000011,0.101534,0.098661,0.409274,0.304094,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
20,2.927675,1.897144,0.038822,0.949161,0.042489,0.000020,0.105204,0.101506,0.437500,0.321632,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
21,2.897714,1.824342,0.060446,0.950194,0.062577,0.000052,0.114837,0.108960,0.453629,0.331153,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
22,2.910946,1.796581,0.072738,0.975658,0.065799,0.000057,0.116748,0.110748,0.489919,0.407519,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
23,2.826307,1.727277,0.091569,0.924901,0.082205,0.000118,0.127505,0.119027,0.483871,0.406628,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
24,2.754235,1.690508,0.091373,0.887810,0.084251,0.000098,0.133159,0.125667,0.443548,0.364530,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
25,2.708706,1.626597,0.121101,0.846640,0.113681,0.000229,0.143477,0.133170,0.504032,0.421144,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
26,2.739236,1.633444,0.116715,0.873429,0.114763,0.000295,0.144471,0.131588,0.508065,0.379638,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
27,2.682696,1.572892,0.133246,0.845260,0.130427,0.000290,0.154157,0.141180,0.506048,0.439534,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
28,2.735841,1.585150,0.129026,0.889336,0.131227,0.000368,0.156343,0.141960,0.526210,0.453239,0.136364,0.022727,0.000000,2,3,0.005531,0.049447,0,0,0,0,1
29,2.534246,1.492734,0.138480,0.760330,0.140679,0.000674,0.179589,0.161741,0.576613,0.537959,0.590909,0.113636,0.113636,22,33,0.060841,0.263234,0,0,0,0,1
30,2.482532,1.412255,0.178733,0.672741,0.214117,0.001562,0.223990,0.194239,0.580645,0.533196,0.727273,0.136364,0.113636,22,36,0.064159,0.312902,0,0,0,0,0
31,2.555162,1.414055,0.217066,0.666532,0.251749,0.001920,0.230763,0.199105,0.602823,0.574977,0.545455,0.090909,0.022727,12,18,0.033186,0.206909,0,0,0,0,1
32,2.456914,1.370523,0.210624,0.598699,0.268250,0.002939,0.256821,0.214044,0.647177,0.639555,0.840909,0.295455,0.181818,20,41,0.067478,0.398934,0,0,0,0,1
33,2.427677,1.335842,0.226941,0.565986,0.287240,0.003889,0.276706,0.227357,0.604839,0.545930,0.636364,0.227273,0.181818,28,40,0.075221,0.319751,0,0,0,0,0
34,2.395197,1.343263,0.201462,0.569112,0.271240,0.003373,0.268827,0.220272,0.606855,0.573277,0.659091,0.022727,0.000000,6,10,0.017699,0.231185,0,0,0,0,0
35,2.494346,1.343960,0.225856,0.639085,0.269605,0.005280,0.269394,0.211359,0.659274,0.637039,0.863636,0.272727,0.159091,18,34,0.057522,0.395384,0,0,0,0,0
36,2.191436,1.234873,0.198774,0.480281,0.262708,0.004934,0.309964,0.252462,0.645161,0.625730,0.977273,0.636364,0.363636,61,82,0.158186,0.553500,0,0,0,0,0
37,2.250023,1.225714,0.247687,0.421562,0.331469,0.007864,0.331392,0.260907,0.681452,0.670933,0.863636,0.204545,0.136364,11,23,0.037611,0.380330,0,0,0,0,1
38,2.087193,1.174408,0.211669,0.410382,0.270590,0.006715,0.356603,0.291708,0.709677,0.711927,0.931818,0.227273,0.068182,13,29,0.046460,0.374899,1,1,1,0,1
39,2.198543,1.199640,0.227402,0.471687,0.276893,0.007640,0.344664,0.275017,0.655242,0.651063,0.954545,0.386364,0.159091,42,55,0.107301,0.433588,0,0,0,0,0
40,2.006922,1.153607,0.198349,0.382158,0.247935,0.008291,0.364961,0.294606,0.695565,0.685990,0.954545,0.340909,0.090909,24,41,0.071903,0.401901,0,0,0,0,0
41,2.075383,1.114390,0.226590,0.363575,0.326294,0.014845,0.426588,0.329340,0.683468,0.687286,0.954545,0.477273,0.250000,29,48,0.085177,0.485800,0,0,0,0,0
42,2.034057,1.122244,0.212659,0.351893,0.303532,0.014576,0.427245,0.327682,0.703629,0.693647,0.931818,0.363636,0.204545,29,39,0.075221,0.447023,1,1,1,1,0
43,2.184585,1.140710,0.232890,0.432945,0.329481,0.016186,0.423315,0.325993,0.695565,0.699948,0.909091,0.295455,0.113636,21,30,0.056416,0.393222,0,0,0,0,0
44,2.168977,1.151675,0.229067,0.422723,0.325197,0.013438,0.405887,0.312701,0.717742,0.678285,0.931818,0.250000,0.068182,21,31,0.057522,0.376066,1,0,0,0,0
45,1.940432,1.070941,0.211557,0.326573,0.292170,0.013063,0.427999,0.337628,0.745968,0.735296,0.954545,0.318182,0.090909,25,38,0.069690,0.399849,1,0,0,0,1
46,2.146905,1.117558,0.212740,0.462375,0.304945,0.016429,0.410475,0.310914,0.703629,0.649605,0.886364,0.181818,0.068182,18,36,0.059735,0.353117,0,0,0,0,0
47,1.846512,1.030838,0.196167,0.319645,0.256970,0.014298,0.451320,0.358086,0.713710,0.704716,1.000000,0.795455,0.477273,57,81,0.152655,0.629053,1,1,1,0,0
48,1.976121,1.038531,0.208344,0.383013,0.290080,0.018718,0.442732,0.335451,0.717742,0.715353,0.954545,0.204545,0.090909,8,20,0.030973,0.392357,1,0,0,0,0
49,2.087121,1.080199,0.240662,0.377654,0.333949,0.018219,0.449574,0.339843,0.739919,0.724465,0.954545,0.568182,0.295455,36,44,0.088496,0.515014,1,0,0,0,0
50,1.662728,0.950752,0.162505,0.244558,0.241883,0.021010,0.518945,0.404311,0.723790,0.704212,0.977273,0.750000,0.454545,68,86,0.170354,0.604556,1,0,0,0,0
51,2.143076,1.064464,0.229300,0.437154,0.347013,0.021715,0.477532,0.347622,0.721774,0.707024,0.977273,0.659091,0.409091,52,67,0.131637,0.578882,1,0,0,0,0
52,1.848665,1.005079,0.208783,0.289742,0.282974,0.020695,0.493559,0.379497,0.764113,0.761834,0.886364,0.227273,0.045455,12,18,0.033186,0.350091,1,0,0,0,1
53,1.904919,1.021567,0.204015,0.342446,0.280027,0.018955,0.463952,0.359415,0.762097,0.751849,0.954545,0.590909,0.272727,33,53,0.095133,0.506396,1,0,0,0,0
54,1.663936,0.937185,0.172737,0.252774,0.252962,0.016093,0.501518,0.404991,0.764113,0.757776,0.931818,0.250000,0.090909,16,23,0.043142,0.387731,1,0,0,0,0
55,2.061276,1.050978,0.233030,0.406405,0.311428,0.019812,0.457180,0.342366,0.743952,0.730493,0.977273,0.500000,0.227273,29,38,0.074115,0.486907,1,0,0,1,0
56,1.894140,0.957548,0.216517,0.312973,0.309122,0.032660,0.566788,0.423747,0.774194,0.757581,0.977273,0.590909,0.363636,52,70,0.134956,0.551277,1,0,0,0,0
57,1.797251,0.954089,0.210269,0.287426,0.275853,0.023205,0.512038,0.402625,0.772177,0.766153,0.931818,0.386364,0.159091,20,24,0.048673,0.431496,1,0,0,1,1
58,1.823036,0.968654,0.191648,0.303653,0.282056,0.025675,0.529942,0.404348,0.727823,0.723882,1.000000,0.772727,0.568182,71,91,0.179204,0.665034,1,1,1,0,0
59,1.900124,0.970894,0.234281,0.320207,0.303494,0.023749,0.522650,0.397596,0.774194,0.766265,0.977273,0.500000,0.318182,29,43,0.079646,0.527263,1,0,0,0,1
60,1.737808,0.896718,0.191920,0.271800,0.288238,0.029711,0.574366,0.445011,0.766129,0.748158,0.977273,0.500000,0.318182,41,53,0.103982,0.524829,1,0,0,0,0
61,1.777127,0.919210,0.210078,0.284229,0.283542,0.026689,0.581829,0.448531,0.756048,0.737061,0.954545,0.704545,0.431818,52,73,0.138274,0.585036,1,0,0,0,0
62,1.644399,0.886663,0.192343,0.213848,0.270125,0.027140,0.606947,0.485600,0.754032,0.743069,0.977273,0.568182,0.340909,29,42,0.078540,0.544419,1,0,0,0,0
63,1.840720,0.908071,0.243975,0.275643,0.312961,0.033356,0.601057,0.468280,0.762097,0.749853,1.000000,0.818182,0.568182,59,70,0.142699,0.673230,1,1,1,0,0
64,1.915289,0.933546,0.210981,0.369242,0.315281,0.028746,0.540600,0.408012,0.782258,0.755062,0.977273,0.750000,0.431818,37,48,0.094027,0.601961,1,0,0,0,0
65,1.664386,0.870250,0.172010,0.311689,0.244018,0.022140,0.552569,0.440965,0.794355,0.791062,0.977273,0.454545,0.250000,23,30,0.058628,0.494137,1,0,0,0,1
66,1.791375,0.898004,0.208602,0.301904,0.277196,0.035223,0.581112,0.443026,0.745968,0.726789,0.977273,0.818182,0.568182,64,83,0.162611,0.663284,1,0,0,0,0
67,1.825331,0.922488,0.225386,0.299755,0.296890,0.026938,0.563675,0.436513,0.739919,0.727050,0.977273,0.818182,0.636364,84,111,0.215708,0.688656,1,1,1,0,0
68,1.753548,0.903428,0.203083,0.276612,0.281462,0.029654,0.568529,0.444681,0.768145,0.757744,1.000000,0.590909,0.340909,36,50,0.095133,0.552987,1,0,0,0,0
69,1.641191,0.856061,0.196889,0.215293,0.282530,0.030140,0.598361,0.470932,0.788306,0.779084,1.000000,0.636364,0.454545,46,63,0.120575,0.606124,1,0,0,0,0
70,1.925940,0.901417,0.245994,0.330615,0.345075,0.034280,0.595023,0.445394,0.766129,0.754928,1.000000,0.681818,0.477273,51,54,0.116150,0.621340,1,0,0,0,0
