epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,3.092473,1.989928,0.067734,0.968069,0.066743,0.207661,0.114006,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,2.982687,1.996856,0.007031,0.972963,0.005838,0.266129,0.116286,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,2.958794,1.994480,0.007226,0.950996,0.006092,0.312500,0.169355,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
4,2.952867,1.993157,0.006239,0.948226,0.005244,0.290323,0.141400,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,3.014862,1.992398,0.006156,1.010951,0.005358,0.320565,0.169221,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
6,2.969957,1.993213,0.006863,0.963668,0.006212,0.282258,0.136828,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
7,2.966429,1.989390,0.007162,0.963727,0.006149,0.312500,0.118306,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
8,2.964792,1.990189,0.006769,0.961937,0.005897,0.427419,0.231264,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
9,2.993227,1.989105,0.007253,0.990454,0.006416,0.330645,0.132742,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
10,2.914902,1.984905,0.009885,0.911284,0.008828,0.360887,0.210591,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
11,2.958688,1.987757,0.007056,0.956993,0.006882,0.300403,0.160956,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
12,2.963280,1.986070,0.009035,0.960162,0.008013,0.306452,0.181172,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
13,2.939067,1.986432,0.006666,0.939318,0.006651,0.372984,0.196092,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
14,2.942451,1.979143,0.010063,0.942973,0.010272,0.465726,0.292991,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
15,2.986957,1.982593,0.008563,0.987029,0.008772,0.391129,0.275657,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
16,2.973713,1.976188,0.012382,0.972602,0.012541,0.393145,0.271601,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
17,2.988445,1.979206,0.010954,0.988090,0.010195,0.387097,0.229111,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
18,2.950240,1.975597,0.010477,0.954329,0.009837,0.358871,0.215867,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
19,2.933704,1.970178,0.013379,0.938315,0.011832,0.415323,0.299459,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
20,2.955979,1.964951,0.018387,0.957231,0.015409,0.334677,0.192856,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
21,2.959221,1.958045,0.023791,0.957717,0.019667,0.445565,0.241025,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
22,2.931922,1.956805,0.021030,0.935942,0.018144,0.348790,0.185415,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
23,2.927611,1.950816,0.028334,0.924665,0.023797,0.342742,0.204119,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
24,2.969791,1.947034,0.025618,0.975000,0.022140,0.340726,0.258196,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
25,2.945968,1.933166,0.035126,0.946080,0.031597,0.328629,0.160170,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
