checkpoint,condition,fall_recall,false_fall_alarms,fall_precision,specificity,fpr_nonfall,binary_f1,missed_fall_count,tp,fp,fn,tn
FGSM_defense,clean,0.911,8,0.837,0.982,0.018,0.872,4,41,8,4,447
FGSM_defense,fgsm003,0.311,27,0.341,0.941,0.059,0.326,31,14,27,31,428
FGSM_defense,pgd003,0.089,54,0.069,0.881,0.119,0.078,41,4,54,41,401
C_safety,clean,0.978,71,0.383,0.844,0.156,0.550,1,44,71,1,384
C_safety,fgsm003,0.556,146,0.146,0.679,0.321,0.231,20,25,146,20,309
C_safety,pgd003,0.489,190,0.104,0.582,0.418,0.171,23,22,190,23,265
D_safety,clean,1.000,38,0.542,0.916,0.084,0.703,0,45,38,0,417
D_safety,fgsm003,0.778,123,0.222,0.730,0.270,0.345,10,35,123,10,332
D_safety,pgd003,0.444,157,0.113,0.655,0.345,0.180,25,20,157,25,298
D_macroF1,clean,0.956,12,0.782,0.974,0.026,0.860,2,43,12,2,443
D_macroF1,fgsm003,0.467,70,0.231,0.846,0.154,0.309,24,21,70,24,385
D_macroF1,pgd003,0.133,79,0.071,0.826,0.174,0.092,39,6,79,39,376
