checkpoint,condition,lie down,walk,pickup,run,sit down,stand up,total_false_fall
FGSM_defense,clean,0,0,4,1,1,2,8
FGSM_defense,fgsm003,0,9,4,4,0,10,27
FGSM_defense,pgd003,1,15,4,24,1,9,54
C_safety,clean,4,20,9,22,3,13,71
C_safety,fgsm003,15,48,13,52,4,14,146
C_safety,pgd003,16,71,15,68,5,15,190
D_safety,clean,0,10,12,8,2,6,38
D_safety,fgsm003,8,40,11,50,3,11,123
D_safety,pgd003,12,55,10,65,2,13,157
D_macroF1,clean,0,1,4,3,1,3,12
D_macroF1,fgsm003,2,15,7,37,1,8,70
D_macroF1,pgd003,5,19,7,42,1,5,79
