epoch,train_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_clean_missed_fall_count,val_fgsm_missed_fall_count,val_pgd_missed_fall_count,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
1,1.813913,17.531250,0.282258,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
2,1.804404,17.937500,0.299395,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
3,1.801365,17.812500,0.296371,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
4,1.795063,17.906250,0.292843,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
5,1.794710,18.093750,0.262097,0.330645,0.121223,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
6,1.763644,21.562500,0.251008,0.320565,0.116605,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
7,1.701959,24.250000,0.291331,0.377016,0.209781,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
8,1.628630,28.062500,0.296875,0.403226,0.242288,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
9,1.578622,28.812500,0.302419,0.445565,0.315661,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
10,1.549296,29.968750,0.301915,0.483871,0.326829,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
11,1.519356,30.531250,0.324597,0.495968,0.344312,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
12,1.504545,31.156250,0.339718,0.485887,0.436306,0.136364,0.022727,0.000000,4,5,38,43,44,0.009956,0.049004,0,1
13,1.464549,33.000000,0.328629,0.524194,0.434598,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
14,1.468346,33.968750,0.312500,0.542339,0.425812,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
15,1.428396,33.718750,0.320060,0.548387,0.441564,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
16,1.431784,34.343750,0.323589,0.536290,0.521952,0.295455,0.000000,0.000000,4,6,31,44,44,0.011062,0.102303,0,1
17,1.415208,36.250000,0.328125,0.560484,0.476674,0.022727,0.000000,0.000000,2,1,43,44,44,0.003319,0.007623,0,0
18,1.394846,36.656250,0.316028,0.614919,0.549003,0.659091,0.136364,0.022727,20,37,15,38,43,0.063053,0.248240,1,1
19,1.395658,37.500000,0.317036,0.554435,0.452391,0.068182,0.000000,0.000000,0,0,41,44,44,0.000000,0.023864,0,0
20,1.373967,37.906250,0.311492,0.582661,0.572333,0.522727,0.136364,0.045455,16,19,21,38,42,0.038717,0.213174,0,1
21,1.354209,38.281250,0.336694,0.558468,0.506961,0.204545,0.000000,0.000000,3,4,35,44,44,0.007743,0.070817,0,0
22,1.351085,39.156250,0.324597,0.604839,0.548035,0.250000,0.022727,0.000000,2,2,33,43,44,0.004425,0.089330,0,0
23,1.331009,39.593750,0.316532,0.625000,0.536557,0.045455,0.000000,0.000000,1,1,42,44,44,0.002212,0.015688,0,0
