epoch,train_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_clean_missed_fall_count,val_fgsm_missed_fall_count,val_pgd_missed_fall_count,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
1,1.830971,13.937500,0.234879,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
2,1.813619,17.687500,0.293851,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,0,0,0,1.000000,0.800000,0,0
3,1.808859,14.687500,0.235383,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
4,1.805914,16.531250,0.277722,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
5,1.813583,15.531250,0.231855,0.314516,0.114109,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
6,1.790162,19.468750,0.210685,0.088710,0.023324,1.000000,1.000000,1.000000,451,451,0,0,0,0.997788,0.800221,0,0
7,1.771138,19.343750,0.238407,0.326613,0.159577,0.477273,0.409091,0.522727,162,179,23,26,21,0.377212,0.405461,0,1
8,1.740515,24.343750,0.226310,0.262097,0.152268,0.840909,0.590909,0.590909,289,297,7,18,18,0.648230,0.554495,0,0
9,1.713858,23.343750,0.211190,0.395161,0.240486,0.113636,0.068182,0.068182,50,51,39,41,41,0.111726,0.066100,0,1
10,1.679091,26.968750,0.221270,0.461694,0.330283,0.159091,0.000000,0.000000,24,34,37,44,44,0.064159,0.049266,0,1
11,1.656305,28.125000,0.218750,0.477823,0.340796,0.295455,0.000000,0.000000,31,38,31,44,44,0.076327,0.095776,0,1
12,1.615335,30.750000,0.223286,0.506048,0.397735,0.818182,0.250000,0.159091,115,122,8,33,37,0.262168,0.356738,0,1
13,1.577943,31.968750,0.213206,0.489919,0.414264,0.840909,0.500000,0.409091,123,134,7,22,26,0.284292,0.499980,0,1
14,1.574976,32.406250,0.209677,0.548387,0.453876,0.590909,0.090909,0.090909,46,54,18,40,40,0.110619,0.245756,0,1
15,1.530660,32.625000,0.201109,0.532258,0.442748,0.431818,0.000000,0.000000,18,27,25,44,44,0.049779,0.146158,0,0
16,1.519070,33.000000,0.218246,0.538306,0.457810,0.840909,0.500000,0.340909,122,143,7,22,29,0.293142,0.468413,0,1
17,1.510234,34.656250,0.208165,0.562500,0.464546,0.477273,0.136364,0.045455,30,41,23,38,42,0.078540,0.193282,0,1
18,1.489396,35.000000,0.238407,0.562500,0.460303,0.840909,0.477273,0.250000,132,141,7,23,33,0.301991,0.424346,0,0
19,1.502112,34.531250,0.216734,0.590726,0.506276,0.840909,0.295455,0.227273,66,85,7,31,34,0.167035,0.409433,0,1
20,1.470412,36.625000,0.224798,0.560484,0.489535,0.909091,0.613636,0.409091,147,161,4,17,26,0.340708,0.529566,0,0
21,1.453290,35.468750,0.232863,0.572581,0.491165,0.727273,0.204545,0.204545,47,59,12,35,35,0.117257,0.355320,0,0
22,1.444625,36.750000,0.217742,0.489919,0.413407,0.931818,0.795455,0.727273,196,211,3,9,12,0.450221,0.687932,0,0
23,1.449435,36.875000,0.220262,0.620968,0.585396,0.772727,0.068182,0.000000,34,47,10,41,44,0.089602,0.268313,1,1
24,1.417218,39.093750,0.231855,0.637097,0.590308,0.886364,0.181818,0.022727,63,81,5,36,43,0.159292,0.322707,1,1
25,1.416859,38.781250,0.232863,0.629032,0.577400,0.909091,0.340909,0.159091,98,118,4,29,37,0.238938,0.399970,1,0
26,1.409715,38.843750,0.242440,0.614919,0.559238,0.409091,0.000000,0.000000,8,12,26,44,44,0.022124,0.140969,0,0
27,1.419643,38.218750,0.243448,0.602823,0.567559,0.818182,0.318182,0.204545,78,104,8,30,35,0.201327,0.390095,0,0
28,1.399020,39.812500,0.252016,0.612903,0.574026,0.818182,0.295455,0.136364,43,70,8,31,38,0.125000,0.364773,0,0
29,1.382471,41.000000,0.231855,0.655242,0.634990,0.772727,0.022727,0.000000,25,48,10,43,44,0.080752,0.264652,0,1
30,1.365203,41.125000,0.229335,0.645161,0.610985,0.818182,0.045455,0.022727,19,39,8,42,43,0.064159,0.294720,0,0
31,1.349768,41.687500,0.256552,0.608871,0.556108,0.977273,0.681818,0.522727,149,178,1,14,21,0.361726,0.609282,1,0
32,1.347513,40.343750,0.241935,0.683468,0.665091,0.977273,0.363636,0.227273,73,103,1,28,34,0.194690,0.461213,0,1
33,1.337866,41.500000,0.250504,0.657258,0.599775,0.954545,0.386364,0.204545,84,121,2,27,35,0.226770,0.442096,0,0
34,1.342895,41.343750,0.255040,0.653226,0.625548,0.886364,0.295455,0.113636,54,81,5,31,39,0.149336,0.375975,0,0
35,1.341102,40.625000,0.259073,0.661290,0.619029,0.840909,0.113636,0.090909,24,37,7,39,40,0.067478,0.339843,0,0
36,1.318969,41.906250,0.246976,0.667339,0.634837,0.909091,0.386364,0.159091,69,99,4,27,37,0.185841,0.409825,0,0
37,1.319306,40.843750,0.256552,0.691532,0.646699,0.931818,0.204545,0.136364,48,74,3,35,38,0.134956,0.394459,0,0
38,1.303955,41.593750,0.259073,0.669355,0.620388,0.931818,0.227273,0.136364,49,78,3,34,38,0.140487,0.396179,0,0
39,1.302830,42.125000,0.254536,0.645161,0.575269,0.977273,0.681818,0.386364,113,139,1,14,27,0.278761,0.556215,0,0
40,1.300483,41.437500,0.259073,0.691532,0.659476,0.886364,0.159091,0.113636,41,48,5,37,39,0.098451,0.367428,0,0
41,1.315091,42.593750,0.256048,0.675403,0.646422,0.931818,0.636364,0.431818,98,128,3,16,25,0.250000,0.559091,0,0
42,1.296381,42.625000,0.268145,0.673387,0.637999,0.977273,0.522727,0.431818,93,129,1,21,25,0.245575,0.564079,0,0
43,1.284782,42.906250,0.270665,0.685484,0.658804,0.977273,0.590909,0.409091,86,121,1,18,26,0.228982,0.562329,0,0
