epoch,train_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_clean_missed_fall_count,val_fgsm_missed_fall_count,val_pgd_missed_fall_count,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
1,1.829669,13.625000,0.235383,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
2,1.811784,17.562500,0.293851,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,0,0,0,1.000000,0.800000,0,0
3,1.807652,15.000000,0.237399,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
4,1.804566,17.250000,0.285786,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
5,1.810412,17.437500,0.271673,0.290323,0.064286,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
6,1.785560,20.718750,0.240423,0.108871,0.044323,0.977273,0.863636,0.863636,430,430,1,6,6,0.951327,0.721913,0,0
7,1.760717,19.656250,0.258065,0.306452,0.162179,0.840909,0.681818,0.681818,255,272,7,14,14,0.582965,0.611022,0,1
8,1.726351,24.468750,0.241431,0.385081,0.262097,0.795455,0.500000,0.409091,170,193,9,22,26,0.401549,0.472345,0,1
9,1.655655,27.125000,0.244456,0.447581,0.304139,0.000000,0.000000,0.000000,2,3,44,44,44,0.005531,-0.000553,0,1
10,1.601680,29.125000,0.250000,0.524194,0.424095,0.590909,0.068182,0.000000,68,73,18,41,44,0.155973,0.198039,0,1
11,1.534125,31.531250,0.242440,0.387097,0.309966,0.863636,0.840909,0.818182,228,243,6,7,8,0.521018,0.702444,0,0
12,1.520847,31.093750,0.230847,0.500000,0.419417,0.840909,0.477273,0.295455,106,120,7,23,31,0.250000,0.450000,0,0
13,1.460507,33.937500,0.240927,0.590726,0.510151,0.818182,0.159091,0.068182,66,83,8,37,41,0.164823,0.316472,0,1
14,1.447400,35.156250,0.225302,0.582661,0.505727,0.840909,0.045455,0.000000,52,64,7,42,44,0.128319,0.286032,0,0
