epoch,train_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_clean_missed_fall_count,val_fgsm_missed_fall_count,val_pgd_missed_fall_count,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
1,1.828070,13.218750,0.231855,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
2,1.809412,17.593750,0.297379,0.276210,0.080844,0.136364,0.090909,0.000000,48,54,38,40,44,0.112832,0.045535,0,1
3,1.805256,15.062500,0.241431,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
4,1.802434,17.875000,0.298891,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
5,1.804597,17.375000,0.278730,0.354839,0.138443,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
6,1.745203,22.250000,0.246472,0.108871,0.044097,1.000000,0.863636,0.840909,414,409,0,6,7,0.910398,0.723733,0,0
7,1.668984,23.843750,0.286290,0.457661,0.326282,0.522727,0.000000,0.000000,20,54,21,44,44,0.081858,0.174769,0,1
8,1.557383,29.812500,0.294859,0.485887,0.369947,0.818182,0.318182,0.227273,96,109,8,30,34,0.226770,0.397778,0,1
9,1.469382,31.468750,0.325605,0.522177,0.487090,0.840909,0.272727,0.159091,77,90,7,32,37,0.184735,0.374708,0,1
10,1.418111,34.125000,0.317540,0.538306,0.447246,0.454545,0.000000,0.000000,14,27,24,44,44,0.045354,0.154556,0,0
11,1.387010,34.562500,0.333165,0.514113,0.457093,0.909091,0.613636,0.454545,154,180,4,17,24,0.369469,0.547144,0,0
12,1.389866,34.531250,0.320565,0.550403,0.516599,0.840909,0.340909,0.113636,96,111,7,29,39,0.228982,0.356647,0,1
13,1.301861,36.968750,0.351815,0.622984,0.598634,0.840909,0.181818,0.022727,67,86,7,36,43,0.169248,0.305802,1,1
14,1.307364,38.125000,0.346270,0.647177,0.619735,0.840909,0.090909,0.000000,27,45,7,40,44,0.079646,0.295444,0,1
15,1.203677,38.843750,0.398185,0.667339,0.646229,0.863636,0.022727,0.000000,36,59,6,43,44,0.105088,0.294037,0,1
16,1.167380,40.687500,0.424899,0.661290,0.639630,0.977273,0.431818,0.090909,108,121,1,25,40,0.253319,0.400805,1,0
17,1.191075,42.562500,0.374496,0.671371,0.644674,0.954545,0.136364,0.022727,75,92,2,38,43,0.184735,0.339481,0,0
18,1.156729,43.093750,0.403226,0.659274,0.590573,0.977273,0.363636,0.113636,111,130,1,28,39,0.266593,0.402886,1,0
19,1.156033,42.875000,0.377520,0.701613,0.665897,0.954545,0.090909,0.022727,39,59,2,40,43,0.108407,0.342568,0,1
20,1.129280,44.281250,0.393145,0.689516,0.656200,0.977273,0.454545,0.181818,108,131,1,24,36,0.264381,0.442880,1,0
21,1.136386,43.187500,0.399698,0.683468,0.621202,0.840909,0.113636,0.068182,35,53,7,39,41,0.097345,0.326629,0,0
22,1.078548,45.125000,0.421875,0.701613,0.682632,0.977273,0.295455,0.068182,87,111,1,31,41,0.219027,0.380370,0,1
23,1.052039,45.781250,0.423891,0.762097,0.733840,0.954545,0.090909,0.022727,39,69,2,40,43,0.119469,0.341462,0,1
24,0.980341,45.843750,0.490927,0.743952,0.717196,0.977273,0.113636,0.000000,49,67,1,39,44,0.128319,0.340577,0,0
25,0.963331,47.187500,0.481351,0.733871,0.712368,0.977273,0.454545,0.090909,91,122,1,24,40,0.235619,0.404847,0,0
26,1.010086,47.281250,0.448589,0.743952,0.710808,0.909091,0.090909,0.022727,29,45,4,40,43,0.081858,0.329314,0,0
27,1.006219,45.781250,0.446573,0.760081,0.733398,0.954545,0.568182,0.204545,101,139,2,19,35,0.265487,0.456406,1,0
28,1.083820,47.343750,0.385081,0.758065,0.733286,0.977273,0.318182,0.113636,65,94,1,30,39,0.175885,0.407412,0,0
29,0.939433,48.968750,0.467742,0.768145,0.750635,0.909091,0.090909,0.000000,21,36,4,40,44,0.063053,0.320967,0,1
