checkpoint,condition,fall_recall,false_fall_alarms,fall_precision,specificity,fpr_nonfall,binary_f1,missed_fall_count,tp,fp,fn,tn
FGSM_defense,clean,0.911,8,0.837,0.982,0.018,0.872,4,41,8,4,447
FGSM_defense,fgsm003,0.311,27,0.341,0.941,0.059,0.326,31,14,27,31,428
FGSM_defense,pgd003,0.089,54,0.069,0.881,0.119,0.078,41,4,54,41,401
D_safety,clean,1.000,38,0.542,0.916,0.084,0.703,0,45,38,0,417
D_safety,fgsm003,0.778,123,0.222,0.730,0.270,0.345,10,35,123,10,332
D_safety,pgd003,0.444,157,0.113,0.655,0.345,0.180,25,20,157,25,298
D_macroF1,clean,0.956,12,0.782,0.974,0.026,0.860,2,43,12,2,443
D_macroF1,fgsm003,0.467,70,0.231,0.846,0.154,0.309,24,21,70,24,385
D_macroF1,pgd003,0.133,79,0.071,0.826,0.174,0.092,39,6,79,39,376
E_lam0p5_bySafetyScore,clean,0.911,41,0.500,0.910,0.090,0.646,4,41,41,4,414
E_lam0p5_bySafetyScore,fgsm003,0.267,110,0.098,0.758,0.242,0.144,33,12,110,33,345
E_lam0p5_bySafetyScore,pgd003,0.089,145,0.027,0.681,0.319,0.041,41,4,145,41,310
E_lam0p5_byValMacroF1,clean,0.911,8,0.837,0.982,0.018,0.872,4,41,8,4,447
E_lam0p5_byValMacroF1,fgsm003,0.044,37,0.051,0.919,0.081,0.048,43,2,37,43,418
E_lam0p5_byValMacroF1,pgd003,0.044,51,0.038,0.888,0.112,0.041,43,2,51,43,404
E_lam1p0_bySafetyScore,clean,0.978,14,0.759,0.969,0.031,0.854,1,44,14,1,441
E_lam1p0_bySafetyScore,fgsm003,0.711,80,0.286,0.824,0.176,0.408,13,32,80,13,375
E_lam1p0_bySafetyScore,pgd003,0.356,117,0.120,0.743,0.257,0.180,29,16,117,29,338
E_lam1p0_byValMacroF1,clean,0.911,4,0.911,0.991,0.009,0.911,4,41,4,4,451
E_lam1p0_byValMacroF1,fgsm003,0.000,13,0.000,0.971,0.029,0.000,45,0,13,45,442
E_lam1p0_byValMacroF1,pgd003,0.000,20,0.000,0.956,0.044,0.000,45,0,20,45,435
E_lam2p0_bySafetyScore,clean,0.933,26,0.618,0.943,0.057,0.743,3,42,26,3,429
E_lam2p0_bySafetyScore,fgsm003,0.533,95,0.202,0.791,0.209,0.293,21,24,95,21,360
E_lam2p0_bySafetyScore,pgd003,0.178,122,0.062,0.732,0.268,0.091,37,8,122,37,333
E_lam2p0_byValMacroF1,clean,0.956,3,0.935,0.993,0.007,0.945,2,43,3,2,452
E_lam2p0_byValMacroF1,fgsm003,0.156,25,0.219,0.945,0.055,0.182,38,7,25,38,430
E_lam2p0_byValMacroF1,pgd003,0.067,30,0.091,0.934,0.066,0.077,42,3,30,42,425
