checkpoint,group,n,fallprob_median,fallprob_p25,fallprob_p75,maxconf_median
D_safety,true_fall,45,0.3518,0.2177,0.5078,0.5401
D_safety,walk_false_alarm,55,0.8485,0.6461,0.9252,0.8485
D_safety,run_false_alarm,65,0.8853,0.6677,0.9419,0.8853
D_safety,other_false_alarm,37,0.8864,0.7352,0.9448,0.8864
D_macroF1,true_fall,45,0.1646,0.0691,0.2981,0.5965
D_macroF1,walk_false_alarm,19,0.7821,0.7018,0.8895,0.7821
D_macroF1,run_false_alarm,42,0.8408,0.6926,0.8835,0.8408
D_macroF1,other_false_alarm,18,0.7800,0.6513,0.8737,0.7800
E_lam0p5_bySafetyScore,true_fall,45,0.1000,0.0656,0.1723,0.4651
E_lam0p5_bySafetyScore,walk_false_alarm,45,0.6747,0.5029,0.8013,0.6747
E_lam0p5_bySafetyScore,run_false_alarm,55,0.7362,0.5493,0.8477,0.7362
E_lam0p5_bySafetyScore,other_false_alarm,45,0.7791,0.6647,0.8374,0.7791
E_lam0p5_byValMacroF1,true_fall,45,0.0463,0.0224,0.0875,0.5748
E_lam0p5_byValMacroF1,walk_false_alarm,6,0.7558,0.7231,0.8282,0.7558
E_lam0p5_byValMacroF1,run_false_alarm,29,0.7457,0.6739,0.8140,0.7457
E_lam0p5_byValMacroF1,other_false_alarm,16,0.6145,0.4222,0.7867,0.6145
E_lam1p0_bySafetyScore,true_fall,45,0.2559,0.1213,0.3999,0.4698
E_lam1p0_bySafetyScore,walk_false_alarm,37,0.8168,0.6634,0.9244,0.8168
E_lam1p0_bySafetyScore,run_false_alarm,43,0.8260,0.6074,0.9065,0.8260
E_lam1p0_bySafetyScore,other_false_alarm,37,0.8394,0.6786,0.9047,0.8394
E_lam1p0_byValMacroF1,true_fall,45,0.0097,0.0029,0.0442,0.5493
E_lam1p0_byValMacroF1,walk_false_alarm,9,0.6247,0.6011,0.8345,0.6247
E_lam1p0_byValMacroF1,run_false_alarm,6,0.3947,0.3797,0.5056,0.3947
E_lam1p0_byValMacroF1,other_false_alarm,5,0.5810,0.4324,0.9017,0.5810
E_lam2p0_bySafetyScore,true_fall,45,0.1568,0.0802,0.3038,0.5158
E_lam2p0_bySafetyScore,walk_false_alarm,44,0.8911,0.7295,0.9473,0.8911
E_lam2p0_bySafetyScore,run_false_alarm,44,0.8773,0.6884,0.9163,0.8773
E_lam2p0_bySafetyScore,other_false_alarm,34,0.9139,0.7486,0.9432,0.9139
E_lam2p0_byValMacroF1,true_fall,45,0.0252,0.0082,0.0730,0.5923
E_lam2p0_byValMacroF1,walk_false_alarm,11,0.8952,0.8207,0.9109,0.8952
E_lam2p0_byValMacroF1,run_false_alarm,5,0.5308,0.4312,0.8514,0.5308
E_lam2p0_byValMacroF1,other_false_alarm,14,0.8211,0.7547,0.9208,0.8211
