attack,epsilon,D_recall,D_false_alarms,E_recall,E_false_alarms,d_recall,d_false_alarms
pgd,0.0000,1.0000,38,0.9778,14,-0.0222,-24
pgd,0.0025,1.0000,45,0.9556,17,-0.0444,-28
pgd,0.0050,0.9778,59,0.9333,23,-0.0444,-36
pgd,0.0075,0.9778,78,0.8889,30,-0.0889,-48
pgd,0.0100,0.9556,92,0.8889,33,-0.0667,-59
pgd,0.0125,0.9333,101,0.8667,43,-0.0667,-58
pgd,0.0150,0.9111,117,0.8667,55,-0.0444,-62
pgd,0.0175,0.8889,119,0.8222,68,-0.0667,-51
pgd,0.0200,0.8444,122,0.7556,84,-0.0889,-38
pgd,0.0250,0.7111,141,0.6000,103,-0.1111,-38
pgd,0.0300,0.4444,157,0.3556,117,-0.0889,-40
pgd,0.0350,0.2667,160,0.1111,129,-0.1556,-31
pgd,0.0400,0.1333,164,0.0222,137,-0.1111,-27
pgd,0.0450,0.0444,166,0.0000,139,-0.0444,-27
pgd,0.0500,0.0222,167,0.0000,143,-0.0222,-24
pgd,0.0550,0.0222,169,0.0000,144,-0.0222,-25
pgd,0.0600,0.0000,172,0.0000,143,0.0000,-29
pgd,0.0750,0.0000,170,0.0000,146,0.0000,-24
fgsm,0.0000,1.0000,38,0.9778,14,-0.0222,-24
fgsm,0.0025,1.0000,45,0.9556,18,-0.0444,-27
fgsm,0.0050,0.9778,56,0.9333,22,-0.0444,-34
fgsm,0.0075,0.9778,71,0.9111,27,-0.0667,-44
fgsm,0.0100,0.9556,86,0.8889,29,-0.0667,-57
fgsm,0.0125,0.9333,92,0.8889,35,-0.0444,-57
fgsm,0.0150,0.9111,98,0.8667,37,-0.0444,-61
fgsm,0.0175,0.9111,109,0.8667,43,-0.0444,-66
fgsm,0.0200,0.8889,109,0.8222,50,-0.0667,-59
fgsm,0.0250,0.8222,118,0.7556,66,-0.0667,-52
fgsm,0.0300,0.7778,123,0.7111,80,-0.0667,-43
fgsm,0.0350,0.6667,127,0.6222,86,-0.0444,-41
fgsm,0.0400,0.6000,132,0.4667,93,-0.1333,-39
fgsm,0.0450,0.4889,134,0.3778,92,-0.1111,-42
fgsm,0.0500,0.3778,135,0.3111,93,-0.0667,-42
fgsm,0.0550,0.3333,135,0.2667,93,-0.0667,-42
fgsm,0.0600,0.2889,137,0.2444,93,-0.0444,-44
fgsm,0.0750,0.1111,137,0.2222,88,0.1111,-49
