epoch,train_loss,mean_motion_penalty,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
1,2.086552,0.089497,17.187500,0.280242,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,1
2,2.069814,0.078270,17.937500,0.299395,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0
3,2.061057,0.083198,18.656250,0.297883,0.292339,0.072538,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,1
4,2.028776,0.077231,20.531250,0.285282,0.368952,0.144149,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,1
5,1.933684,0.074107,25.187500,0.337702,0.441532,0.280503,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,1
6,1.823349,0.071422,29.750000,0.338710,0.512097,0.445909,0.500000,0.068182,0.000000,43,55,0.108407,0.170977,0,1
7,1.693105,0.073709,32.968750,0.354335,0.528226,0.394976,0.090909,0.000000,0.000000,2,10,0.013274,0.030491,0,0
8,1.617936,0.071398,36.312500,0.349294,0.574597,0.497387,0.477273,0.000000,0.000000,21,27,0.053097,0.161736,0,1
9,1.557872,0.073554,37.593750,0.390625,0.566532,0.456884,0.181818,0.000000,0.000000,6,6,0.013274,0.062309,0,0
10,1.509263,0.072747,38.781250,0.366935,0.606855,0.550306,0.431818,0.000000,0.000000,6,12,0.019912,0.149145,1,1
11,1.459830,0.070442,40.062500,0.392641,0.631048,0.605861,0.863636,0.159091,0.068182,90,105,0.215708,0.327293,1,1
12,1.480645,0.078888,40.531250,0.376512,0.649194,0.620099,0.454545,0.000000,0.000000,5,19,0.026549,0.156436,0,1
13,1.350328,0.063946,42.968750,0.404738,0.691532,0.674074,0.909091,0.090909,0.000000,53,79,0.146018,0.312671,0,1
14,1.416031,0.073419,43.156250,0.401210,0.691532,0.662811,0.840909,0.000000,0.000000,19,36,0.060841,0.288234,0,0
15,1.243160,0.062756,44.343750,0.462702,0.723790,0.699571,0.863636,0.045455,0.000000,53,74,0.140487,0.292770,0,1
16,1.164275,0.057634,45.812500,0.454133,0.778226,0.754495,0.909091,0.136364,0.045455,42,61,0.113938,0.340879,1,1
17,1.273973,0.064640,46.031250,0.434476,0.735887,0.719745,0.909091,0.090909,0.022727,29,49,0.086283,0.328872,0,0
18,1.192615,0.059839,47.125000,0.455141,0.733871,0.699433,0.931818,0.181818,0.022727,55,81,0.150442,0.339501,0,0
19,1.225155,0.069603,47.406250,0.439012,0.784274,0.766174,0.886364,0.022727,0.022727,9,21,0.033186,0.319409,0,1
20,1.172139,0.059574,47.937500,0.444556,0.750000,0.727216,0.818182,0.181818,0.045455,28,60,0.097345,0.315265,0,0
21,1.174355,0.066418,47.500000,0.451109,0.760081,0.730084,0.886364,0.181818,0.022727,35,46,0.089602,0.329676,0,0
22,1.114479,0.059193,48.562500,0.465222,0.752016,0.734672,0.931818,0.295455,0.068182,53,81,0.148230,0.371541,1,0
23,1.122805,0.061685,48.781250,0.459173,0.794355,0.783781,0.886364,0.022727,0.000000,8,19,0.029867,0.309513,0,1
24,1.016631,0.051420,49.625000,0.514617,0.804435,0.775565,0.931818,0.000000,0.000000,15,36,0.056416,0.320495,0,0
25,1.006822,0.051904,50.656250,0.512097,0.798387,0.782413,0.954545,0.250000,0.022727,39,62,0.111726,0.358146,0,0
26,1.067963,0.055696,50.187500,0.482359,0.772177,0.758720,0.909091,0.090909,0.000000,15,29,0.048673,0.322405,0,0
27,1.065625,0.054586,49.062500,0.481855,0.776210,0.763028,0.931818,0.250000,0.068182,39,72,0.122788,0.369539,0,0
28,1.169933,0.067105,50.531250,0.418851,0.733871,0.721350,0.818182,0.386364,0.136364,38,59,0.107301,0.375634,1,0
29,0.998078,0.055288,51.343750,0.506048,0.804435,0.809392,0.909091,0.000000,0.000000,9,20,0.032080,0.314974,0,1
30,0.925401,0.044653,51.750000,0.513609,0.796371,0.761521,0.886364,0.000000,0.000000,11,29,0.044248,0.305802,0,0
31,0.932226,0.046151,51.843750,0.519153,0.822581,0.807153,0.977273,0.181818,0.022727,34,53,0.096239,0.360831,0,0
32,0.971945,0.055000,51.937500,0.492440,0.802419,0.788177,0.931818,0.250000,0.136364,29,52,0.089602,0.403540,1,0
33,0.984826,0.054608,51.656250,0.503024,0.826613,0.816736,0.909091,0.022727,0.022727,15,29,0.048673,0.325815,0,1
34,0.986508,0.052931,51.937500,0.495464,0.844758,0.820509,0.886364,0.068182,0.000000,9,24,0.036504,0.313395,0,1
35,1.047299,0.057044,51.250000,0.461694,0.796371,0.774074,0.954545,0.227273,0.068182,22,49,0.078540,0.379646,0,0
36,0.860801,0.041125,52.625000,0.550403,0.842742,0.837728,0.954545,0.181818,0.000000,27,51,0.086283,0.343644,0,1
37,0.931667,0.047298,52.031250,0.524698,0.816532,0.783455,0.909091,0.000000,0.000000,10,21,0.034292,0.314753,0,0
38,0.835905,0.037410,52.625000,0.558972,0.828629,0.798931,0.931818,0.068182,0.000000,24,32,0.061947,0.326760,0,0
39,0.949417,0.050656,52.343750,0.503528,0.810484,0.792391,0.931818,0.204545,0.000000,20,37,0.063053,0.340286,0,0
40,0.860956,0.047602,53.562500,0.549899,0.828629,0.833225,0.954545,0.250000,0.000000,27,36,0.069690,0.352122,0,0
41,0.898509,0.045856,53.812500,0.526210,0.814516,0.813497,0.931818,0.318182,0.000000,47,75,0.134956,0.344459,0,0
42,0.911885,0.051566,52.750000,0.518145,0.838710,0.825973,0.977273,0.386364,0.136364,46,73,0.131637,0.428882,1,0
43,0.997449,0.060736,53.093750,0.474294,0.864919,0.862554,0.931818,0.090909,0.022727,7,20,0.029867,0.342468,0,1
44,0.898119,0.039841,53.031250,0.531754,0.832661,0.824198,0.977273,0.454545,0.113636,38,65,0.113938,0.427243,0,0
45,0.859700,0.045921,54.281250,0.540827,0.840726,0.840014,0.931818,0.090909,0.022727,14,27,0.045354,0.340919,0,0
46,0.943606,0.052811,54.125000,0.498992,0.844758,0.833975,0.863636,0.227273,0.068182,18,33,0.056416,0.350040,0,0
47,0.817299,0.036397,54.562500,0.551411,0.877016,0.868720,0.954545,0.204545,0.022727,17,28,0.049779,0.359795,0,1
48,0.873356,0.048674,54.343750,0.540323,0.824597,0.808821,0.977273,0.363636,0.045455,46,68,0.126106,0.386253,0,0
49,0.946959,0.049233,53.625000,0.499496,0.747984,0.744656,0.954545,0.500000,0.250000,86,126,0.234513,0.473140,1,0
