seed,checkpoint,condition,fall_recall,false_fall_alarms,fall_precision,specificity,fpr_nonfall,binary_f1,missed_fall_count
42,FGSM_defense,clean,0.911,8,0.837,0.982,0.018,0.872,4
42,FGSM_defense,fgsm003,0.311,27,0.341,0.941,0.059,0.326,31
42,FGSM_defense,pgd003,0.089,54,0.069,0.881,0.119,0.078,41
42,D_safety,clean,1.000,38,0.542,0.916,0.084,0.703,0
42,D_safety,fgsm003,0.778,123,0.222,0.730,0.270,0.345,10
42,D_safety,pgd003,0.444,157,0.113,0.655,0.345,0.180,25
42,priorE_safety,clean,0.978,14,0.759,0.969,0.031,0.854,1
42,priorE_safety,fgsm003,0.711,80,0.286,0.824,0.176,0.408,13
42,priorE_safety,pgd003,0.356,117,0.120,0.743,0.257,0.180,29
42,priorE_macroF1,clean,0.911,4,0.911,0.991,0.009,0.911,4
42,priorE_macroF1,fgsm003,0.000,13,0.000,0.971,0.029,0.000,45
42,priorE_macroF1,pgd003,0.000,20,0.000,0.956,0.044,0.000,45
42,v2safety,clean,0.978,14,0.759,0.969,0.031,0.854,1
42,v2safety,fgsm003,0.711,80,0.286,0.824,0.176,0.408,13
42,v2safety,pgd003,0.356,117,0.120,0.743,0.257,0.180,29
42,v2lowFA,clean,0.956,14,0.754,0.969,0.031,0.843,2
42,v2lowFA,fgsm003,0.400,40,0.310,0.912,0.088,0.350,27
42,v2lowFA,pgd003,0.133,61,0.090,0.866,0.134,0.107,39
43,FGSM_defense,clean,0.956,0,1.000,1.000,0.000,0.977,2
43,FGSM_defense,fgsm003,0.400,12,0.600,0.974,0.026,0.480,27
43,FGSM_defense,pgd003,0.022,35,0.028,0.923,0.077,0.025,44
43,D_safety,clean,1.000,47,0.489,0.897,0.103,0.657,0
43,D_safety,fgsm003,0.644,136,0.176,0.701,0.299,0.276,16
43,D_safety,pgd003,0.289,160,0.075,0.648,0.352,0.119,32
43,priorE_safety,clean,0.978,42,0.512,0.908,0.092,0.672,1
43,priorE_safety,fgsm003,0.644,122,0.192,0.732,0.268,0.296,16
43,priorE_safety,pgd003,0.378,151,0.101,0.668,0.332,0.160,28
43,priorE_macroF1,clean,0.889,5,0.889,0.989,0.011,0.889,5
43,priorE_macroF1,fgsm003,0.133,21,0.222,0.954,0.046,0.167,39
43,priorE_macroF1,pgd003,0.022,38,0.026,0.916,0.084,0.024,44
43,v2safety,clean,0.933,21,0.667,0.954,0.046,0.778,3
43,v2safety,fgsm003,0.400,66,0.214,0.855,0.145,0.279,27
43,v2safety,pgd003,0.111,79,0.060,0.826,0.174,0.078,40
43,v2lowFA,clean,0.933,10,0.808,0.978,0.022,0.866,3
43,v2lowFA,fgsm003,0.467,45,0.318,0.901,0.099,0.378,24
43,v2lowFA,pgd003,0.067,63,0.045,0.862,0.138,0.054,42
