seed,checkpoint,condition,lie down,walk,pickup,run,sit down,stand up,total_false_fall
42,FGSM_defense,clean,0,0,4,1,1,2,8
42,FGSM_defense,fgsm003,0,9,4,4,0,10,27
42,FGSM_defense,pgd003,1,15,4,24,1,9,54
42,D_safety,clean,0,10,12,8,2,6,38
42,D_safety,fgsm003,8,40,11,50,3,11,123
42,D_safety,pgd003,12,55,10,65,2,13,157
42,priorE_safety,clean,0,0,6,3,2,3,14
42,priorE_safety,fgsm003,6,19,10,30,3,12,80
42,priorE_safety,pgd003,10,37,9,43,5,13,117
42,priorE_macroF1,clean,0,0,2,0,1,1,4
42,priorE_macroF1,fgsm003,0,5,2,1,1,4,13
42,priorE_macroF1,pgd003,0,9,2,6,1,2,20
42,v2safety,clean,0,0,6,3,2,3,14
42,v2safety,fgsm003,6,19,10,30,3,12,80
42,v2safety,pgd003,10,37,9,43,5,13,117
42,v2lowFA,clean,0,0,7,2,2,3,14
42,v2lowFA,fgsm003,0,11,8,8,3,10,40
42,v2lowFA,pgd003,1,16,7,20,4,13,61
43,FGSM_defense,clean,0,0,0,0,0,0,0
43,FGSM_defense,fgsm003,0,4,2,2,0,4,12
43,FGSM_defense,pgd003,0,8,4,18,0,5,35
43,D_safety,clean,2,13,11,9,3,9,47
43,D_safety,fgsm003,14,44,10,56,1,11,136
43,D_safety,pgd003,14,52,11,67,5,11,160
43,priorE_safety,clean,4,10,9,6,3,10,42
43,priorE_safety,fgsm003,14,32,8,49,4,15,122
43,priorE_safety,pgd003,17,48,8,60,5,13,151
43,priorE_macroF1,clean,0,0,2,0,0,3,5
43,priorE_macroF1,fgsm003,1,5,3,4,1,7,21
43,priorE_macroF1,pgd003,2,9,5,12,3,7,38
43,v2safety,clean,0,2,7,2,1,9,21
43,v2safety,fgsm003,4,10,7,31,3,11,66
43,v2safety,pgd003,8,14,8,36,3,10,79
43,v2lowFA,clean,0,1,5,0,0,4,10
43,v2lowFA,fgsm003,3,12,5,18,1,6,45
43,v2lowFA,pgd003,7,17,5,26,2,6,63
