seed,checkpoint,group,n,fallprob_median,maxconf_median
42,priorE_safety,true_fall,45,0.2559,0.4698
42,priorE_safety,walk_false_alarm,37,0.8168,0.8168
42,priorE_safety,run_false_alarm,43,0.8260,0.8260
42,priorE_macroF1,true_fall,45,0.0097,0.5493
42,priorE_macroF1,walk_false_alarm,9,0.6247,0.6247
42,priorE_macroF1,run_false_alarm,6,0.3947,0.3947
42,v2safety,true_fall,45,0.2559,0.4698
42,v2safety,walk_false_alarm,37,0.8168,0.8168
42,v2safety,run_false_alarm,43,0.8260,0.8260
42,v2lowFA,true_fall,45,0.0757,0.5633
42,v2lowFA,walk_false_alarm,16,0.9287,0.9287
42,v2lowFA,run_false_alarm,20,0.7372,0.7372
43,D_safety,true_fall,45,0.2724,0.5213
43,D_safety,walk_false_alarm,52,0.8659,0.8659
43,D_safety,run_false_alarm,67,0.7996,0.7996
43,priorE_safety,true_fall,45,0.2561,0.4552
43,priorE_safety,walk_false_alarm,48,0.7126,0.7126
43,priorE_safety,run_false_alarm,60,0.7515,0.7515
43,priorE_macroF1,true_fall,45,0.0239,0.6167
43,priorE_macroF1,walk_false_alarm,9,0.5321,0.5321
43,priorE_macroF1,run_false_alarm,12,0.5198,0.5198
43,v2safety,true_fall,45,0.1356,0.5359
43,v2safety,walk_false_alarm,14,0.8495,0.8495
43,v2safety,run_false_alarm,36,0.8261,0.8261
43,v2lowFA,true_fall,45,0.0946,0.5632
43,v2lowFA,walk_false_alarm,17,0.7447,0.7447
43,v2lowFA,run_false_alarm,26,0.6738,0.6738
