seed,checkpoint,group,n,median_fall_prob,median_max_conf,median_logit_fall_minus_true,median_logit_fall_minus_maxnonfall
42,D_safety,true_fall_detected,20,0.541,0.541,0.000,0.743
42,D_safety,true_fall_missed,25,0.219,0.538,0.000,-0.839
42,D_safety,walk_FA,55,0.849,0.849,2.811,2.376
42,D_safety,run_FA,65,0.885,0.885,2.937,2.604
42,D_safety,other_FA,37,0.886,0.886,4.842,2.752
42,D_safety,rejected_walk_run,148,0.011,0.624,-2.362,-4.085
42,priorE_safety,true_fall_detected,16,0.451,0.451,0.000,0.445
42,priorE_safety,true_fall_missed,29,0.136,0.526,0.000,-1.297
42,priorE_safety,walk_FA,37,0.817,0.817,3.329,2.126
42,priorE_safety,run_FA,43,0.826,0.826,2.313,1.983
42,priorE_safety,other_FA,37,0.839,0.839,4.111,2.503
42,priorE_safety,rejected_walk_run,188,0.004,0.599,-3.852,-5.084
42,v2safety,true_fall_detected,16,0.451,0.451,0.000,0.445
42,v2safety,true_fall_missed,29,0.136,0.526,0.000,-1.297
42,v2safety,walk_FA,37,0.817,0.817,3.329,2.126
42,v2safety,run_FA,43,0.826,0.826,2.313,1.983
42,v2safety,other_FA,37,0.839,0.839,4.111,2.503
42,v2safety,rejected_walk_run,188,0.004,0.599,-3.852,-5.084
42,v2lowFA,true_fall_detected,6,0.457,0.457,0.000,0.499
42,v2lowFA,true_fall_missed,39,0.068,0.609,0.000,-2.293
42,v2lowFA,walk_FA,16,0.929,0.929,3.428,2.621
42,v2lowFA,run_FA,20,0.737,0.737,1.834,1.722
42,v2lowFA,other_FA,25,0.908,0.908,4.520,3.154
42,v2lowFA,rejected_walk_run,232,0.001,0.630,-5.303,-6.377
43,D_safety,true_fall_detected,13,0.394,0.394,0.000,0.695
43,D_safety,true_fall_missed,32,0.201,0.579,0.000,-0.863
43,D_safety,walk_FA,52,0.866,0.866,2.741,2.720
43,D_safety,run_FA,67,0.800,0.800,2.641,2.244
43,D_safety,other_FA,41,0.833,0.833,4.290,2.265
43,D_safety,rejected_walk_run,149,0.028,0.575,-1.792,-3.206
43,priorE_safety,true_fall_detected,17,0.413,0.413,0.000,0.160
43,priorE_safety,true_fall_missed,28,0.202,0.503,0.000,-1.051
43,priorE_safety,walk_FA,48,0.713,0.713,2.671,1.711
43,priorE_safety,run_FA,60,0.751,0.751,1.573,1.440
43,priorE_safety,other_FA,43,0.708,0.708,3.919,1.602
43,priorE_safety,rejected_walk_run,160,0.061,0.505,-0.934,-2.181
43,v2safety,true_fall_detected,5,0.346,0.346,0.000,0.147
43,v2safety,true_fall_missed,40,0.120,0.583,0.000,-1.619
43,v2safety,walk_FA,14,0.850,0.850,3.294,2.292
43,v2safety,run_FA,36,0.826,0.826,2.217,2.138
43,v2safety,other_FA,29,0.731,0.731,3.835,1.809
43,v2safety,rejected_walk_run,218,0.006,0.552,-3.360,-4.689
43,v2lowFA,true_fall_detected,3,0.651,0.651,0.000,0.813
43,v2lowFA,true_fall_missed,42,0.086,0.560,0.000,-1.858
43,v2lowFA,walk_FA,17,0.745,0.745,2.457,1.860
43,v2lowFA,run_FA,26,0.674,0.674,1.463,1.305
43,v2lowFA,other_FA,20,0.677,0.677,3.238,1.684
43,v2lowFA,rejected_walk_run,225,0.003,0.593,-4.353,-5.477
