seed,label,pgd_recall,pgd_false_alarms,clean_acc,clean_macro_f1,clean_fall_recall,guard_pass,dominated,pareto_efficient,class
42,FGSM_defense,0.089,54,0.834,0.814,0.911,1,0,1,conservative_low_false_alarm
42,D_safety,0.444,157,0.746,0.700,1.000,1,0,1,high_recall_high_false_alarm
42,priorE_safety,0.356,117,0.806,0.790,0.978,1,0,1,balanced
42,priorE_macroF1,0.000,20,0.836,0.804,0.911,1,0,1,invalid_recall_collapse
42,v2safety,0.356,117,0.806,0.790,0.978,1,0,1,balanced
42,v2lowFA,0.133,61,0.818,0.799,0.956,1,0,1,conservative_low_false_alarm
43,FGSM_defense,0.022,35,0.902,0.901,0.956,1,0,1,conservative_low_false_alarm
43,D_safety,0.289,160,0.720,0.676,1.000,1,1,0,high_recall_high_false_alarm
43,priorE_safety,0.378,151,0.630,0.600,0.978,0,0,1,fails_clean_guard
43,priorE_macroF1,0.022,38,0.792,0.778,0.889,1,1,0,conservative_low_false_alarm
43,v2safety,0.111,79,0.720,0.669,0.933,1,0,1,conservative_low_false_alarm
43,v2lowFA,0.067,63,0.766,0.743,0.933,1,0,1,conservative_low_false_alarm
